UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;0;1055;1544
12 Acre;2001;0;192;427
13 Amazonas;2001;0;394;676
14 Roraima;2001;0;271;250
15 Pará;2001;3;2258;3206
16 Amapá;2001;0;0;25
17 Tocantins;2001;0;1052;937
21 Maranhão;2001;0;2371;4272
22 Piauí;2001;3;402;528
23 Ceará;2001;1;731;1073
24 Rio Grande do Norte;2001;0;30;161
25 Paraíba;2001;0;325;449
26 Pernambuco;2001;14;1235;1355
27 Alagoas;2001;2;299;247
28 Sergipe;2001;0;175;300
29 Bahia;2001;31;1309;1732
31 Minas Gerais;2001;4;966;3698
32 Espírito Santo;2001;0;1845;1792
33 Rio de Janeiro;2001;0;952;1631
35 São Paulo;2001;10;2580;3527
41 Paraná;2001;2;964;2043
42 Santa Catarina;2001;0;60;130
43 Rio Grande do Sul;2001;3;60;133
50 Mato Grosso do Sul;2001;0;172;305
51 Mato Grosso;2001;12;2344;2103
52 Goiás;2001;8;955;3001
53 Distrito Federal;2001;6;373;738
11 Rondônia;2002;0;1150;1603
12 Acre;2002;0;242;381
13 Amazonas;2002;0;754;1039
14 Roraima;2002;0;191;407
15 Pará;2002;24;2712;4159
16 Amapá;2002;0;66;82
17 Tocantins;2002;0;1052;1072
21 Maranhão;2002;2;3328;4953
22 Piauí;2002;9;375;677
23 Ceará;2002;7;723;1302
24 Rio Grande do Norte;2002;0;131;230
25 Paraíba;2002;0;382;657
26 Pernambuco;2002;11;1142;1895
27 Alagoas;2002;0;430;300
28 Sergipe;2002;2;336;472
29 Bahia;2002;12;1205;1780
31 Minas Gerais;2002;0;998;3783
32 Espírito Santo;2002;0;2672;2450
33 Rio de Janeiro;2002;6;1198;1788
35 São Paulo;2002;75;2890;3974
41 Paraná;2002;13;1161;2376
42 Santa Catarina;2002;5;70;211
43 Rio Grande do Sul;2002;5;50;218
50 Mato Grosso do Sul;2002;0;371;527
51 Mato Grosso;2002;12;3141;3059
52 Goiás;2002;8;1090;3436
53 Distrito Federal;2002;0;352;636
11 Rondônia;2003;3;1238;1706
12 Acre;2003;0;63;99
13 Amazonas;2003;12;946;1172
14 Roraima;2003;0;229;493
15 Pará;2003;12;3511;5007
16 Amapá;2003;0;9;23
17 Tocantins;2003;0;1377;1066
21 Maranhão;2003;10;4018;5076
22 Piauí;2003;13;1178;1094
23 Ceará;2003;19;1175;2488
24 Rio Grande do Norte;2003;3;206;167
25 Paraíba;2003;0;478;473
26 Pernambuco;2003;8;1774;2639
27 Alagoas;2003;0;607;481
28 Sergipe;2003;0;698;607
29 Bahia;2003;61;2584;2694
31 Minas Gerais;2003;0;1198;3664
32 Espírito Santo;2003;0;3334;2442
33 Rio de Janeiro;2003;4;1848;2482
35 São Paulo;2003;31;3248;4083
41 Paraná;2003;5;1133;2330
42 Santa Catarina;2003;2;102;275
43 Rio Grande do Sul;2003;4;57;383
50 Mato Grosso do Sul;2003;3;472;503
51 Mato Grosso;2003;10;3090;3239
52 Goiás;2003;11;1972;3838
53 Distrito Federal;2003;0;396;605
11 Rondônia;2004;2;1436;1407
12 Acre;2004;0;110;268
13 Amazonas;2004;3;893;1157
14 Roraima;2004;0;317;489
15 Pará;2004;11;3324;5582
16 Amapá;2004;0;19;17
17 Tocantins;2004;4;1592;1545
21 Maranhão;2004;0;3601;5517
22 Piauí;2004;10;1355;1500
23 Ceará;2004;1;1480;3087
24 Rio Grande do Norte;2004;0;232;261
25 Paraíba;2004;0;564;608
26 Pernambuco;2004;11;1968;3499
27 Alagoas;2004;4;442;417
28 Sergipe;2004;0;572;764
