UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;0;1584;1943
12 Acre;2001;0;690;1043
13 Amazonas;2001;0;393;683
14 Roraima;2001;0;629;609
15 Pará;2001;5;3291;4532
16 Amapá;2001;0;222;354
17 Tocantins;2001;0;1924;1752
21 Maranhão;2001;0;4378;5417
22 Piauí;2001;0;394;441
23 Ceará;2001;0;1252;1274
24 Rio Grande do Norte;2001;0;36;137
25 Paraíba;2001;0;1058;1050
26 Pernambuco;2001;35;2240;1834
27 Alagoas;2001;0;405;327
28 Sergipe;2001;0;373;497
29 Bahia;2001;27;2153;2183
31 Minas Gerais;2001;23;2096;8017
32 Espírito Santo;2001;0;2645;2266
33 Rio de Janeiro;2001;5;1485;2045
35 São Paulo;2001;5;2222;2823
41 Paraná;2001;2;1312;2459
42 Santa Catarina;2001;0;56;165
43 Rio Grande do Sul;2001;3;108;234
50 Mato Grosso do Sul;2001;0;194;330
51 Mato Grosso;2001;0;2919;2230
52 Goiás;2001;8;1538;4043
53 Distrito Federal;2001;10;607;1186
11 Rondônia;2002;7;1662;2077
12 Acre;2002;0;734;1065
13 Amazonas;2002;0;632;831
14 Roraima;2002;2;490;983
15 Pará;2002;58;6545;8843
16 Amapá;2002;0;335;487
17 Tocantins;2002;0;2618;2369
21 Maranhão;2002;11;7274;8772
22 Piauí;2002;0;585;765
23 Ceará;2002;0;1010;1364
24 Rio Grande do Norte;2002;0;115;47
25 Paraíba;2002;0;1009;1285
26 Pernambuco;2002;36;3053;3004
27 Alagoas;2002;0;824;615
28 Sergipe;2002;1;697;694
29 Bahia;2002;107;3394;3709
31 Minas Gerais;2002;0;3264;9471
32 Espírito Santo;2002;0;3791;3017
33 Rio de Janeiro;2002;26;2637;3211
35 São Paulo;2002;95;3976;4656
41 Paraná;2002;9;1376;2607
42 Santa Catarina;2002;32;194;468
43 Rio Grande do Sul;2002;13;148;493
50 Mato Grosso do Sul;2002;5;675;737
51 Mato Grosso;2002;8;6272;5399
52 Goiás;2002;19;1812;5473
53 Distrito Federal;2002;7;638;1043
11 Rondônia;2003;5;2063;2318
12 Acre;2003;6;773;1029
13 Amazonas;2003;35;2060;2321
14 Roraima;2003;0;609;826
15 Pará;2003;63;11686;14379
16 Amapá;2003;17;512;623
17 Tocantins;2003;0;2842;2335
21 Maranhão;2003;22;9582;11791
22 Piauí;2003;34;3568;2646
23 Ceará;2003;53;3006;5763
24 Rio Grande do Norte;2003;0;339;296
25 Paraíba;2003;0;1577;1309
26 Pernambuco;2003;95;5077;5425
27 Alagoas;2003;1;1252;984
28 Sergipe;2003;1;1119;914
29 Bahia;2003;156;6787;5882
31 Minas Gerais;2003;2;3577;8889
32 Espírito Santo;2003;0;4483;2987
33 Rio de Janeiro;2003;72;5032;5848
35 São Paulo;2003;45;4787;4946
41 Paraná;2003;5;1893;3464
42 Santa Catarina;2003;26;225;504
43 Rio Grande do Sul;2003;3;120;491
50 Mato Grosso do Sul;2003;7;953;1030
51 Mato Grosso;2003;12;6708;6327
52 Goiás;2003;28;3551;7905
53 Distrito Federal;2003;0;704;984
11 Rondônia;2004;11;2334;2121
12 Acre;2004;0;639;917
13 Amazonas;2004;26;2345;2754
14 Roraima;2004;0;599;830
15 Pará;2004;47;11704;15509
16 Amapá;2004;3;422;469
17 Tocantins;2004;0;2888;2729
21 Maranhão;2004;4;9134;12666
22 Piauí;2004;19;3756;3107
23 Ceará;2004;8;3497;6382
24 Rio Grande do Norte;2004;0;625;583
25 Paraíba;2004;0;1795;1545
26 Pernambuco;2004;37;4593;6011
27 Alagoas;2004;6;995;880
28 Sergipe;2004;0;1102;1099
29 Bahia;2004;158;7810;6087
31 Minas Gerais;2004;3;3448;8047
32 Espírito Santo;2004;0;3796;2569
33 Rio de Janeiro;2004;5;4790;5701
35 São Paulo;2004;27;4113;5204
41 Paraná;2004;17;2141;3951
42 Santa Catarina;2004;19;271;659
43 Rio Grande do Sul;2004;4;198;572
50 Mato Grosso do Sul;2004;0;877;967
51 Mato Grosso;2004;4;5875;5470
52 Goiás;2004;12;3354;8204
53 Distrito Federal;2004;0;534;1039
11 Rondônia;2005;4;1835;2279
12 Acre;2005;11;666;903
13 Amazonas;2005;10;2201;2491
14 Roraima;2005;0;459;721
15 Pará;2005;48;11029;14173
16 Amapá;2005;0;330;500
17 Tocantins;2005;3;2784;2714
21 Maranhão;2005;20;9557;14251
22 Piauí;2005;29;4027;3651
23 Ceará;2005;9;4243;6158
24 Rio Grande do Norte;2005;5;1117;747
25 Paraíba;2005;1;2121;1680
26 Pernambuco;2005;41;5649;6368
27 Alagoas;2005;0;850;887
28 Sergipe;2005;3;1609;1256
29 Bahia;2005;56;6630;6603
31 Minas Gerais;2005;10;3322;7499
32 Espírito Santo;2005;0;3713;2787
33 Rio de Janeiro;2005;4;4147;5074
35 São Paulo;2005;37;4122;5277
41 Paraná;2005;11;1738;3760
42 Santa Catarina;2005;10;239;607
43 Rio Grande do Sul;2005;0;170;746
50 Mato Grosso do Sul;2005;4;871;877
51 Mato Grosso;2005;12;5791;6747
52 Goiás;2005;17;2941;8714
53 Distrito Federal;2005;0;550;980
11 Rondônia;2006;5;2002;2284
12 Acre;2006;0;1354;1289
13 Amazonas;2006;8;1748;2249
14 Roraima;2006;0;473;797
15 Pará;2006;42;9552;12783
16 Amapá;2006;4;368;552
17 Tocantins;2006;0;3513;2906
21 Maranhão;2006;16;8189;12778
22 Piauí;2006;32;3483;3391
23 Ceará;2006;24;3991;6286
24 Rio Grande do Norte;2006;5;560;650
25 Paraíba;2006;0;1921;1710
26 Pernambuco;2006;34;7012;6870
27 Alagoas;2006;0;902;817
28 Sergipe;2006;9;1258;1262
29 Bahia;2006;61;5445;6004
31 Minas Gerais;2006;11;3056;6511
32 Espírito Santo;2006;0;2956;2211
33 Rio de Janeiro;2006;26;3975;5182
35 São Paulo;2006;26;3352;4445
41 Paraná;2006;4;1996;3984
42 Santa Catarina;2006;0;321;499
43 Rio Grande do Sul;2006;4;306;490
50 Mato Grosso do Sul;2006;3;926;1049
51 Mato Grosso;2006;9;5124;6775
52 Goiás;2006;22;2690;8534
53 Distrito Federal;2006;0;487;855
11 Rondônia;2007;0;1908;1818
12 Acre;2007;0;556;806
13 Amazonas;2007;0;1524;1807
14 Roraima;2007;0;319;673
15 Pará;2007;0;8201;12077
16 Amapá;2007;0;285;423
17 Tocantins;2007;0;2836;2693
21 Maranhão;2007;0;6766;11450
22 Piauí;2007;0;2983;3226
23 Ceará;2007;6;3769;6234
24 Rio Grande do Norte;2007;0;662;873
25 Paraíba;2007;0;1482;1670
26 Pernambuco;2007;0;6440;6898
27 Alagoas;2007;0;782;849
28 Sergipe;2007;0;1162;1140
29 Bahia;2007;3;5507;6282
31 Minas Gerais;2007;0;2289;5953
32 Espírito Santo;2007;0;3018;1972
33 Rio de Janeiro;2007;0;3607;4603
35 São Paulo;2007;0;3155;4946
41 Paraná;2007;0;1263;3608
42 Santa Catarina;2007;0;184;690
43 Rio Grande do Sul;2007;0;118;488
50 Mato Grosso do Sul;2007;0;885;1389
51 Mato Grosso;2007;0;4447;6213
52 Goiás;2007;0;2103;7374
53 Distrito Federal;2007;4;456;830
11 Rondônia;2008;0;1579;1941
12 Acre;2008;0;504;1018
13 Amazonas;2008;0;1553;1974
14 Roraima;2008;0;311;629
15 Pará;2008;0;8935;13398
16 Amapá;2008;0;300;786
17 Tocantins;2008;0;2964;3116
21 Maranhão;2008;0;6454;12710
22 Piauí;2008;0;4154;4487
23 Ceará;2008;3;4163;6901
24 Rio Grande do Norte;2008;0;483;683
25 Paraíba;2008;0;1411;1580
26 Pernambuco;2008;0;5883;6498
27 Alagoas;2008;0;682;996
28 Sergipe;2008;0;964;1295
29 Bahia;2008;12;5242;7238
31 Minas Gerais;2008;0;2236;5357
32 Espírito Santo;2008;0;2391;2444
33 Rio de Janeiro;2008;0;3428;4755
35 São Paulo;2008;1;3349;5304
41 Paraná;2008;0;1342;3282
42 Santa Catarina;2008;0;172;719
43 Rio Grande do Sul;2008;0;121;474
50 Mato Grosso do Sul;2008;0;921;1454
51 Mato Grosso;2008;0;4057;5696
52 Goiás;2008;0;2256;7412
53 Distrito Federal;2008;3;329;837
11 Rondônia;2009;0;1448;2081
12 Acre;2009;0;301;919
13 Amazonas;2009;15;1324;2184
14 Roraima;2009;0;223;558
15 Pará;2009;0;7446;12600
16 Amapá;2009;0;366;701
17 Tocantins;2009;0;2100;2720
21 Maranhão;2009;0;5408;12368
22 Piauí;2009;0;2890;3455
23 Ceará;2009;1;3272;6616
24 Rio Grande do Norte;2009;0;612;692
25 Paraíba;2009;4;1293;1595
26 Pernambuco;2009;5;6604;6772
27 Alagoas;2009;0;887;996
28 Sergipe;2009;0;1172;1166
29 Bahia;2009;8;5443;6748
31 Minas Gerais;2009;0;3592;5444
32 Espírito Santo;2009;0;2394;2209
33 Rio de Janeiro;2009;0;3286;4828
35 São Paulo;2009;2;3239;5316
41 Paraná;2009;0;1024;2949
42 Santa Catarina;2009;0;297;478
43 Rio Grande do Sul;2009;0;139;499
50 Mato Grosso do Sul;2009;0;892;1746
51 Mato Grosso;2009;0;4088;5773
52 Goiás;2009;4;2438;7568
53 Distrito Federal;2009;0;297;857
11 Rondônia;2010;0;1117;1909
12 Acre;2010;0;350;771
13 Amazonas;2010;0;1567;1939
14 Roraima;2010;0;236;394
15 Pará;2010;0;6121;11294
16 Amapá;2010;0;239;503
17 Tocantins;2010;0;1766;2689
21 Maranhão;2010;0;5627;12670
22 Piauí;2010;0;3147;3847
23 Ceará;2010;1;3288;5781
24 Rio Grande do Norte;2010;0;435;579
25 Paraíba;2010;0;1203;1397
26 Pernambuco;2010;0;5463;6543
27 Alagoas;2010;0;695;1001
28 Sergipe;2010;0;884;1188
29 Bahia;2010;8;4682;7103
31 Minas Gerais;2010;0;1436;4230
32 Espírito Santo;2010;0;2085;2149
33 Rio de Janeiro;2010;0;2891;4632
35 São Paulo;2010;2;2585;4790
41 Paraná;2010;0;896;2877
42 Santa Catarina;2010;0;195;604
43 Rio Grande do Sul;2010;0;91;387
50 Mato Grosso do Sul;2010;0;812;2980
51 Mato Grosso;2010;0;3411;6303
52 Goiás;2010;0;1953;6745
53 Distrito Federal;2010;0;279;759
11 Rondônia;2011;0;976;1936
12 Acre;2011;0;255;787
13 Amazonas;2011;0;1012;1988
14 Roraima;2011;0;179;312
15 Pará;2011;0;5655;11743
16 Amapá;2011;0;313;635
17 Tocantins;2011;0;1620;2551
21 Maranhão;2011;0;5148;12034
22 Piauí;2011;0;2175;2797
23 Ceará;2011;0;2635;5829
24 Rio Grande do Norte;2011;2;429;586
25 Paraíba;2011;0;1186;1651
26 Pernambuco;2011;0;5041;6338
27 Alagoas;2011;0;706;930
28 Sergipe;2011;0;875;1072
29 Bahia;2011;5;4309;6975
31 Minas Gerais;2011;0;1482;4256
32 Espírito Santo;2011;0;2110;1943
33 Rio de Janeiro;2011;0;2603;4373
35 São Paulo;2011;0;2267;4595
41 Paraná;2011;0;646;2857
42 Santa Catarina;2011;0;205;615
43 Rio Grande do Sul;2011;2;72;424
50 Mato Grosso do Sul;2011;0;720;2366
51 Mato Grosso;2011;0;3380;6303
52 Goiás;2011;0;1880;6567
