UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;1;591;697
12 Acre;2001;0;186;269
13 Amazonas;2001;0;707;753
14 Roraima;2001;1;170;183
15 Pará;2001;17;2581;3222
16 Amapá;2001;1;63;90
17 Tocantins;2001;1;687;614
21 Maranhão;2001;2;2076;3015
22 Piauí;2001;7;1109;853
23 Ceará;2001;31;1151;1775
24 Rio Grande do Norte;2001;0;105;148
25 Paraíba;2001;2;460;430
26 Pernambuco;2001;35;1688;1723
27 Alagoas;2001;2;205;174
28 Sergipe;2001;1;172;154
29 Bahia;2001;43;1201;1249
31 Minas Gerais;2001;8;678;2313
32 Espírito Santo;2001;0;888;697
33 Rio de Janeiro;2001;12;1539;1692
35 São Paulo;2001;21;1659;1858
41 Paraná;2001;27;641;1117
42 Santa Catarina;2001;3;59;135
43 Rio Grande do Sul;2001;4;79;148
50 Mato Grosso do Sul;2001;0;286;332
51 Mato Grosso;2001;8;2213;1760
52 Goiás;2001;45;861;2443
53 Distrito Federal;2001;2;175;324
11 Rondônia;2002;3;636;731
12 Acre;2002;0;164;257
13 Amazonas;2002;4;815;740
14 Roraima;2002;2;132;239
15 Pará;2002;20;2901;3793
16 Amapá;2002;0;92;126
17 Tocantins;2002;0;747;637
21 Maranhão;2002;3;2453;3057
22 Piauí;2002;9;1024;819
23 Ceará;2002;19;1126;1645
24 Rio Grande do Norte;2002;0;114;158
25 Paraíba;2002;0;493;481
26 Pernambuco;2002;68;1766;1890
27 Alagoas;2002;3;247;190
28 Sergipe;2002;4;264;232
29 Bahia;2002;48;1338;1321
31 Minas Gerais;2002;4;967;2742
32 Espírito Santo;2002;0;1042;777
33 Rio de Janeiro;2002;26;1771;1963
35 São Paulo;2002;35;1583;1846
41 Paraná;2002;24;716;1238
42 Santa Catarina;2002;12;82;165
43 Rio Grande do Sul;2002;8;69;214
50 Mato Grosso do Sul;2002;4;331;356
51 Mato Grosso;2002;10;2164;1843
52 Goiás;2002;82;1123;2567
53 Distrito Federal;2002;3;211;323
11 Rondônia;2003;2;736;813
12 Acre;2003;1;206;271
13 Amazonas;2003;15;637;653
14 Roraima;2003;0;155;218
15 Pará;2003;29;3134;3940
16 Amapá;2003;3;125;145
17 Tocantins;2003;0;837;677
21 Maranhão;2003;8;2606;3159
22 Piauí;2003;10;1243;834
23 Ceará;2003;23;1143;2055
24 Rio Grande do Norte;2003;4;140;136
25 Paraíba;2003;3;589;433
26 Pernambuco;2003;48;2110;2032
27 Alagoas;2003;1;339;261
28 Sergipe;2003;2;380;287
29 Bahia;2003;67;1959;1596
31 Minas Gerais;2003;1;1055;2617
32 Espírito Santo;2003;0;1190;747
33 Rio de Janeiro;2003;17;1616;1754
35 São Paulo;2003;26;1777;1791
41 Paraná;2003;8;776;1273
42 Santa Catarina;2003;12;93;191
43 Rio Grande do Sul;2003;2;63;198
50 Mato Grosso do Sul;2003;4;398;398
51 Mato Grosso;2003;5;2242;2111
52 Goiás;2003;59;1222;2658
53 Distrito Federal;2003;0;232;286
11 Rondônia;2004;2;802;699
12 Acre;2004;0;150;224
13 Amazonas;2004;7;566;677
14 Roraima;2004;1;142;199
15 Pará;2004;15;3033;3874
16 Amapá;2004;2;102;129
17 Tocantins;2004;1;793;740
21 Maranhão;2004;3;2580;3448
22 Piauí;2004;14;1062;894
23 Ceará;2004;12;1151;1913
24 Rio Grande do Norte;2004;2;191;173
25 Paraíba;2004;0;545;463
26 Pernambuco;2004;27;1856;2049
27 Alagoas;2004;4;274;226
28 Sergipe;2004;0;351;311
29 Bahia;2004;53;2503;1799
31 Minas Gerais;2004;3;1102;2321
32 Espírito Santo;2004;0;1033;681
33 Rio de Janeiro;2004;7;1525;1762
35 São Paulo;2004;12;1530;1725
41 Paraná;2004;4;769;1332
42 Santa Catarina;2004;10;106;184
43 Rio Grande do Sul;2004;4;60;205
50 Mato Grosso do Sul;2004;1;406;383
51 Mato Grosso;2004;9;2012;1915
52 Goiás;2004;67;1104;2749
53 Distrito Federal;2004;0;162;295
11 Rondônia;2005;3;675;759
12 Acre;2005;2;164;237
13 Amazonas;2005;8;521;610
14 Roraima;2005;0;127;188
15 Pará;2005;25;2823;3504
16 Amapá;2005;2;80;129
17 Tocantins;2005;1;778;706
21 Maranhão;2005;5;2659;3833
22 Piauí;2005;15;1097;966
23 Ceará;2005;12;1299;1798
24 Rio Grande do Norte;2005;2;324;212
25 Paraíba;2005;1;655;475
26 Pernambuco;2005;29;1870;1972
27 Alagoas;2005;0;268;250
28 Sergipe;2005;1;441;328
29 Bahia;2005;47;2090;1972
31 Minas Gerais;2005;5;1023;2240
32 Espírito Santo;2005;1;965;681
33 Rio de Janeiro;2005;10;1410;1609
35 São Paulo;2005;19;1458;1694
41 Paraná;2005;9;654;1249
42 Santa Catarina;2005;5;90;187
43 Rio Grande do Sul;2005;0;52;225
50 Mato Grosso do Sul;2005;2;346;352
51 Mato Grosso;2005;8;1890;2290
52 Goiás;2005;69;982;2800
53 Distrito Federal;2005;0;176;287
11 Rondônia;2006;2;728;801
12 Acre;2006;0;313;297
13 Amazonas;2006;4;443;605
14 Roraima;2006;0;117;201
15 Pará;2006;20;2419;3331
16 Amapá;2006;1;92;150
17 Tocantins;2006;0;909;753
21 Maranhão;2006;2;2207;3283
22 Piauí;2006;8;945;912
23 Ceará;2006;11;1131;1585
24 Rio Grande do Norte;2006;2;163;187
25 Paraíba;2006;2;590;480
26 Pernambuco;2006;16;2038;1799
27 Alagoas;2006;2;264;235
28 Sergipe;2006;1;355;314
29 Bahia;2006;35;1767;1907
31 Minas Gerais;2006;4;973;1868
32 Espírito Santo;2006;0;792;559
33 Rio de Janeiro;2006;9;1400;1626
35 São Paulo;2006;11;1210;1513
41 Paraná;2006;2;582;1254
42 Santa Catarina;2006;0;93;172
43 Rio Grande do Sul;2006;3;62;197
50 Mato Grosso do Sul;2006;4;328;368
51 Mato Grosso;2006;7;1641;2056
52 Goiás;2006;26;860;2790
53 Distrito Federal;2006;1;164;249
11 Rondônia;2007;0;699;663
12 Acre;2007;0;139;177
13 Amazonas;2007;5;430;483
14 Roraima;2007;0;91;177
15 Pará;2007;3;2102;3159
16 Amapá;2007;0;69;102
17 Tocantins;2007;0;789;759
21 Maranhão;2007;1;1857;3032
22 Piauí;2007;0;829;855
23 Ceará;2007;5;1125;1692
24 Rio Grande do Norte;2007;0;195;234
25 Paraíba;2007;0;473;458
26 Pernambuco;2007;0;1736;1740
27 Alagoas;2007;0;220;225
28 Sergipe;2007;0;325;325
29 Bahia;2007;5;1646;1718
31 Minas Gerais;2007;0;755;1683
32 Espírito Santo;2007;0;810;515
33 Rio de Janeiro;2007;0;1138;1393
35 São Paulo;2007;6;1090;1511
41 Paraná;2007;0;459;1088
42 Santa Catarina;2007;1;70;186
43 Rio Grande do Sul;2007;1;44;181
50 Mato Grosso do Sul;2007;0;275;390
51 Mato Grosso;2007;0;1434;1959
52 Goiás;2007;18;727;2427
53 Distrito Federal;2007;1;144;246
11 Rondônia;2008;0;584;667
12 Acre;2008;0;108;190
13 Amazonas;2008;2;401;556
14 Roraima;2008;0;80;152
15 Pará;2008;0;2216;3343
16 Amapá;2008;0;72;176
17 Tocantins;2008;0;803;857
21 Maranhão;2008;1;1760;3391
22 Piauí;2008;0;1177;1135
23 Ceará;2008;6;1144;1713
24 Rio Grande do Norte;2008;0;139;183
25 Paraíba;2008;0;433;455
26 Pernambuco;2008;1;1632;1687
27 Alagoas;2008;0;201;253
28 Sergipe;2008;0;257;280
29 Bahia;2008;8;1506;1887
31 Minas Gerais;2008;0;693;1479
32 Espírito Santo;2008;0;691;569
33 Rio de Janeiro;2008;0;1042;1327
35 São Paulo;2008;1;1110;1530
41 Paraná;2008;0;466;1078
42 Santa Catarina;2008;0;58;189
43 Rio Grande do Sul;2008;1;56;170
50 Mato Grosso do Sul;2008;0;299;431
51 Mato Grosso;2008;0;1310;1872
52 Goiás;2008;9;773;2488
53 Distrito Federal;2008;1;121;262
11 Rondônia;2009;0;535;693
12 Acre;2009;0;88;201
13 Amazonas;2009;3;346;556
14 Roraima;2009;0;59;131
15 Pará;2009;2;1923;3142
16 Amapá;2009;0;86;181
17 Tocantins;2009;0;620;765
21 Maranhão;2009;1;1490;3242
22 Piauí;2009;2;803;912
23 Ceará;2009;1;940;1674
24 Rio Grande do Norte;2009;0;177;178
25 Paraíba;2009;2;406;466
26 Pernambuco;2009;3;1860;1784
27 Alagoas;2009;1;244;236
28 Sergipe;2009;0;309;305
29 Bahia;2009;3;1564;1805
31 Minas Gerais;2009;0;663;1411
32 Espírito Santo;2009;0;649;575
33 Rio de Janeiro;2009;0;989;1340
35 São Paulo;2009;3;986;1398
41 Paraná;2009;0;407;1009
42 Santa Catarina;2009;0;70;155
43 Rio Grande do Sul;2009;0;45;163
50 Mato Grosso do Sul;2009;0;291;495
51 Mato Grosso;2009;0;1287;1867
52 Goiás;2009;16;766;2462
53 Distrito Federal;2009;0;106;261
11 Rondônia;2010;0;415;665
12 Acre;2010;0;93;183
13 Amazonas;2010;0;373;510
14 Roraima;2010;0;62;99
15 Pará;2010;0;1612;2963
16 Amapá;2010;0;68;120
17 Tocantins;2010;0;543;772
21 Maranhão;2010;0;1544;3344
22 Piauí;2010;1;859;1006
23 Ceará;2010;1;958;1517
24 Rio Grande do Norte;2010;0;136;176
25 Paraíba;2010;1;368;392
26 Pernambuco;2010;0;1562;1718
27 Alagoas;2010;0;209;270
28 Sergipe;2010;0;227;267
29 Bahia;2010;3;1348;1888
31 Minas Gerais;2010;2;491;1317
32 Espírito Santo;2010;0;591;533
33 Rio de Janeiro;2010;0;898;1255
35 São Paulo;2010;2;837;1408
41 Paraná;2010;0;341;962
42 Santa Catarina;2010;0;70;172
43 Rio Grande do Sul;2010;0;36;144
50 Mato Grosso do Sul;2010;0;222;599
51 Mato Grosso;2010;1;1089;2059
52 Goiás;2010;30;704;2261
53 Distrito Federal;2010;0;94;245
11 Rondônia;2011;1;358;638
12 Acre;2011;0;72;188
13 Amazonas;2011;0;270;486
14 Roraima;2011;0;52;89
15 Pará;2011;1;1568;3117
16 Amapá;2011;0;89;139
17 Tocantins;2011;0;475;779
21 Maranhão;2011;0;1435;3255
22 Piauí;2011;0;643;803
23 Ceará;2011;1;777;1514
24 Rio Grande do Norte;2011;1;137;164
25 Paraíba;2011;2;366;495
26 Pernambuco;2011;1;1430;1768
27 Alagoas;2011;0;204;244
28 Sergipe;2011;0;246;272
29 Bahia;2011;3;1266;1968
31 Minas Gerais;2011;2;487;1287
32 Espírito Santo;2011;0;613;519
33 Rio de Janeiro;2011;0;828;1273
35 São Paulo;2011;0;754;1438
41 Paraná;2011;0;262;964
42 Santa Catarina;2011;0;75;202
43 Rio Grande do Sul;2011;1;34;158
50 Mato Grosso do Sul;2011;0;234;727
51 Mato Grosso;2011;0;1132;2152
52 Goiás;2011;22;668;2038
