UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;0;5;29
12 Acre;2001;0;181;1037
13 Amazonas;2001;0;1;15
14 Roraima;2001;6;271;1462
15 Pará;2001;0;552;3833
16 Amapá;2001;0;114;672
17 Tocantins;2001;5;982;3530
21 Maranhão;2001;0;262;1710
22 Piauí;2001;0;137;504
23 Ceará;2001;0;56;199
24 Rio Grande do Norte;2001;0;0;7
25 Paraíba;2001;0;179;684
26 Pernambuco;2001;0;78;604
27 Alagoas;2001;0;69;183
28 Sergipe;2001;0;204;737
29 Bahia;2001;0;67;362
31 Minas Gerais;2001;52;956;16621
32 Espírito Santo;2001;0;387;1132
33 Rio de Janeiro;2001;13;161;1025
35 São Paulo;2001;8;619;1716
41 Paraná;2001;6;174;1011
42 Santa Catarina;2001;0;24;308
43 Rio Grande do Sul;2001;0;101;631
50 Mato Grosso do Sul;2001;0;106;349
51 Mato Grosso;2001;8;872;1972
52 Goiás;2001;0;25;105
11 Rondônia;2002;6;806;2961
12 Acre;2002;0;220;2098
13 Amazonas;2002;0;60;221
14 Roraima;2002;10;206;2055
15 Pará;2002;28;2370;10629
16 Amapá;2002;0;159;990
17 Tocantins;2002;0;1177;4243
21 Maranhão;2002;10;2852;11624
22 Piauí;2002;1;205;1182
23 Ceará;2002;0;77;551
24 Rio Grande do Norte;2002;0;0;9
25 Paraíba;2002;0;372;1428
26 Pernambuco;2002;87;1483;5776
27 Alagoas;2002;2;364;1036
28 Sergipe;2002;14;375;1633
29 Bahia;2002;82;1090;3455
31 Minas Gerais;2002;4;1463;18728
32 Espírito Santo;2002;0;1459;3541
33 Rio de Janeiro;2002;62;1244;6166
35 São Paulo;2002;98;3035;9239
41 Paraná;2002;0;346;2709
42 Santa Catarina;2002;83;270;1434
43 Rio Grande do Sul;2002;43;150;2161
50 Mato Grosso do Sul;2002;0;452;1010
51 Mato Grosso;2002;14;3238;8602
52 Goiás;2002;0;33;418
53 Distrito Federal;2002;7;314;1348
11 Rondônia;2003;20;1084;3578
12 Acre;2003;0;290;2677
13 Amazonas;2003;16;918;3560
14 Roraima;2003;0;244;2185
15 Pará;2003;50;4738;19422
16 Amapá;2003;12;262;1614
17 Tocantins;2003;0;1350;5029
21 Maranhão;2003;9;3903;17885
22 Piauí;2003;36;1609;5110
23 Ceará;2003;48;1509;9447
24 Rio Grande do Norte;2003;4;109;395
25 Paraíba;2003;6;637;2266
26 Pernambuco;2003;66;2738;10518
27 Alagoas;2003;2;552;1776
28 Sergipe;2003;2;614;2121
29 Bahia;2003;141;3380;9193
31 Minas Gerais;2003;3;1678;18626
32 Espírito Santo;2003;0;1791;4198
33 Rio de Janeiro;2003;79;2810;13967
35 São Paulo;2003;75;3883;12358
41 Paraná;2003;11;1542;11045
42 Santa Catarina;2003;24;210;1760
43 Rio Grande do Sul;2003;10;132;2086
50 Mato Grosso do Sul;2003;13;792;2220
51 Mato Grosso;2003;8;3284;10259
52 Goiás;2003;53;1674;16734
53 Distrito Federal;2003;0;368;2129
11 Rondônia;2004;5;1172;3243
12 Acre;2004;0;217;2467
13 Amazonas;2004;21;794;4095
14 Roraima;2004;2;200;2266
15 Pará;2004;48;4753;20596
16 Amapá;2004;2;197;1391
17 Tocantins;2004;0;1383;5291
21 Maranhão;2004;2;3667;18853
22 Piauí;2004;50;1824;6403
23 Ceará;2004;16;1921;12136
24 Rio Grande do Norte;2004;0;247;744
25 Paraíba;2004;0;859;3251
26 Pernambuco;2004;44;2486;11183
27 Alagoas;2004;5;430;1827
28 Sergipe;2004;0;588;2964
29 Bahia;2004;158;3860;11195
31 Minas Gerais;2004;20;1806;15901
32 Espírito Santo;2004;0;1456;4072
33 Rio de Janeiro;2004;27;2754;15427
35 São Paulo;2004;26;3649;13071
41 Paraná;2004;31;2121;13830
42 Santa Catarina;2004;50;285;1507
43 Rio Grande do Sul;2004;21;121;2149
50 Mato Grosso do Sul;2004;0;622;2355
51 Mato Grosso;2004;13;2966;9608
52 Goiás;2004;76;1651;18567
53 Distrito Federal;2004;0;261;2054
11 Rondônia;2005;18;1007;3574
12 Acre;2005;38;215;2617
13 Amazonas;2005;12;770;3641
14 Roraima;2005;0;197;1822
15 Pará;2005;42;4357;20695
16 Amapá;2005;0;161;1092
17 Tocantins;2005;2;1277;4916
21 Maranhão;2005;13;4049;21180
22 Piauí;2005;53;1813;7320
23 Ceará;2005;23;2058;13996
24 Rio Grande do Norte;2005;2;399;1140
25 Paraíba;2005;1;1089;3233
26 Pernambuco;2005;53;2560;11720
27 Alagoas;2005;0;409;2195
28 Sergipe;2005;1;730;2817
