UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;0;1121;1478
12 Acre;2001;0;176;443
13 Amazonas;2001;0;421;649
14 Roraima;2001;0;275;246
15 Pará;2001;9;2326;3132
16 Amapá;2001;0;0;25
17 Tocantins;2001;2;1076;911
21 Maranhão;2001;0;2402;4241
22 Piauí;2001;12;420;501
23 Ceará;2001;2;780;1023
24 Rio Grande do Norte;2001;0;30;161
25 Paraíba;2001;0;336;438
26 Pernambuco;2001;5;1257;1342
27 Alagoas;2001;5;304;239
28 Sergipe;2001;0;180;295
29 Bahia;2001;4;1332;1736
31 Minas Gerais;2001;0;1011;3657
32 Espírito Santo;2001;0;1897;1740
33 Rio de Janeiro;2001;13;967;1603
35 São Paulo;2001;38;2616;3463
41 Paraná;2001;5;957;2047
42 Santa Catarina;2001;11;50;129
43 Rio Grande do Sul;2001;3;52;141
50 Mato Grosso do Sul;2001;0;185;292
51 Mato Grosso;2001;15;2443;2001
52 Goiás;2001;4;997;2963
53 Distrito Federal;2001;15;396;706
11 Rondônia;2002;7;1189;1557
12 Acre;2002;0;242;381
13 Amazonas;2002;7;814;972
14 Roraima;2002;0;199;399
15 Pará;2002;29;2829;4037
16 Amapá;2002;1;68;79
17 Tocantins;2002;9;1113;1002
21 Maranhão;2002;4;3414;4865
22 Piauí;2002;0;396;665
23 Ceará;2002;8;747;1277
24 Rio Grande do Norte;2002;0;128;233
25 Paraíba;2002;0;380;659
26 Pernambuco;2002;11;1181;1856
27 Alagoas;2002;5;429;296
28 Sergipe;2002;7;354;449
29 Bahia;2002;29;1225;1743
31 Minas Gerais;2002;0;1007;3774
32 Espírito Santo;2002;0;2688;2434
33 Rio de Janeiro;2002;24;1227;1741
35 São Paulo;2002;93;2937;3909
41 Paraná;2002;17;1192;2341
42 Santa Catarina;2002;5;62;219
43 Rio Grande do Sul;2002;5;44;224
50 Mato Grosso do Sul;2002;7;376;515
51 Mato Grosso;2002;19;3237;2956
52 Goiás;2002;0;1178;3356
53 Distrito Federal;2002;1;353;634
11 Rondônia;2003;2;1286;1659
12 Acre;2003;0;63;99
13 Amazonas;2003;176;901;1053
14 Roraima;2003;0;243;479
15 Pará;2003;44;3608;4878
16 Amapá;2003;0;9;23
17 Tocantins;2003;1;1430;1012
21 Maranhão;2003;5;4115;4984
22 Piauí;2003;15;1211;1059
23 Ceará;2003;19;1169;2494
24 Rio Grande do Norte;2003;0;187;189
25 Paraíba;2003;0;481;470
26 Pernambuco;2003;20;1818;2583
27 Alagoas;2003;8;606;474
28 Sergipe;2003;3;703;599
29 Bahia;2003;74;2589;2676
31 Minas Gerais;2003;0;1241;3621
32 Espírito Santo;2003;0;3374;2402
33 Rio de Janeiro;2003;15;1891;2428
35 São Paulo;2003;64;3338;3960
41 Paraná;2003;9;1173;2286
42 Santa Catarina;2003;6;121;252
43 Rio Grande do Sul;2003;7;54;383
50 Mato Grosso do Sul;2003;0;491;487
51 Mato Grosso;2003;16;3198;3125
52 Goiás;2003;5;2081;3735
53 Distrito Federal;2003;4;403;594
11 Rondônia;2004;2;1433;1410
12 Acre;2004;0;110;268
13 Amazonas;2004;21;915;1117
14 Roraima;2004;0;321;485
15 Pará;2004;12;3450;5455
16 Amapá;2004;0;18;18
17 Tocantins;2004;0;1659;1482
21 Maranhão;2004;4;3681;5433
22 Piauí;2004;1;1395;1469
23 Ceará;2004;8;1500;3060
24 Rio Grande do Norte;2004;0;233;260
25 Paraíba;2004;0;591;581
26 Pernambuco;2004;31;1994;3453
27 Alagoas;2004;0;453;410
28 Sergipe;2004;0;586;750
29 Bahia;2004;48;2652;2650
31 Minas Gerais;2004;0;1510;3951
