UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;0;1665;1862
12 Acre;2001;0;656;1077
13 Amazonas;2001;0;419;657
14 Roraima;2001;0;645;593
15 Pará;2001;14;3370;4444
16 Amapá;2001;13;231;332
17 Tocantins;2001;0;1963;1713
21 Maranhão;2001;5;4397;5393
22 Piauí;2001;3;403;429
23 Ceará;2001;3;1316;1207
24 Rio Grande do Norte;2001;0;40;133
25 Paraíba;2001;0;1075;1033
26 Pernambuco;2001;30;2256;1823
27 Alagoas;2001;0;408;324
28 Sergipe;2001;0;381;489
29 Bahia;2001;4;2178;2181
31 Minas Gerais;2001;0;2200;7936
32 Espírito Santo;2001;0;2692;2219
33 Rio de Janeiro;2001;16;1500;2019
35 São Paulo;2001;14;2262;2774
41 Paraná;2001;5;1308;2460
42 Santa Catarina;2001;2;55;164
43 Rio Grande do Sul;2001;3;100;242
50 Mato Grosso do Sul;2001;0;207;317
51 Mato Grosso;2001;3;2991;2155
52 Goiás;2001;4;1585;4000
53 Distrito Federal;2001;19;634;1150
11 Rondônia;2002;9;1697;2040
12 Acre;2002;0;744;1055
13 Amazonas;2002;0;674;789
14 Roraima;2002;0;498;977
15 Pará;2002;95;6716;8635
16 Amapá;2002;6;347;469
17 Tocantins;2002;0;2718;2269
21 Maranhão;2002;13;7353;8691
22 Piauí;2002;0;592;758
23 Ceará;2002;5;1017;1352
24 Rio Grande do Norte;2002;0;117;45
25 Paraíba;2002;0;1013;1281
26 Pernambuco;2002;31;3098;2964
27 Alagoas;2002;5;829;605
28 Sergipe;2002;1;713;678
29 Bahia;2002;62;3481;3667
31 Minas Gerais;2002;0;3236;9499
32 Espírito Santo;2002;0;3814;2994
33 Rio de Janeiro;2002;36;2655;3183
35 São Paulo;2002;94;4029;4604
41 Paraná;2002;16;1390;2586
42 Santa Catarina;2002;41;171;482
43 Rio Grande do Sul;2002;13;142;499
50 Mato Grosso do Sul;2002;7;680;730
51 Mato Grosso;2002;15;6401;5263
52 Goiás;2002;0;1918;5386
53 Distrito Federal;2002;8;641;1039
11 Rondônia;2003;4;2134;2248
12 Acre;2003;13;776;1019
13 Amazonas;2003;204;2024;2188
14 Roraima;2003;0;630;805
15 Pará;2003;97;11907;14124
16 Amapá;2003;17;523;612
17 Tocantins;2003;1;2907;2269
21 Maranhão;2003;17;9778;11600
22 Piauí;2003;5;3634;2609
23 Ceará;2003;27;2998;5797
24 Rio Grande do Norte;2003;0;319;316
25 Paraíba;2003;0;1590;1296
26 Pernambuco;2003;105;5180;5312
27 Alagoas;2003;14;1252;971
28 Sergipe;2003;4;1120;910
29 Bahia;2003;148;6823;5854
31 Minas Gerais;2003;0;3665;8803
32 Espírito Santo;2003;0;4538;2932
33 Rio de Janeiro;2003;51;5085;5816
35 São Paulo;2003;70;4883;4825
41 Paraná;2003;13;1897;3452
42 Santa Catarina;2003;33;252;470
43 Rio Grande do Sul;2003;6;126;482
50 Mato Grosso do Sul;2003;8;974;1008
51 Mato Grosso;2003;20;6891;6136
52 Goiás;2003;1;3693;7790
53 Distrito Federal;2003;0;716;972
11 Rondônia;2004;2;2329;2135
12 Acre;2004;0;639;917
13 Amazonas;2004;29;2396;2700
14 Roraima;2004;0;623;806
15 Pará;2004;74;11947;15239
16 Amapá;2004;10;426;458
17 Tocantins;2004;2;2961;2654
21 Maranhão;2004;8;9251;12545
22 Piauí;2004;4;3815;3063
23 Ceará;2004;13;3506;6368
24 Rio Grande do Norte;2004;0;623;585
25 Paraíba;2004;1;1832;1507
26 Pernambuco;2004;48;4659;5934
27 Alagoas;2004;0;1004;877
28 Sergipe;2004;0;1124;1077
29 Bahia;2004;107;7956;5992
31 Minas Gerais;2004;5;3513;7980
32 Espírito Santo;2004;0;3874;2491
33 Rio de Janeiro;2004;16;4827;5653
35 São Paulo;2004;15;4204;5125
41 Paraná;2004;15;2101;3993
42 Santa Catarina;2004;21;266;662
43 Rio Grande do Sul;2004;4;191;579
50 Mato Grosso do Sul;2004;3;893;948
51 Mato Grosso;2004;2;6022;5325
52 Goiás;2004;2;3506;8062
53 Distrito Federal;2004;0;544;1029
11 Rondônia;2005;7;1885;2226
12 Acre;2005;11;632;937
13 Amazonas;2005;3;2188;2511
14 Roraima;2005;0;486;694
15 Pará;2005;29;11287;13934
16 Amapá;2005;10;318;502
17 Tocantins;2005;0;2859;2642
21 Maranhão;2005;16;9698;14114
22 Piauí;2005;20;4070;3617
23 Ceará;2005;20;4256;6134
24 Rio Grande do Norte;2005;10;1121;738
25 Paraíba;2005;1;2123;1678
26 Pernambuco;2005;76;5720;6262
27 Alagoas;2005;0;847;890
28 Sergipe;2005;0;1632;1236
29 Bahia;2005;72;6769;6448
31 Minas Gerais;2005;11;3439;7381
32 Espírito Santo;2005;0;3714;2786
33 Rio de Janeiro;2005;28;4162;5035
35 São Paulo;2005;58;4138;5240
41 Paraná;2005;17;1763;3729
42 Santa Catarina;2005;7;252;597
43 Rio Grande do Sul;2005;0;175;741
50 Mato Grosso do Sul;2005;4;895;853
51 Mato Grosso;2005;19;5875;6656
52 Goiás;2005;26;3013;8633
53 Distrito Federal;2005;5;545;980
11 Rondônia;2006;9;2060;2222
12 Acre;2006;5;1350;1288
13 Amazonas;2006;0;1743;2262
14 Roraima;2006;0;485;785
15 Pará;2006;68;9802;12507
16 Amapá;2006;4;360;560
17 Tocantins;2006;0;3560;2859
21 Maranhão;2006;2;8330;12651
22 Piauí;2006;40;3462;3404
23 Ceará;2006;26;4062;6213
24 Rio Grande do Norte;2006;3;562;650
25 Paraíba;2006;1;1920;1710
26 Pernambuco;2006;57;7120;6739
27 Alagoas;2006;0;908;811
28 Sergipe;2006;0;1302;1227
29 Bahia;2006;80;5594;5836
31 Minas Gerais;2006;3;3126;6449
32 Espírito Santo;2006;0;2996;2171
33 Rio de Janeiro;2006;58;3986;5139
35 São Paulo;2006;41;3479;4303
41 Paraná;2006;9;1987;3988
42 Santa Catarina;2006;0;340;480
43 Rio Grande do Sul;2006;2;237;561
50 Mato Grosso do Sul;2006;3;932;1043
51 Mato Grosso;2006;3;5150;6755
52 Goiás;2006;13;2837;8396
53 Distrito Federal;2006;2;492;848
11 Rondônia;2007;0;1961;1765
12 Acre;2007;0;555;807
13 Amazonas;2007;5;1565;1761
14 Roraima;2007;0;322;670
15 Pará;2007;16;8310;11952
16 Amapá;2007;2;296;410
17 Tocantins;2007;0;2922;2607
21 Maranhão;2007;0;6961;11255
22 Piauí;2007;0;3012;3197
23 Ceará;2007;5;3789;6215
24 Rio Grande do Norte;2007;0;666;869
25 Paraíba;2007;0;1539;1613
26 Pernambuco;2007;0;6516;6822
27 Alagoas;2007;0;795;836
28 Sergipe;2007;0;1167;1135
29 Bahia;2007;3;5578;6211
31 Minas Gerais;2007;0;2313;5929
32 Espírito Santo;2007;0;3049;1941
33 Rio de Janeiro;2007;1;3694;4515
35 São Paulo;2007;11;3190;4900
41 Paraná;2007;0;1287;3584
42 Santa Catarina;2007;0;199;675
43 Rio Grande do Sul;2007;0;116;490
50 Mato Grosso do Sul;2007;0;886;1388
51 Mato Grosso;2007;0;4587;6073
52 Goiás;2007;0;2216;7261
53 Distrito Federal;2007;4;476;810
11 Rondônia;2008;0;1585;1935
12 Acre;2008;0;518;1004
13 Amazonas;2008;10;1619;1898
14 Roraima;2008;0;353;587
15 Pará;2008;0;9123;13210
16 Amapá;2008;0;299;787
17 Tocantins;2008;0;3071;3009
21 Maranhão;2008;0;6734;12430
22 Piauí;2008;0;4209;4432
23 Ceará;2008;3;4193;6871
24 Rio Grande do Norte;2008;0;489;677
25 Paraíba;2008;0;1424;1567
26 Pernambuco;2008;0;5954;6427
27 Alagoas;2008;0;683;995
28 Sergipe;2008;0;952;1307
29 Bahia;2008;18;5344;7130
31 Minas Gerais;2008;0;2316;5277
32 Espírito Santo;2008;0;2424;2411
33 Rio de Janeiro;2008;6;3468;4709
35 São Paulo;2008;11;3449;5194
41 Paraná;2008;2;1365;3257
42 Santa Catarina;2008;0;170;721
43 Rio Grande do Sul;2008;0;122;473
50 Mato Grosso do Sul;2008;4;957;1414
51 Mato Grosso;2008;0;4191;5562
52 Goiás;2008;3;2379;7286
53 Distrito Federal;2008;0;330;839
11 Rondônia;2009;0;1474;2055
12 Acre;2009;0;301;919
13 Amazonas;2009;15;1333;2175
14 Roraima;2009;0;225;556
15 Pará;2009;0;7725;12321
16 Amapá;2009;0;371;696
17 Tocantins;2009;0;2145;2675
21 Maranhão;2009;0;5526;12250
22 Piauí;2009;0;2953;3392
23 Ceará;2009;1;3273;6615
24 Rio Grande do Norte;2009;0;624;680
25 Paraíba;2009;0;1357;1535
26 Pernambuco;2009;3;6671;6707
27 Alagoas;2009;0;891;992
28 Sergipe;2009;0;1195;1143
29 Bahia;2009;8;5568;6623
31 Minas Gerais;2009;0;3651;5385
32 Espírito Santo;2009;0;2472;2131
33 Rio de Janeiro;2009;0;3333;4781
35 São Paulo;2009;0;3348;5209
41 Paraná;2009;0;1054;2919
42 Santa Catarina;2009;0;298;477
43 Rio Grande do Sul;2009;0;146;492
50 Mato Grosso do Sul;2009;0;905;1733
51 Mato Grosso;2009;0;4159;5702
52 Goiás;2009;6;2485;7519
53 Distrito Federal;2009;0;317;837
11 Rondônia;2010;0;1137;1889
12 Acre;2010;0;350;771
13 Amazonas;2010;0;1579;1927
14 Roraima;2010;0;240;390
15 Pará;2010;0;6282;11133
16 Amapá;2010;0;235;507
17 Tocantins;2010;0;1823;2632
21 Maranhão;2010;0;5730;12567
22 Piauí;2010;0;3173;3821
