UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;0;620;669
12 Acre;2001;0;180;275
13 Amazonas;2001;1;725;734
14 Roraima;2001;1;175;178
15 Pará;2001;22;2630;3168
16 Amapá;2001;4;66;84
17 Tocantins;2001;3;704;595
21 Maranhão;2001;5;2093;2995
22 Piauí;2001;8;1120;841
23 Ceará;2001;32;1167;1758
24 Rio Grande do Norte;2001;0;105;148
25 Paraíba;2001;2;464;426
26 Pernambuco;2001;30;1707;1709
27 Alagoas;2001;4;208;169
28 Sergipe;2001;2;174;151
29 Bahia;2001;13;1218;1262
31 Minas Gerais;2001;2;705;2292
32 Espírito Santo;2001;0;903;682
33 Rio de Janeiro;2001;20;1545;1678
35 São Paulo;2001;37;1667;1834
41 Paraná;2001;29;652;1104
42 Santa Catarina;2001;4;57;136
43 Rio Grande do Sul;2001;3;78;150
50 Mato Grosso do Sul;2001;1;295;322
51 Mato Grosso;2001;11;2277;1693
52 Goiás;2001;41;887;2421
53 Distrito Federal;2001;4;178;319
11 Rondônia;2002;7;651;712
12 Acre;2002;1;164;256
13 Amazonas;2002;4;826;729
14 Roraima;2002;1;134;238
15 Pará;2002;30;2973;3711
16 Amapá;2002;2;94;122
17 Tocantins;2002;2;769;613
21 Maranhão;2002;7;2482;3024
22 Piauí;2002;6;1036;810
23 Ceará;2002;23;1129;1638
24 Rio Grande do Norte;2002;1;112;159
25 Paraíba;2002;0;497;477
26 Pernambuco;2002;59;1789;1876
27 Alagoas;2002;4;250;186
28 Sergipe;2002;6;269;225
29 Bahia;2002;32;1364;1311
31 Minas Gerais;2002;4;957;2752
32 Espírito Santo;2002;0;1046;773
33 Rio de Janeiro;2002;21;1796;1943
35 São Paulo;2002;49;1597;1818
41 Paraná;2002;29;718;1231
42 Santa Catarina;2002;16;75;168
43 Rio Grande do Sul;2002;6;69;216
50 Mato Grosso do Sul;2002;4;334;353
51 Mato Grosso;2002;13;2218;1786
52 Goiás;2002;64;1182;2526
53 Distrito Federal;2002;3;211;323
11 Rondônia;2003;1;761;789
12 Acre;2003;2;207;269
13 Amazonas;2003;54;625;626
14 Roraima;2003;0;160;213
15 Pará;2003;38;3194;3871
16 Amapá;2003;4;128;141
17 Tocantins;2003;1;855;658
21 Maranhão;2003;9;2648;3116
22 Piauí;2003;14;1257;816
23 Ceará;2003;25;1146;2050
24 Rio Grande do Norte;2003;2;140;138
25 Paraíba;2003;3;597;425
26 Pernambuco;2003;51;2138;2001
