UF de notificação;Ano;Ign/Branco;PAUCIBACILAR;MULTIBACILAR
11 Rondônia;2001;0;5;29
12 Acre;2001;0;175;1043
13 Amazonas;2001;0;1;15
14 Roraima;2001;6;290;1443
15 Pará;2001;0;582;3803
16 Amapá;2001;38;137;611
17 Tocantins;2001;0;1012;3505
21 Maranhão;2001;0;264;1708
22 Piauí;2001;0;145;496
23 Ceará;2001;0;56;199
24 Rio Grande do Norte;2001;0;0;7
25 Paraíba;2001;0;180;683
26 Pernambuco;2001;0;79;603
27 Alagoas;2001;0;69;183
28 Sergipe;2001;2;201;738
29 Bahia;2001;0;70;359
31 Minas Gerais;2001;0;951;16678
32 Espírito Santo;2001;0;397;1122
33 Rio de Janeiro;2001;1;151;1047
35 São Paulo;2001;12;632;1699
41 Paraná;2001;6;174;1011
42 Santa Catarina;2001;5;24;303
43 Rio Grande do Sul;2001;0;89;643
50 Mato Grosso do Sul;2001;0;109;346
51 Mato Grosso;2001;10;912;1930
52 Goiás;2001;0;7;123
11 Rondônia;2002;8;828;2937
12 Acre;2002;0;221;2097
13 Amazonas;2002;0;61;220
14 Roraima;2002;0;210;2061
15 Pará;2002;50;2406;10571
16 Amapá;2002;15;187;947
17 Tocantins;2002;0;1238;4182
21 Maranhão;2002;4;2860;11622
22 Piauí;2002;0;194;1194
23 Ceará;2002;0;71;557
24 Rio Grande do Norte;2002;0;0;9
25 Paraíba;2002;0;375;1425
26 Pernambuco;2002;50;1486;5810
27 Alagoas;2002;7;368;1027
28 Sergipe;2002;34;385;1603
29 Bahia;2002;71;1106;3450
31 Minas Gerais;2002;4;1446;18745
32 Espírito Santo;2002;0;1487;3513
33 Rio de Janeiro;2002;48;1260;6164
35 São Paulo;2002;78;3026;9268
41 Paraná;2002;1;345;2709
42 Santa Catarina;2002;91;255;1441
43 Rio Grande do Sul;2002;43;162;2149
50 Mato Grosso do Sul;2002;7;453;1002
51 Mato Grosso;2002;8;3356;8490
52 Goiás;2002;0;32;419
53 Distrito Federal;2002;8;291;1370
11 Rondônia;2003;1;1127;3554
12 Acre;2003;1;291;2675
13 Amazonas;2003;210;885;3399
14 Roraima;2003;0;251;2178
15 Pará;2003;78;4856;19276
16 Amapá;2003;13;269;1606
17 Tocantins;2003;0;1403;4976
21 Maranhão;2003;8;3987;17802
22 Piauí;2003;42;1641;5072
23 Ceará;2003;11;1516;9477
24 Rio Grande do Norte;2003;4;114;390
25 Paraíba;2003;6;638;2265
26 Pernambuco;2003;61;2784;10477
27 Alagoas;2003;8;542;1780
28 Sergipe;2003;2;622;2113
29 Bahia;2003;135;3441;9138
31 Minas Gerais;2003;0;1684;18623
32 Espírito Santo;2003;0;1865;4124
33 Rio de Janeiro;2003;80;2846;13930
35 São Paulo;2003;115;3920;12281
41 Paraná;2003;13;1490;11095
42 Santa Catarina;2003;45;257;1692
43 Rio Grande do Sul;2003;17;124;2087
50 Mato Grosso do Sul;2003;4;792;2229
51 Mato Grosso;2003;12;3394;10145
52 Goiás;2003;3;1735;16723
53 Distrito Federal;2003;2;378;2117
11 Rondônia;2004;3;1176;3241
12 Acre;2004;0;217;2467
13 Amazonas;2004;42;810;4058
14 Roraima;2004;0;208;2260
15 Pará;2004;83;4936;20378
16 Amapá;2004;17;191;1382
17 Tocantins;2004;0;1458;5216
21 Maranhão;2004;3;3765;18754
22 Piauí;2004;8;1863;6406
23 Ceará;2004;25;1897;12151
24 Rio Grande do Norte;2004;0;254;737
25 Paraíba;2004;0;886;3224
26 Pernambuco;2004;71;2516;11126
27 Alagoas;2004;4;424;1834
28 Sergipe;2004;0;607;2945
29 Bahia;2004;130;3909;11174
31 Minas Gerais;2004;22;1813;15892
32 Espírito Santo;2004;0;1481;4047
33 Rio de Janeiro;2004;27;2779;15402
35 São Paulo;2004;26;3828;12892
41 Paraná;2004;20;1846;14116
42 Santa Catarina;2004;40;263;1539
43 Rio Grande do Sul;2004;21;106;2164
50 Mato Grosso do Sul;2004;13;645;2319
51 Mato Grosso;2004;1;3008;9578
52 Goiás;2004;21;1720;18553
53 Distrito Federal;2004;0;268;2047
11 Rondônia;2005;18;1039;3542
12 Acre;2005;45;211;2614
13 Amazonas;2005;3;752;3668
14 Roraima;2005;0;206;1813
15 Pará;2005;28;4485;20581
16 Amapá;2005;11;145;1097
17 Tocantins;2005;0;1315;4880
21 Maranhão;2005;5;4099;21138
22 Piauí;2005;51;1813;7322
23 Ceará;2005;41;2067;13969
24 Rio Grande do Norte;2005;24;415;1102
25 Paraíba;2005;1;1096;3226
26 Pernambuco;2005;76;2554;11703
27 Alagoas;2005;0;412;2192
28 Sergipe;2005;0;747;2801
29 Bahia;2005;135;3420;13502
31 Minas Gerais;2005;7;1624;16253
32 Espírito Santo;2005;11;1375;4412
33 Rio de Janeiro;2005;69;2540;15020
35 São Paulo;2005;84;3501;13461
41 Paraná;2005;29;1431;12453
42 Santa Catarina;2005;18;239;1917
43 Rio Grande do Sul;2005;0;135;2574
50 Mato Grosso do Sul;2005;1;651;1971
51 Mato Grosso;2005;5;2772;10689
52 Goiás;2005;34;1482;19585
53 Distrito Federal;2005;7;259;1890
11 Rondônia;2006;5;1104;3888
12 Acre;2006;7;443;2555
13 Amazonas;2006;2;567;3326
14 Roraima;2006;0;186;1752
15 Pará;2006;76;3909;19524
16 Amapá;2006;1;158;717
17 Tocantins;2006;0;1472;5422
21 Maranhão;2006;9;3759;21591
22 Piauí;2006;29;1547;7433
23 Ceará;2006;86;2049;14906
24 Rio Grande do Norte;2006;1;301;1084
25 Paraíba;2006;5;948;3794
26 Pernambuco;2006;45;3163;12584
27 Alagoas;2006;5;466;2146
28 Sergipe;2006;0;650;2470
29 Bahia;2006;182;3066;13701
31 Minas Gerais;2006;4;1449;14435
32 Espírito Santo;2006;0;1131;3740
33 Rio de Janeiro;2006;77;2549;15601
35 São Paulo;2006;50;2867;12840
41 Paraná;2006;2;1322;14113
42 Santa Catarina;2006;0;260;1474
43 Rio Grande do Sul;2006;30;96;1971
50 Mato Grosso do Sul;2006;20;591;2339
51 Mato Grosso;2006;40;2475;10150
52 Goiás;2006;6;1354;18255
53 Distrito Federal;2006;21;258;1896
11 Rondônia;2007;0;1207;3469
12 Acre;2007;0;219;1852
13 Amazonas;2007;8;631;2875
14 Roraima;2007;0;185;1729
15 Pará;2007;38;3292;20876
16 Amapá;2007;3;132;930
17 Tocantins;2007;0;1271;4981
21 Maranhão;2007;6;3132;22613
22 Piauí;2007;0;1455;7180
23 Ceará;2007;21;1890;15981
24 Rio Grande do Norte;2007;0;318;1722
25 Paraíba;2007;0;737;3797
26 Pernambuco;2007;0;2650;16280
27 Alagoas;2007;0;410;2215
28 Sergipe;2007;0;540;2848
29 Bahia;2007;7;3065;13825
31 Minas Gerais;2007;0;1195;15280
32 Espírito Santo;2007;0;1237;3932
33 Rio de Janeiro;2007;6;2124;15128
35 São Paulo;2007;6;2788;14198
41 Paraná;2007;10;918;12913
42 Santa Catarina;2007;0;178;2346
43 Rio Grande do Sul;2007;0;86;2129
50 Mato Grosso do Sul;2007;0;483;2815
51 Mato Grosso;2007;0;2127;11530
52 Goiás;2007;0;1198;18255
53 Distrito Federal;2007;1;235;2006
11 Rondônia;2008;0;873;3488
12 Acre;2008;0;172;2194
13 Amazonas;2008;0;656;4116
14 Roraima;2008;0;136;1790
15 Pará;2008;0;3492;21792
16 Amapá;2008;0;176;2922
17 Tocantins;2008;0;1302;6257
21 Maranhão;2008;0;3049;25312
22 Piauí;2008;0;1945;8465
23 Ceará;2008;10;1942;19748
24 Rio Grande do Norte;2008;0;279;1702
25 Paraíba;2008;0;757;3657
26 Pernambuco;2008;0;2588;16786
27 Alagoas;2008;0;382;3039
28 Sergipe;2008;0;479;3142
29 Bahia;2008;98;2770;16915
31 Minas Gerais;2008;0;1298;15007
32 Espírito Santo;2008;0;1106;4259
33 Rio de Janeiro;2008;3;2174;16560
35 São Paulo;2008;50;2539;18471
41 Paraná;2008;10;1139;14663
42 Santa Catarina;2008;0;156;3482
43 Rio Grande do Sul;2008;0;281;2135
50 Mato Grosso do Sul;2008;10;689;3502
51 Mato Grosso;2008;0;2126;12507
52 Goiás;2008;1;1354;18484
53 Distrito Federal;2008;0;248;2540
11 Rondônia;2009;0;849;3960
12 Acre;2009;0;175;1915
13 Amazonas;2009;15;534;4451
14 Roraima;2009;0;84;1783
15 Pará;2009;0;3120;20676
16 Amapá;2009;0;126;2712
17 Tocantins;2009;0;948;6317
21 Maranhão;2009;0;2684;23171
22 Piauí;2009;0;1420;7962
23 Ceará;2009;5;1528;18060
24 Rio Grande do Norte;2009;0;256;1245
25 Paraíba;2009;0;711;4119
26 Pernambuco;2009;11;3141;17304
27 Alagoas;2009;0;386;2239
28 Sergipe;2009;0;573;3005
29 Bahia;2009;1;2981;16106
31 Minas Gerais;2009;0;1215;13188
32 Espírito Santo;2009;0;976;5057
33 Rio de Janeiro;2009;0;1797;15677
35 São Paulo;2009;0;2155;15822
41 Paraná;2009;0;756;14406
42 Santa Catarina;2009;0;171;2356
43 Rio Grande do Sul;2009;0;167;1972
50 Mato Grosso do Sul;2009;0;548;3475
51 Mato Grosso;2009;0;2094;11612
52 Goiás;2009;13;1356;18625
53 Distrito Federal;2009;0;184;2017
11 Rondônia;2010;0;595;3384
12 Acre;2010;0;122;1783
13 Amazonas;2010;0;536;3895
14 Roraima;2010;0;88;1514
15 Pará;2010;0;2662;19679
16 Amapá;2010;0;155;2626
17 Tocantins;2010;0;912;6148
21 Maranhão;2010;0;2626;24863
22 Piauí;2010;0;1518;9346
23 Ceará;2010;0;1575;15425
24 Rio Grande do Norte;2010;0;211;1511
25 Paraíba;2010;0;643;3472
26 Pernambuco;2010;1;2441;16896
27 Alagoas;2010;0;334;2357
28 Sergipe;2010;0;395;2775
29 Bahia;2010;3;2447;16901
31 Minas Gerais;2010;0;1028;14079
32 Espírito Santo;2010;0;929;4421
33 Rio de Janeiro;2010;0;1906;14746
35 São Paulo;2010;0;1938;14784
41 Paraná;2010;0;816;13341
42 Santa Catarina;2010;0;155;2681
43 Rio Grande do Sul;2010;0;121;1697
50 Mato Grosso do Sul;2010;0;448;3808
51 Mato Grosso;2010;0;1736;12941
52 Goiás;2010;2;1268;17785
53 Distrito Federal;2010;0;181;1753
11 Rondônia;2011;0;496;3567
12 Acre;2011;0;124;1883
13 Amazonas;2011;0;513;4057
14 Roraima;2011;0;88;1268
15 Pará;2011;0;2585;22664
16 Amapá;2011;0;191;1821
17 Tocantins;2011;0;751;6762
21 Maranhão;2011;0;2457;24170
22 Piauí;2011;0;1059;8184
23 Ceará;2011;0;1277;14594
24 Rio Grande do Norte;2011;0;160;1082
25 Paraíba;2011;0;628;4463
26 Pernambuco;2011;5;2160;16443
27 Alagoas;2011;0;362;2069
28 Sergipe;2011;0;416;2692
29 Bahia;2011;14;2477;19094
31 Minas Gerais;2011;6;817;13585
32 Espírito Santo;2011;0;1033;4943
33 Rio de Janeiro;2011;1;1642;15474
35 São Paulo;2011;0;1787;16745
41 Paraná;2011;0;550;15115
42 Santa Catarina;2011;0;126;3212
43 Rio Grande do Sul;2011;10;113;1747
50 Mato Grosso do Sul;2011;0;438;4485
51 Mato Grosso;2011;0;1779;12645
52 Goiás;2011;0;1132;17539
53 Distrito Federal;2011;0;202;1830
11 Rondônia;2012;0;493;3812
12 Acre;2012;0;83;1422
13 Amazonas;2012;0;504;3459
14 Roraima;2012;0;121;1374
15 Pará;2012;0;2349;23538
16 Amapá;2012;0;96;948
