UF de notificação;Ano;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior completa;Não se aplica
11 Rondônia;2001;84;352;10;4;1918;-;190;-;25;16
12 Acre;2001;493;45;45;21;2;-;10;-;-;3
13 Amazonas;2001;997;37;6;16;9;-;-;-;-;5
14 Roraima;2001;40;66;102;-;136;-;133;-;44;-
15 Pará;2001;726;1167;138;-;2798;-;426;2;27;183
16 Amapá;2001;5;6;-;-;10;-;4;-;-;-
17 Tocantins;2001;76;323;428;4;835;-;255;2;51;15
21 Maranhão;2001;621;2021;201;2;3024;-;564;-;95;115
22 Piauí;2001;94;282;-;1;459;-;64;-;7;26
23 Ceará;2001;162;776;14;-;665;-;137;-;8;43
24 Rio Grande do Norte;2001;17;76;-;-;76;-;22;-;-;-
25 Paraíba;2001;144;147;45;-;330;-;61;-;30;17
26 Pernambuco;2001;258;474;34;4;1410;-;333;-;40;51
27 Alagoas;2001;100;87;26;3;239;-;64;-;9;20
28 Sergipe;2001;51;88;171;-;68;-;63;-;24;10
29 Bahia;2001;686;696;34;-;1326;-;263;-;19;48
31 Minas Gerais;2001;646;1021;503;6;1959;-;369;-;101;63
32 Espírito Santo;2001;373;874;302;15;1486;12;472;-;82;21
33 Rio de Janeiro;2001;517;307;101;5;1271;-;266;-;45;71
35 São Paulo;2001;436;1024;367;4;3618;8;485;1;134;40
41 Paraná;2001;184;725;73;14;1725;-;210;-;43;35
42 Santa Catarina;2001;11;8;38;-;113;-;18;-;2;-
43 Rio Grande do Sul;2001;27;9;36;-;90;-;32;-;2;-
50 Mato Grosso do Sul;2001;102;146;29;2;163;5;19;-;11;-
51 Mato Grosso;2001;175;811;763;5;2109;7;399;-;80;110
52 Goiás;2001;377;625;3;-;2401;-;394;-;35;129
53 Distrito Federal;2001;285;196;6;-;497;-;119;-;7;7
11 Rondônia;2002;77;369;876;-;919;-;380;-;100;32
12 Acre;2002;87;175;102;-;128;-;118;-;13;-
13 Amazonas;2002;1692;29;17;6;34;-;8;1;-;6
14 Roraima;2002;29;91;126;-;168;-;159;-;19;6
15 Pará;2002;549;1389;1443;3;2580;-;613;-;96;222
16 Amapá;2002;14;16;34;-;49;-;25;-;4;6
17 Tocantins;2002;88;281;711;-;709;3;265;-;48;19
21 Maranhão;2002;699;1793;1722;-;2628;3;991;2;242;203
22 Piauí;2002;157;266;113;-;405;-;55;-;19;46
23 Ceará;2002;192;751;14;-;898;-;124;-;19;34
24 Rio Grande do Norte;2002;53;85;-;-;179;-;31;-;4;9
25 Paraíba;2002;230;190;200;-;233;-;53;-;25;108
26 Pernambuco;2002;454;526;494;-;1095;-;332;-;67;80
27 Alagoas;2002;54;169;161;-;239;-;77;-;8;22
28 Sergipe;2002;116;189;177;-;185;-;102;-;33;8
29 Bahia;2002;427;772;393;-;817;-;439;-;102;47
31 Minas Gerais;2002;635;679;587;2;2126;-;543;-;164;45
32 Espírito Santo;2002;540;802;1254;9;1499;-;752;3;202;61
33 Rio de Janeiro;2002;525;277;451;2;1244;-;387;-;60;46
35 São Paulo;2002;557;1012;1866;-;2183;3;999;-;246;73
41 Paraná;2002;277;737;187;15;1773;6;317;-;84;154
42 Santa Catarina;2002;8;26;85;-;111;-;47;-;9;-
43 Rio Grande do Sul;2002;18;19;94;-;102;-;17;-;10;13
50 Mato Grosso do Sul;2002;161;151;231;-;222;-;98;-;24;11
51 Mato Grosso;2002;270;960;1992;9;1927;7;747;-;198;102
52 Goiás;2002;589;737;28;1;2447;-;513;-;57;162
53 Distrito Federal;2002;107;180;166;-;267;-;194;-;26;48
11 Rondônia;2003;75;407;785;-;1041;-;459;4;120;56
12 Acre;2003;45;54;20;-;25;3;15;-;-;-
13 Amazonas;2003;432;270;540;-;541;-;198;-;94;55
14 Roraima;2003;19;183;148;-;161;-;168;-;41;2
15 Pará;2003;595;1238;2952;-;2337;-;1036;-;218;154
16 Amapá;2003;1;3;6;-;15;-;7;-;-;-
17 Tocantins;2003;83;333;599;6;767;4;517;4;93;37
21 Maranhão;2003;510;1967;2418;-;2429;6;1305;-;271;198
22 Piauí;2003;146;589;503;-;644;-;289;-;71;43
23 Ceará;2003;572;931;827;7;882;-;315;-;90;58
24 Rio Grande do Norte;2003;42;66;59;-;74;-;105;-;11;19
25 Paraíba;2003;178;280;190;-;180;-;103;-;9;11
26 Pernambuco;2003;592;645;1153;-;1105;-;594;-;194;138
27 Alagoas;2003;156;244;243;2;283;-;96;-;36;28
28 Sergipe;2003;130;239;320;-;351;-;145;-;105;15
29 Bahia;2003;515;1164;1423;-;1215;-;693;4;224;101
31 Minas Gerais;2003;602;712;394;3;2218;-;740;-;154;39
32 Espírito Santo;2003;508;899;1312;8;1798;1;962;-;233;55
