UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
11 Rondônia;2001;0;0;53;155;211;642;582;431;263;201;42;19
12 Acre;2001;0;0;23;63;65;131;142;102;60;26;7;0
13 Amazonas;2001;0;9;38;87;119;278;186;174;74;93;12;0
14 Roraima;2001;0;0;10;52;64;118;98;104;26;40;9;0
15 Pará;2001;6;38;148;477;631;1075;1040;754;641;420;199;38
16 Amapá;2001;0;0;0;8;0;0;6;6;0;5;0;0
17 Tocantins;2001;0;10;36;176;203;450;342;304;246;137;70;15
21 Maranhão;2001;3;5;169;537;766;1265;1046;1095;858;510;286;103
22 Piauí;2001;0;0;22;19;40;134;183;154;232;95;38;16
23 Ceará;2001;0;2;13;66;109;254;301;365;336;194;130;35
24 Rio Grande do Norte;2001;0;0;0;5;9;12;29;52;21;43;9;11
25 Paraíba;2001;0;0;25;63;72;143;122;129;58;123;35;4
26 Pernambuco;2001;3;12;98;161;259;528;448;438;319;173;142;23
27 Alagoas;2001;5;0;3;45;52;127;127;69;64;41;12;3
28 Sergipe;2001;0;0;16;24;52;89;109;87;55;19;17;7
29 Bahia;2001;0;20;93;153;317;539;468;570;409;323;134;46
31 Minas Gerais;2001;0;17;84;229;215;732;739;980;805;513;263;91
32 Espírito Santo;2001;0;6;64;143;306;634;631;661;541;383;186;82
33 Rio de Janeiro;2001;0;25;66;106;176;379;412;486;398;342;131;62
35 São Paulo;2001;0;8;19;165;246;769;934;1528;1171;766;404;107
41 Paraná;2001;0;0;8;40;89;304;552;808;630;334;196;48
42 Santa Catarina;2001;0;0;0;0;6;19;40;35;29;47;14;0
43 Rio Grande do Sul;2001;0;0;0;4;11;28;35;46;39;27;6;0
50 Mato Grosso do Sul;2001;0;0;4;5;18;79;88;83;113;36;40;11
51 Mato Grosso;2001;7;8;142;197;388;880;920;828;588;346;121;34
52 Goiás;2001;5;0;94;149;192;899;770;752;499;341;211;52
53 Distrito Federal;2001;0;0;30;37;107;227;216;233;175;63;26;3
11 Rondônia;2002;20;1;35;148;191;536;621;654;340;134;72;1
12 Acre;2002;0;0;3;53;93;162;101;70;86;52;3;0
13 Amazonas;2002;0;15;40;170;235;423;336;313;126;79;39;17
14 Roraima;2002;0;0;17;67;72;110;102;109;76;28;17;0
15 Pará;2002;56;57;218;594;694;1489;1138;1191;692;494;214;58
16 Amapá;2002;2;0;11;9;16;55;17;28;5;1;0;4
17 Tocantins;2002;0;6;94;123;167;380;402;431;241;194;69;17
21 Maranhão;2002;58;22;238;731;970;1627;1239;1306;986;605;370;131
22 Piauí;2002;0;3;13;36;62;154;194;219;185;136;47;12
23 Ceará;2002;5;2;20;75;144;224;394;410;372;240;104;42
24 Rio Grande do Norte;2002;0;5;22;25;9;46;57;48;62;59;20;8
25 Paraíba;2002;0;0;48;58;80;215;153;214;157;62;40;12
26 Pernambuco;2002;8;20;128;136;327;558;467;540;365;264;180;55
27 Alagoas;2002;0;4;20;41;94;108;117;145;114;35;43;9
28 Sergipe;2002;0;3;17;41;79;180;136;141;72;71;48;22
29 Bahia;2002;12;21;38;167;259;636;427;471;397;329;156;77
31 Minas Gerais;2002;0;20;69;125;279;709;700;1124;796;526;342;91
32 Espírito Santo;2002;0;2;110;333;370;943;732;979;806;492;261;94
33 Rio de Janeiro;2002;0;20;68;96;173;490;487;610;428;389;176;55
35 São Paulo;2002;0;20;63;204;302;1011;1103;1602;1336;803;382;113
41 Paraná;2002;3;1;19;74;108;391;666;904;664;461;200;59
42 Santa Catarina;2002;0;0;0;6;10;31;45;63;42;65;18;6
43 Rio Grande do Sul;2002;0;0;6;2;3;15;42;74;86;38;4;3
50 Mato Grosso do Sul;2002;3;0;11;12;51;149;175;192;157;84;64;0
51 Mato Grosso;2002;6;22;194;352;442;1205;1312;1315;728;416;164;56
52 Goiás;2002;0;8;56;154;231;916;928;914;706;355;190;76
53 Distrito Federal;2002;0;0;12;44;39;247;162;207;146;80;43;8
11 Rondônia;2003;1;5;79;178;225;633;642;497;366;195;107;19
12 Acre;2003;0;0;9;14;19;37;22;35;5;15;6;0
13 Amazonas;2003;21;14;47;216;268;513;420;267;213;70;69;12
14 Roraima;2003;2;0;0;61;66;130;105;137;76;100;18;27
15 Pará;2003;28;36;257;828;1055;1889;1465;1264;962;441;246;59
16 Amapá;2003;0;0;6;4;3;0;11;3;5;0;0;0
17 Tocantins;2003;0;3;67;192;216;553;511;387;252;161;66;33
21 Maranhão;2003;20;47;328;814;1083;2017;1316;1291;1062;628;336;162
22 Piauí;2003;9;12;51;163;239;423;293;466;297;192;100;40
23 Ceará;2003;5;0;31;107;330;503;601;674;638;440;283;65
24 Rio Grande do Norte;2003;0;0;0;11;32;76;67;64;70;28;22;6
25 Paraíba;2003;0;3;9;90;83;154;120;177;140;95;63;17
26 Pernambuco;2003;9;62;116;336;428;896;645;666;558;399;214;92
27 Alagoas;2003;5;6;26;86;119;255;183;143;116;94;41;14
28 Sergipe;2003;6;5;20;93;155;288;199;205;111;124;71;28
29 Bahia;2003;19;25;110;445;549;1004;712;908;856;428;250;33
31 Minas Gerais;2003;0;14;109;219;242;625;818;1139;790;554;262;90
32 Espírito Santo;2003;0;23;78;390;474;1032;809;1081;936;572;249;132
33 Rio de Janeiro;2003;0;32;119;248;230;662;665;796;772;436;301;73
35 São Paulo;2003;2;13;44;157;323;1181;1191;1636;1234;937;508;136
41 Paraná;2003;4;2;23;75;87;385;644;808;614;425;309;90
42 Santa Catarina;2003;1;0;0;10;6;46;63;109;77;48;18;1
43 Rio Grande do Sul;2003;0;0;14;2;4;36;47;112;154;42;24;9
50 Mato Grosso do Sul;2003;0;0;17;35;40;163;179;211;168;91;64;10
51 Mato Grosso;2003;8;20;179;394;498;1230;1271;1180;776;566;165;52
52 Goiás;2003;17;15;99;195;315;1195;1191;1190;779;537;221;67
53 Distrito Federal;2003;0;3;2;38;45;212;187;240;137;75;31;31
11 Rondônia;2004;24;5;71;164;206;583;626;558;324;207;64;13
12 Acre;2004;0;0;15;18;45;129;59;38;31;43;0;0
13 Amazonas;2004;2;0;66;196;230;559;325;294;195;130;53;3
14 Roraima;2004;0;11;17;102;119;204;81;118;72;50;32;0
15 Pará;2004;32;28;297;797;1061;1894;1688;1378;945;496;243;58
16 Amapá;2004;0;0;0;6;4;3;12;2;0;0;7;2
17 Tocantins;2004;12;10;89;166;282;680;538;539;360;278;150;37
21 Maranhão;2004;23;42;305;669;1224;1993;1120;1357;1109;695;423;158
22 Piauí;2004;8;4;96;130;310;548;455;521;348;246;169;30
23 Ceará;2004;12;3;79;202;254;654;680;774;750;550;416;190
24 Rio Grande do Norte;2004;6;4;11;27;41;79;67;97;67;49;43;2
25 Paraíba;2004;6;0;26;57;178;184;184;182;118;133;70;34
26 Pernambuco;2004;17;39;212;328;455;1111;963;756;781;443;265;108
27 Alagoas;2004;0;0;10;62;99;145;128;120;157;88;51;3
28 Sergipe;2004;7;0;34;110;151;266;220;162;178;113;65;30
29 Bahia;2004;12;22;87;271;401;1019;879;923;851;501;259;125
31 Minas Gerais;2004;0;6;122;303;229;727;877;1127;914;696;356;104
32 Espírito Santo;2004;0;9;138;301;351;925;772;898;886;326;256;63
33 Rio de Janeiro;2004;7;27;123;182;252;741;824;921;726;563;236;120
35 São Paulo;2004;0;3;92;174;281;988;1093;1656;1211;925;578;114
41 Paraná;2004;4;15;104;159;224;488;665;1044;682;430;296;106
42 Santa Catarina;2004;0;0;15;3;10;57;85;113;148;85;21;12
43 Rio Grande do Sul;2004;0;0;8;20;11;50;113;151;183;83;32;3
50 Mato Grosso do Sul;2004;0;2;14;24;47;121;204;220;129;131;71;20
51 Mato Grosso;2004;5;23;168;307;466;1150;1062;1054;655;456;122;36
52 Goiás;2004;36;20;60;178;311;1181;1077;1175;891;523;342;88
53 Distrito Federal;2004;0;0;7;25;54;233;145;143;111;70;64;1
11 Rondônia;2005;0;5;44;139;213;576;681;605;335;160;76;22
12 Acre;2005;0;0;1;15;25;102;45;39;31;22;3;3
13 Amazonas;2005;0;4;59;137;220;575;403;286;238;124;38;26
14 Roraima;2005;0;0;33;62;124;140;68;92;85;33;4;1
15 Pará;2005;25;24;435;1056;1102;2412;1833;1380;1095;567;299;123
16 Amapá;2005;0;0;6;18;4;10;12;12;9;3;0;0
17 Tocantins;2005;1;5;134;243;325;632;597;631;432;343;145;27
21 Maranhão;2005;3;45;453;1001;1217;2450;1778;1623;1541;958;546;243
22 Piauí;2005;24;7;123;240;281;619;612;727;523;438;190;109
23 Ceará;2005;4;13;148;194;245;691;805;1004;693;610;423;236
24 Rio Grande do Norte;2005;0;12;36;39;37;122;112;108;92;81;15;24
25 Paraíba;2005;3;5;40;117;177;346;213;221;262;147;135;35
26 Pernambuco;2005;2;51;348;409;567;1489;1306;1173;913;813;316;178
27 Alagoas;2005;0;0;8;115;103;259;151;141;161;62;47;18
28 Sergipe;2005;0;2;43;128;164;408;352;332;340;166;59;36
29 Bahia;2005;17;12;111;233;403;833;983;937;726;454;261;78
31 Minas Gerais;2005;0;18;120;211;222;707;1002;1293;1229;653;356;124
32 Espírito Santo;2005;0;17;119;418;319;873;909;941;872;467;201;88
33 Rio de Janeiro;2005;0;26;169;209;269;946;812;880;703;549;314;194
35 São Paulo;2005;0;5;84;147;303;936;1169;1597;1362;871;446;209
41 Paraná;2005;2;0;29;119;173;351;693;1124;815;545;281;77
42 Santa Catarina;2005;4;0;2;11;9;99;80;137;90;74;28;7
43 Rio Grande do Sul;2005;3;8;6;4;19;42;101;151;195;178;97;8
50 Mato Grosso do Sul;2005;0;7;19;72;35;222;206;265;207;136;54;13
51 Mato Grosso;2005;19;8;196;382;451;1111;1378;1346;955;499;263;49
52 Goiás;2005;5;26;118;177;380;1386;1285;1322;974;568;264;107
53 Distrito Federal;2005;0;0;15;43;70;179;163;196;104;84;28;12
11 Rondônia;2006;1;0;66;138;212;772;737;695;391;159;64;21
12 Acre;2006;0;3;25;65;79;161;89;76;82;40;8;18
13 Amazonas;2006;3;0;82;192;146;321;362;278;292;109;49;48
14 Roraima;2006;0;0;35;91;79;144;86;129;101;66;7;0
15 Pará;2006;8;43;343;1034;1050;2541;1982;1521;1163;714;352;90
16 Amapá;2006;0;0;4;6;3;35;11;34;20;10;6;7
17 Tocantins;2006;0;8;171;319;354;1033;827;777;508;358;85;69
21 Maranhão;2006;0;18;474;934;1031;2174;1568;1690;1580;1019;635;276
22 Piauí;2006;17;3;148;228;310;688;576;634;634;459;247;84
23 Ceará;2006;3;0;112;308;289;701;830;881;966;697;465;174
24 Rio Grande do Norte;2006;0;6;6;15;24;58;58;58;99;43;26;4
25 Paraíba;2006;7;3;58;98;145;297;256;264;372;157;125;57
26 Pernambuco;2006;1;53;425;639;716;1846;1593;1344;1508;856;431;172
27 Alagoas;2006;0;0;28;70;69;189;181;129;182;52;59;9
28 Sergipe;2006;0;0;65;87;159;403;268;235;308;147;61;34
29 Bahia;2006;6;1;116;198;432;963;877;911;742;512;321;61
31 Minas Gerais;2006;1;11;78;161;295;752;913;1155;1200;714;364;150
32 Espírito Santo;2006;0;26;106;241;187;798;649;676;689;456;286;79
33 Rio de Janeiro;2006;0;38;203;205;236;817;806;838;917;497;398;73
35 São Paulo;2006;0;14;50;163;172;860;935;1344;1077;827;385;77
41 Paraná;2006;0;3;37;75;169;453;629;978;1024;678;354;142
42 Santa Catarina;2006;0;0;0;6;5;45;101;157;124;97;21;6
43 Rio Grande do Sul;2006;0;0;0;1;18;59;61;118;163;80;138;17
50 Mato Grosso do Sul;2006;4;0;22;61;48;260;235;315;274;139;99;25
51 Mato Grosso;2006;10;21;128;338;462;1331;1618;1507;1029;586;227;54
52 Goiás;2006;0;21;143;207;281;1222;1401;1326;1155;568;285;91
53 Distrito Federal;2006;0;0;3;23;31;136;138;186;110;66;27;20
11 Rondônia;2007;4;45;178;149;590;599;729;324;190;48;39
12 Acre;2007;3;41;89;44;299;168;121;113;85;10;17
13 Amazonas;2007;11;72;140;122;354;292;194;160;123;39;11
14 Roraima;2007;0;14;59;73;142;136;76;100;82;16;0
15 Pará;2007;17;360;918;1152;2466;1957;1601;1424;811;399;125
16 Amapá;2007;0;11;15;10;24;29;33;7;12;10;3
17 Tocantins;2007;8;158;299;280;769;776;788;563;334;128;82
21 Maranhão;2007;18;326;784;985;2181;1664;1580;1618;906;622;209
22 Piauí;2007;11;52;174;272;573;639;573;547;522;183;69
23 Ceará;2007;12;161;332;381;846;1117;1260;1266;895;578;298
24 Rio Grande do Norte;2007;0;29;38;22;58;81;77;96;61;35;10
25 Paraíba;2007;0;30;57;98;216;216;295;267;244;126;59
26 Pernambuco;2007;97;488;631;655;1781;1580;1383;1240;854;407;143
27 Alagoas;2007;0;7;30;94;278;236;195;114;56;52;11
28 Sergipe;2007;76;40;166;109;306;313;284;364;147;71;32
29 Bahia;2007;17;149;349;470;1084;1075;1063;902;713;285;134
31 Minas Gerais;2007;0;100;192;272;726;973;1173;1178;691;486;165
32 Espírito Santo;2007;25;84;218;400;689;606;720;675;307;202;37
33 Rio de Janeiro;2007;22;138;192;201;883;848;795;836;633;387;59
35 São Paulo;2007;22;149;189;200;947;1056;1245;1225;871;443;144
41 Paraná;2007;7;8;47;107;378;675;935;1019;611;283;74
42 Santa Catarina;2007;3;0;18;41;90;88;161;182;67;28;15
43 Rio Grande do Sul;2007;0;0;13;15;42;29;91;113;97;48;6
50 Mato Grosso do Sul;2007;0;4;54;82;195;304;386;320;256;179;59
51 Mato Grosso;2007;34;199;389;389;1353;1605;1734;1306;632;278;48
52 Goiás;2007;25;115;240;321;1238;1427;1440;1179;562;332;97
