UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
11 Rondônia;2001;0;0;21;64;99;298;254;238;165;103;39;8
12 Acre;2001;0;1;13;33;63;106;83;69;48;32;7;0
13 Amazonas;2001;0;5;47;102;169;362;239;210;165;106;47;8
14 Roraima;2001;0;2;11;25;37;81;62;66;36;22;10;2
15 Pará;2001;6;24;179;462;629;1262;998;934;683;427;169;46
16 Amapá;2001;1;0;2;9;16;34;36;27;16;7;4;2
17 Tocantins;2001;2;5;24;82;104;292;249;222;161;108;44;9
21 Maranhão;2001;12;7;134;379;580;984;781;793;643;443;239;98
22 Piauí;2001;1;9;50;93;145;341;293;369;281;246;93;48
23 Ceará;2001;1;6;39;116;144;444;466;562;485;386;222;86
24 Rio Grande do Norte;2001;0;1;1;10;18;42;40;42;39;38;15;7
25 Paraíba;2001;0;3;13;63;66;183;130;129;109;120;62;14
26 Pernambuco;2001;4;28;139;224;319;716;554;533;435;287;164;43
27 Alagoas;2001;1;0;5;21;34;93;74;65;47;26;11;4
28 Sergipe;2001;0;0;8;14;30;78;61;55;40;18;16;7
29 Bahia;2001;1;6;58;144;207;481;424;447;319;257;111;38
31 Minas Gerais;2001;0;8;38;111;154;463;485;653;491;367;173;56
32 Espírito Santo;2001;0;6;21;57;114;306;265;295;248;160;85;28
33 Rio de Janeiro;2001;0;15;80;127;203;534;497;650;479;403;202;53
35 São Paulo;2001;0;9;25;78;152;523;568;784;646;437;253;63
41 Paraná;2001;2;0;9;23;59;204;298;403;355;260;135;37
42 Santa Catarina;2001;0;0;0;2;4;19;43;57;29;27;13;3
43 Rio Grande do Sul;2001;1;0;1;1;7;25;26;63;54;33;18;2
50 Mato Grosso do Sul;2001;0;1;5;15;29;107;104;115;116;69;47;10
51 Mato Grosso;2001;8;7;95;177;319;838;801;784;495;315;109;33
52 Goiás;2001;2;4;59;105;206;739;637;638;455;320;150;34
53 Distrito Federal;2001;0;0;8;8;49;123;84;102;70;39;16;2
11 Rondônia;2002;11;1;19;69;110;285;297;276;167;85;46;4
12 Acre;2002;0;0;8;29;54;100;84;67;45;26;6;2
13 Amazonas;2002;0;8;38;116;177;432;264;229;151;84;41;19
14 Roraima;2002;0;0;11;32;34;73;77;64;50;21;10;1
15 Pará;2002;33;35;196;506;739;1549;1126;1107;717;471;196;39
16 Amapá;2002;1;0;11;8;21;55;35;34;21;21;6;5
17 Tocantins;2002;0;5;34;75;113;301;261;225;185;114;55;16
