UF de notificação;Ano;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais
11 Rondônia;2001;0;0;0;0;6;5;14;4;0;5;0;0
12 Acre;2001;0;1;21;36;162;229;253;223;122;134;37;0
13 Amazonas;2001;0;0;0;0;0;2;0;7;5;2;0;0
14 Roraima;2001;0;27;41;90;154;359;317;342;218;110;79;2
15 Pará;2001;2;26;89;229;448;1062;692;673;541;350;205;68
16 Amapá;2001;2;0;11;22;117;199;137;125;72;58;43;0
17 Tocantins;2001;1;4;65;184;244;788;844;894;725;510;230;28
21 Maranhão;2001;0;0;75;148;150;440;234;343;221;200;124;37
22 Piauí;2001;0;3;0;15;19;80;93;152;142;92;22;23
23 Ceará;2001;0;0;0;1;7;19;13;72;95;31;2;15
24 Rio Grande do Norte;2001;0;0;0;0;0;0;0;5;0;0;0;2
25 Paraíba;2001;0;1;11;50;88;183;116;133;109;87;73;12
26 Pernambuco;2001;0;3;14;19;87;158;124;97;85;41;34;20
27 Alagoas;2001;2;0;0;19;16;49;59;17;58;23;8;1
28 Sergipe;2001;0;0;13;25;55;236;208;193;86;50;49;26
29 Bahia;2001;0;0;2;7;11;63;61;117;56;83;18;11
31 Minas Gerais;2001;0;31;104;333;641;2646;2972;3756;2923;2494;1167;562
32 Espírito Santo;2001;0;2;27;69;91;342;199;280;192;152;131;34
33 Rio de Janeiro;2001;0;1;10;22;55;137;296;159;279;140;47;53
35 São Paulo;2001;0;3;6;40;60;417;371;402;481;286;233;44
41 Paraná;2001;0;0;3;0;47;81;178;233;306;237;79;27
42 Santa Catarina;2001;0;0;0;0;0;39;38;79;94;76;6;0
43 Rio Grande do Sul;2001;0;0;0;0;14;40;60;193;174;104;117;30
50 Mato Grosso do Sul;2001;0;0;2;1;3;78;73;90;129;45;24;10
51 Mato Grosso;2001;0;13;80;94;181;551;539;571;419;280;87;37
52 Goiás;2001;0;0;0;20;0;15;13;31;26;16;1;8
11 Rondônia;2002;26;10;44;175;270;689;717;831;501;314;181;15
12 Acre;2002;0;0;18;97;279;503;438;386;297;266;24;10
13 Amazonas;2002;0;0;4;14;5;33;74;44;44;49;14;0
14 Roraima;2002;0;0;83;131;126;323;542;491;330;136;108;1
15 Pará;2002;131;61;289;877;1172;2672;2108;2361;1531;1270;472;83
16 Amapá;2002;1;0;95;41;84;305;178;149;105;139;35;17
17 Tocantins;2002;0;4;75;246;308;1026;1034;864;912;545;342;64
21 Maranhão;2002;41;14;361;1025;1483;2955;1874;2182;1914;1541;820;276
22 Piauí;2002;0;3;8;50;69;166;250;320;304;102;101;15
23 Ceará;2002;0;0;12;15;20;65;116;132;77;113;60;18
24 Rio Grande do Norte;2002;0;0;0;0;0;0;0;0;2;7;0;0
25 Paraíba;2002;0;14;51;141;111;326;352;318;188;147;119;33
26 Pernambuco;2002;22;24;217;360;534;1344;1193;1014;1077;754;630;177
27 Alagoas;2002;0;7;10;106;112;232;256;252;160;76;166;25
28 Sergipe;2002;1;1;11;77;134;375;361;232;347;166;185;132
29 Bahia;2002;17;22;70;168;313;954;697;910;649;540;184;98
31 Minas Gerais;2002;0;33;95;367;795;2796;3138;4598;3453;2824;1598;498
32 Espírito Santo;2002;0;2;83;148;281;913;705;1012;786;577;408;85
33 Rio de Janeiro;2002;1;26;105;162;337;1291;1250;1515;1069;1088;494;134
35 São Paulo;2002;0;14;62;122;366;1739;1975;3049;2123;1719;963;240
41 Paraná;2002;0;10;1;13;28;237;449;888;635;513;194;87
42 Santa Catarina;2002;23;0;1;40;35;180;287;435;443;221;81;41
43 Rio Grande do Sul;2002;0;0;1;17;20;111;304;715;453;358;297;78
50 Mato Grosso do Sul;2002;0;0;17;14;30;179;255;425;302;117;114;9
51 Mato Grosso;2002;15;17;191;409;660;2196;2288;2620;1783;1036;515;124
52 Goiás;2002;0;0;0;0;15;118;103;88;67;54;0;6
53 Distrito Federal;2002;0;1;13;72;68;462;247;230;268;212;59;37
11 Rondônia;2003;11;20;76;254;343;993;822;765;683;505;195;15
12 Acre;2003;0;20;34;147;276;818;442;446;294;396;34;60
13 Amazonas;2003;40;30;98;254;377;1251;955;587;448;258;190;6
14 Roraima;2003;1;0;35;138;175;587;424;370;283;257;146;13
15 Pará;2003;93;76;607;1495;2470;5390;4171;3970;3032;1805;798;299
16 Amapá;2003;20;10;23;179;169;301;411;303;136;209;118;9
17 Tocantins;2003;0;9;69;274;523;1248;1132;1166;870;585;351;148
21 Maranhão;2003;83;64;589;1438;2244;4386;2880;3195;2760;2288;1251;619
22 Piauí;2003;1;18;48;350;465;1229;988;986;1252;790;475;153
23 Ceará;2003;45;12;88;258;592;1491;1691;2146;1789;1544;961;387
24 Rio Grande do Norte;2003;2;0;11;8;39;79;59;64;93;59;46;48
25 Paraíba;2003;0;10;10;167;284;521;441;449;389;320;211;107
26 Pernambuco;2003;24;100;285;579;1054;2915;2414;1845;1736;1281;743;346
27 Alagoas;2003;18;7;17;93;224;451;412;300;387;223;153;45
28 Sergipe;2003;2;5;17;103;226;674;349;461;248;396;162;94
29 Bahia;2003;79;75;190;568;1100;2869;1905;1892;2024;1201;666;145
31 Minas Gerais;2003;0;6;164;381;621;3084;3217;4622;3786;2669;1296;461
32 Espírito Santo;2003;0;8;62;184;417;1040;828;1065;1025;741;356;263
33 Rio de Janeiro;2003;8;31;212;382;877;2879;2759;3216;2610;2056;1452;374
35 São Paulo;2003;9;13;43;221;534;2622;2329;3763;2786;2316;1246;434
41 Paraná;2003;44;9;25;78;226;1196;1979;2868;2778;2044;1067;282
42 Santa Catarina;2003;0;3;0;38;19;186;237;490;464;190;357;10
43 Rio Grande do Sul;2003;0;0;28;8;16;138;162;698;500;447;222;9
50 Mato Grosso do Sul;2003;0;1;11;66;50;433;521;757;418;466;241;61
51 Mato Grosso;2003;2;32;219;513;761;2664;2632;2801;2110;1187;483;147
52 Goiás;2003;107;32;136;346;974;3474;3375;3640;2858;2027;1173;319
53 Distrito Federal;2003;0;1;5;43;89;659;481;466;366;250;97;40
11 Rondônia;2004;27;10;71;172;251;927;824;831;719;377;187;24
12 Acre;2004;0;0;37;104;174;856;563;302;297;256;75;20
13 Amazonas;2004;22;2;91;253;433;1300;1011;653;457;434;195;59
14 Roraima;2004;0;2;39;115;174;752;377;320;422;200;67;0
15 Pará;2004;105;66;612;1542;2300;5656;4734;4144;2912;2023;976;327
16 Amapá;2004;0;1;14;72;119;291;319;266;198;140;132;38
17 Tocantins;2004;6;9;175;280;478;1115;1065;1139;1178;725;408;96
21 Maranhão;2004;36;60;597;1185;2423;4533;2823;3437;2990;2507;1328;603
22 Piauí;2004;49;7;169;404;587;1360;1104;1272;1452;1017;679;177
23 Ceará;2004;8;10;174;405;630;2148;2041;2504;2594;1880;1172;507
24 Rio Grande do Norte;2004;10;1;11;40;47;129;70;236;177;144;104;22
25 Paraíba;2004;4;6;51;148;447;639;535;654;578;548;293;207
26 Pernambuco;2004;19;74;336;594;1008;2745;2153;2463;1942;1302;796;281
27 Alagoas;2004;0;0;43;98;157;368;347;383;379;240;172;75
28 Sergipe;2004;22;8;37;145;300;652;554;470;522;492;216;134
29 Bahia;2004;58;37;246;683;996;2848;2564;2505;2391;1494;929;462
31 Minas Gerais;2004;0;13;104;370;522;2348;2962;3608;3054;2712;1480;554
32 Espírito Santo;2004;0;18;67;187;266;945;857;1060;997;551;443;137
33 Rio de Janeiro;2004;11;36;245;360;878;3087;2783;3132;3181;2634;1411;450
35 São Paulo;2004;0;4;88;370;393;2198;2673;3900;2893;2375;1469;383
41 Paraná;2004;34;125;306;463;815;2054;2193;3389;2916;2147;1193;347
42 Santa Catarina;2004;0;0;15;35;60;193;330;429;397;255;83;45
43 Rio Grande do Sul;2004;0;0;5;41;23;228;176;581;593;349;253;42
50 Mato Grosso do Sul;2004;0;1;21;47;107;400;490;668;552;418;230;43
51 Mato Grosso;2004;20;14;188;398;644;2544;2307;2567;1936;1282;538;149
52 Goiás;2004;23;18;122;302;782;3680;3739;4432;3065;2440;1421;269
53 Distrito Federal;2004;0;1;6;77;140;696;451;370;323;138;93;20
11 Rondônia;2005;0;4;24;134;269;937;1019;941;717;309;211;34
12 Acre;2005;24;20;65;129;243;807;454;494;259;162;148;65
13 Amazonas;2005;4;12;64;188;406;1170;962;638;535;322;93;29
