UF de notificação;Ano;Ign/Branco;1º Trimestre;2º Trimestre;3º Trimestre;Idade gestacional Ignorada;Não;Não se Aplica
11 Rondônia;2001;1023;0;0;0;0;0;1576
12 Acre;2001;153;0;0;0;0;15;451
13 Amazonas;2001;365;0;0;0;0;0;705
14 Roraima;2001;240;0;0;0;0;0;281
15 Pará;2001;2029;0;0;0;0;0;3438
16 Amapá;2001;6;0;0;0;0;0;19
17 Tocantins;2001;639;0;0;0;2;127;1223
21 Maranhão;2001;2587;0;0;0;0;124;3932
22 Piauí;2001;469;0;0;0;0;0;464
23 Ceará;2001;769;0;0;0;0;0;1036
24 Rio Grande do Norte;2001;82;0;0;0;0;0;109
25 Paraíba;2001;444;0;0;0;0;4;326
26 Pernambuco;2001;1368;0;0;0;0;11;1225
27 Alagoas;2001;244;0;0;0;0;0;304
28 Sergipe;2001;223;0;0;0;0;4;248
29 Bahia;2001;1534;0;0;0;0;0;1538
31 Minas Gerais;2001;2098;0;0;0;0;31;2539
32 Espírito Santo;2001;1686;2;0;0;0;27;1922
33 Rio de Janeiro;2001;1325;0;0;0;0;5;1253
35 São Paulo;2001;2660;2;0;0;0;67;3388
41 Paraná;2001;1249;0;0;0;0;35;1725
42 Santa Catarina;2001;84;0;0;0;0;0;106
43 Rio Grande do Sul;2001;108;0;0;0;0;0;88
50 Mato Grosso do Sul;2001;147;0;0;0;0;13;317
51 Mato Grosso;2001;1729;0;0;0;0;76;2654
52 Goiás;2001;1778;0;0;0;0;10;2176
53 Distrito Federal;2001;526;0;0;0;0;0;591
11 Rondônia;2002;1128;0;0;0;0;0;1625
12 Acre;2002;315;0;0;0;0;6;302
13 Amazonas;2002;689;0;0;0;0;0;1104
14 Roraima;2002;275;0;0;0;0;0;323
15 Pará;2002;2880;0;0;0;0;6;4009
16 Amapá;2002;42;0;0;0;0;0;106
17 Tocantins;2002;714;0;0;0;0;154;1256
21 Maranhão;2002;3057;0;0;0;0;252;4974
22 Piauí;2002;476;0;0;0;0;0;585
23 Ceará;2002;922;0;0;0;0;0;1110
24 Rio Grande do Norte;2002;153;0;0;0;0;0;208
25 Paraíba;2002;514;0;0;0;0;0;525
26 Pernambuco;2002;1446;0;0;0;0;28;1574
27 Alagoas;2002;418;0;0;0;0;0;312
28 Sergipe;2002;348;0;0;0;0;9;453
29 Bahia;2002;1522;0;0;0;0;0;1475
31 Minas Gerais;2002;2126;0;0;6;1;75;2573
32 Espírito Santo;2002;2459;0;0;0;0;45;2618
33 Rio de Janeiro;2002;1367;0;0;0;0;25;1600
35 São Paulo;2002;2991;0;1;0;0;74;3873
41 Paraná;2002;1508;0;0;0;0;69;1973
42 Santa Catarina;2002;112;0;0;0;0;0;174
43 Rio Grande do Sul;2002;139;0;0;0;0;0;134
50 Mato Grosso do Sul;2002;297;0;0;0;0;44;557
51 Mato Grosso;2002;2346;0;0;0;0;51;3815
52 Goiás;2002;1925;0;0;0;0;15;2594
53 Distrito Federal;2002;477;0;0;0;0;0;511
11 Rondônia;2003;1331;0;0;0;0;4;1612
12 Acre;2003;35;0;0;0;0;0;127
13 Amazonas;2003;869;0;0;0;0;0;1261
14 Roraima;2003;249;0;0;0;0;0;473
15 Pará;2003;3538;0;0;0;0;3;4989
16 Amapá;2003;18;0;0;0;0;0;14
17 Tocantins;2003;899;0;0;0;0;273;1271
21 Maranhão;2003;3511;0;0;0;0;344;5249
22 Piauí;2003;939;0;0;0;0;0;1346
23 Ceará;2003;1677;0;0;0;0;0;2005
24 Rio Grande do Norte;2003;185;0;0;0;0;0;191
25 Paraíba;2003;498;0;0;0;0;0;453
26 Pernambuco;2003;2185;0;0;0;0;5;2231
27 Alagoas;2003;547;0;0;0;0;0;541
28 Sergipe;2003;596;0;0;0;0;11;698
29 Bahia;2003;2891;0;0;0;0;2;2446
31 Minas Gerais;2003;2285;0;0;0;0;99;2478
32 Espírito Santo;2003;2756;0;0;0;0;37;2983
33 Rio de Janeiro;2003;2084;0;0;0;0;1;2249
35 São Paulo;2003;3350;0;0;0;0;90;3922
41 Paraná;2003;1515;0;0;0;0;63;1890
42 Santa Catarina;2003;158;0;0;0;0;0;221
43 Rio Grande do Sul;2003;176;0;0;0;0;7;261
50 Mato Grosso do Sul;2003;380;0;0;0;0;37;561
51 Mato Grosso;2003;2660;0;0;0;0;32;3647
52 Goiás;2003;2420;0;0;0;0;21;3380
53 Distrito Federal;2003;487;0;0;0;0;0;514
11 Rondônia;2004;1311;0;0;0;0;1;1533
12 Acre;2004;67;0;0;0;0;29;282
13 Amazonas;2004;789;0;0;0;0;14;1250
14 Roraima;2004;306;0;0;0;0;0;500
15 Pará;2004;3399;0;0;0;0;14;5504
16 Amapá;2004;21;0;0;0;0;0;15
17 Tocantins;2004;886;0;0;0;0;186;2069
21 Maranhão;2004;3545;0;0;0;0;270;5303
22 Piauí;2004;1315;0;0;0;0;0;1550
23 Ceará;2004;2170;0;0;0;0;0;2398
24 Rio Grande do Norte;2004;235;0;0;0;0;0;258
25 Paraíba;2004;525;0;0;0;0;0;647
26 Pernambuco;2004;2530;0;0;0;0;19;2929
27 Alagoas;2004;440;0;0;0;0;4;419
28 Sergipe;2004;597;0;0;0;0;3;736
29 Bahia;2004;2741;0;0;0;0;0;2609
31 Minas Gerais;2004;2582;0;0;0;0;68;2811
32 Espírito Santo;2004;2295;0;0;0;0;50;2580
33 Rio de Janeiro;2004;2257;0;0;0;0;12;2453
35 São Paulo;2004;2959;0;0;0;0;82;4074
41 Paraná;2004;1730;0;0;0;0;46;2441
42 Santa Catarina;2004;244;0;0;0;0;5;300
43 Rio Grande do Sul;2004;380;0;0;0;0;0;274
50 Mato Grosso do Sul;2004;371;0;0;0;0;28;584
51 Mato Grosso;2004;2259;0;0;0;0;53;3192
52 Goiás;2004;2518;0;0;0;0;39;3331
53 Distrito Federal;2004;381;0;0;0;0;0;472
11 Rondônia;2005;1345;0;0;0;0;4;1507
12 Acre;2005;78;0;0;0;0;10;198
13 Amazonas;2005;717;0;0;0;0;3;1390
14 Roraima;2005;251;0;0;0;0;0;391
15 Pará;2005;4157;1;0;0;4;15;6174
16 Amapá;2005;38;0;0;0;0;0;36
17 Tocantins;2005;1013;3;0;0;1;364;2134
21 Maranhão;2005;4635;0;4;0;0;375;6844
22 Piauí;2005;1794;0;0;0;0;0;2099
23 Ceará;2005;2441;0;0;0;0;19;2606
24 Rio Grande do Norte;2005;405;0;0;0;0;0;273
25 Paraíba;2005;864;0;0;0;0;0;837
26 Pernambuco;2005;3703;0;0;0;0;42;3820
27 Alagoas;2005;556;0;0;0;0;0;509
28 Sergipe;2005;1041;0;8;0;0;3;978
29 Bahia;2005;2458;0;0;0;0;9;2581
31 Minas Gerais;2005;2803;0;0;0;0;18;3114
32 Espírito Santo;2005;2308;0;0;0;0;53;2863
33 Rio de Janeiro;2005;2462;0;0;0;0;0;2609
35 São Paulo;2005;3092;2;0;0;1;117;3917
41 Paraná;2005;1772;0;0;5;5;52;2375
42 Santa Catarina;2005;247;0;0;0;0;0;294
43 Rio Grande do Sul;2005;426;0;0;0;0;0;386
50 Mato Grosso do Sul;2005;416;0;0;0;0;30;790
51 Mato Grosso;2005;2600;0;0;0;0;111;3946
52 Goiás;2005;2810;0;0;0;0;16;3786
53 Distrito Federal;2005;376;0;0;0;0;0;518
11 Rondônia;2006;1488;0;0;0;0;40;1728
12 Acre;2006;218;0;0;0;0;49;379
13 Amazonas;2006;591;0;0;0;0;50;1241
14 Roraima;2006;322;0;0;0;0;3;413
15 Pará;2006;4264;0;0;0;0;86;6491
16 Amapá;2006;26;0;0;0;0;0;110
17 Tocantins;2006;1343;1;0;0;0;534;2631
21 Maranhão;2006;3951;0;12;0;0;576;6860
22 Piauí;2006;1864;0;0;0;0;65;2099
23 Ceará;2006;2362;0;6;0;0;50;3008
24 Rio Grande do Norte;2006;247;0;0;0;0;1;149
25 Paraíba;2006;900;0;0;0;0;23;916
26 Pernambuco;2006;4590;0;0;0;0;87;4907
27 Alagoas;2006;490;0;0;0;0;5;473
28 Sergipe;2006;876;0;0;0;0;19;872
29 Bahia;2006;2383;0;0;9;0;70;2678
31 Minas Gerais;2006;2449;0;0;0;0;67;3278
32 Espírito Santo;2006;1926;0;0;0;0;46;2221
33 Rio de Janeiro;2006;2362;0;0;0;2;23;2641
35 São Paulo;2006;2391;6;0;0;5;203;3299
41 Paraná;2006;2139;0;0;0;1;121;2281
42 Santa Catarina;2006;252;0;0;0;0;3;307
43 Rio Grande do Sul;2006;245;0;0;0;0;5;405
50 Mato Grosso do Sul;2006;538;0;0;0;0;33;911
51 Mato Grosso;2006;2705;0;3;0;4;294;4305
52 Goiás;2006;2800;7;0;0;2;90;3801
53 Distrito Federal;2006;310;0;0;0;0;5;425
11 Rondônia;2007;14;7;15;2;1;1069;1787
12 Acre;2007;4;0;0;0;0;241;745
13 Amazonas;2007;76;3;11;0;0;344;1084
14 Roraima;2007;1;0;6;0;138;126;427
15 Pará;2007;737;14;46;16;81;2845;7491
16 Amapá;2007;0;0;6;0;0;29;119
17 Tocantins;2007;22;3;3;7;16;1541;2593
21 Maranhão;2007;155;24;44;25;74;3302;7269
22 Piauí;2007;117;10;33;0;16;1292;2147
23 Ceará;2007;677;25;25;6;22;1876;4515
24 Rio Grande do Norte;2007;101;6;6;0;6;104;284
25 Paraíba;2007;99;11;3;3;14;532;946
26 Pernambuco;2007;1319;26;55;5;71;2427;5356
27 Alagoas;2007;84;3;5;1;18;319;643
28 Sergipe;2007;147;7;21;0;2;578;1153
29 Bahia;2007;644;8;18;2;40;1799;3730
31 Minas Gerais;2007;410;32;20;4;19;1397;4074
32 Espírito Santo;2007;128;4;7;7;5;1557;2255
33 Rio de Janeiro;2007;940;21;2;0;9;977;3045
35 São Paulo;2007;402;10;19;13;10;1973;4064
41 Paraná;2007;84;14;32;0;47;1340;2627
42 Santa Catarina;2007;14;5;0;2;0;272;400
43 Rio Grande do Sul;2007;7;0;0;0;0;152;295
50 Mato Grosso do Sul;2007;62;5;0;0;0;563;1209
51 Mato Grosso;2007;239;4;29;0;10;2477;5208
52 Goiás;2007;313;21;28;12;13;2335;4254
53 Distrito Federal;2007;170;13;6;0;6;246;495
11 Rondônia;2008;32;0;7;6;0;992;1751
12 Acre;2008;15;0;0;0;1;330;897
13 Amazonas;2008;53;24;0;4;12;369;1108
14 Roraima;2008;13;0;6;0;35;151;381
15 Pará;2008;556;22;20;34;45;3712;8917
16 Amapá;2008;9;4;0;0;2;101;294
17 Tocantins;2008;1;10;19;16;4;1625;2978
21 Maranhão;2008;162;13;28;13;38;3366;7685
22 Piauí;2008;119;8;9;10;13;1935;2968
23 Ceará;2008;908;7;36;0;6;1986;4408
24 Rio Grande do Norte;2008;127;4;0;0;0;96;251
25 Paraíba;2008;114;9;0;3;6;582;918
26 Pernambuco;2008;738;5;20;23;29;2719;5089
27 Alagoas;2008;29;3;0;1;3;484;643
28 Sergipe;2008;98;5;5;4;3;452;1148
29 Bahia;2008;457;1;12;16;16;1756;3967
31 Minas Gerais;2008;335;12;15;7;8;1540;4019
32 Espírito Santo;2008;89;22;18;0;1;1369;2407
33 Rio de Janeiro;2008;1038;19;7;3;15;971;2945
35 São Paulo;2008;212;5;21;2;35;2169;4583
41 Paraná;2008;70;9;15;0;0;1398;2564
42 Santa Catarina;2008;17;5;0;2;0;234;411
43 Rio Grande do Sul;2008;7;0;4;0;0;210;293
50 Mato Grosso do Sul;2008;50;13;3;0;0;566;1344
51 Mato Grosso;2008;65;9;19;6;15;2575;4741
52 Goiás;2008;286;38;29;8;25;1967;4670
53 Distrito Federal;2008;131;6;12;0;0;218;535
11 Rondônia;2009;17;7;7;3;7;953;1900
12 Acre;2009;36;0;0;0;4;226;483
13 Amazonas;2009;107;5;2;0;17;420;1340
14 Roraima;2009;16;0;4;0;3;140;337
15 Pará;2009;440;27;34;41;70;3450;8284
16 Amapá;2009;6;0;0;0;0;136;375
17 Tocantins;2009;16;0;5;4;0;1431;2553
21 Maranhão;2009;127;29;35;15;46;3232;7022
22 Piauí;2009;40;23;8;2;14;1462;2636
23 Ceará;2009;656;8;6;12;13;1974;4191
24 Rio Grande do Norte;2009;92;4;10;0;6;205;415
25 Paraíba;2009;90;0;3;0;2;501;999
26 Pernambuco;2009;687;21;34;15;37;3231;5847
27 Alagoas;2009;22;0;3;0;0;443;691
28 Sergipe;2009;96;0;6;1;15;654;1195
29 Bahia;2009;408;12;9;13;15;2172;4324
31 Minas Gerais;2009;160;9;13;0;4;1558;5759
32 Espírito Santo;2009;27;7;7;7;6;1445;2280
33 Rio de Janeiro;2009;795;6;3;8;6;1198;3414
35 São Paulo;2009;192;30;15;4;9;2401;4424
41 Paraná;2009;26;5;15;3;0;1363;2220
42 Santa Catarina;2009;9;0;0;2;0;271;328
43 Rio Grande do Sul;2009;7;0;0;1;0;190;289
50 Mato Grosso do Sul;2009;23;4;0;7;4;679;1378
51 Mato Grosso;2009;78;11;20;16;10;2675;4804
52 Goiás;2009;283;5;7;8;25;2482;4772
53 Distrito Federal;2009;62;0;3;0;0;279;539
11 Rondônia;2010;12;3;10;0;5;924;1586
12 Acre;2010;8;0;0;4;0;223;460
13 Amazonas;2010;43;0;2;5;0;445;1255
14 Roraima;2010;16;0;3;0;0;83;300
15 Pará;2010;267;47;46;32;12;3352;7902
16 Amapá;2010;0;0;0;0;0;115;375
17 Tocantins;2010;23;0;3;0;7;1334;2424
21 Maranhão;2010;157;11;10;13;45;3486;7667
22 Piauí;2010;59;1;12;3;8;1600;2897
23 Ceará;2010;718;0;11;13;32;1601;4035
24 Rio Grande do Norte;2010;55;0;4;0;6;173;391
25 Paraíba;2010;113;3;0;0;0;414;912
26 Pernambuco;2010;625;22;40;5;19;2866;5401
27 Alagoas;2010;19;0;0;0;0;445;627
28 Sergipe;2010;42;15;10;7;7;498;1130
29 Bahia;2010;339;19;19;6;17;2274;4581
31 Minas Gerais;2010;204;9;21;6;24;1314;3136
32 Espírito Santo;2010;38;14;0;5;0;1343;2258
33 Rio de Janeiro;2010;941;16;11;3;4;1247;3474
35 São Paulo;2010;133;12;36;0;4;2091;3927
41 Paraná;2010;21;4;13;0;0;1260;2073
42 Santa Catarina;2010;19;0;0;0;0;262;359
43 Rio Grande do Sul;2010;2;0;3;0;0;152;224
50 Mato Grosso do Sul;2010;117;10;1;3;18;1136;2111
51 Mato Grosso;2010;69;17;6;9;0;2623;4655
52 Goiás;2010;212;9;16;11;0;2230;4157
53 Distrito Federal;2010;47;7;0;0;0;264;492
11 Rondônia;2011;14;2;4;0;2;854;1613
12 Acre;2011;0;0;6;0;8;217;398
