UF de notificação;Ano;Ign/Branco;1º Trimestre;2º Trimestre;3º Trimestre;Idade gestacional Ignorada;Não;Não se Aplica
11 Rondônia;2001;1438;0;0;0;0;0;2089
12 Acre;2001;563;5;0;0;0;83;1082
13 Amazonas;2001;380;0;0;0;0;0;696
14 Roraima;2001;518;0;0;0;0;0;720
15 Pará;2001;2954;0;0;0;0;0;4874
16 Amapá;2001;183;0;0;0;0;0;393
17 Tocantins;2001;1090;0;0;0;2;323;2263
21 Maranhão;2001;3926;0;0;0;0;230;5639
22 Piauí;2001;447;0;0;0;0;0;388
23 Ceará;2001;1087;0;0;0;0;0;1439
24 Rio Grande do Norte;2001;76;0;0;0;0;0;97
25 Paraíba;2001;1132;0;0;0;0;4;972
26 Pernambuco;2001;2281;0;0;0;0;9;1819
27 Alagoas;2001;337;0;0;0;0;0;395
28 Sergipe;2001;394;0;0;0;0;7;469
29 Bahia;2001;2146;0;0;0;0;0;2217
31 Minas Gerais;2001;4616;0;0;0;0;36;5484
32 Espírito Santo;2001;2449;2;0;0;0;35;2425
33 Rio de Janeiro;2001;1900;0;0;0;0;5;1630
35 São Paulo;2001;2191;3;0;0;0;78;2778
41 Paraná;2001;1558;0;0;0;0;40;2175
42 Santa Catarina;2001;114;0;0;0;0;0;107
43 Rio Grande do Sul;2001;172;0;0;0;0;2;171
50 Mato Grosso do Sul;2001;161;0;0;0;0;18;345
51 Mato Grosso;2001;2075;0;0;0;0;97;2977
52 Goiás;2001;2479;0;0;0;0;10;3100
53 Distrito Federal;2001;823;0;0;0;0;0;980
11 Rondônia;2002;1650;0;0;0;0;0;2096
12 Acre;2002;710;0;0;0;0;54;1035
13 Amazonas;2002;602;0;0;0;0;0;861
14 Roraima;2002;636;0;0;0;0;0;839
15 Pará;2002;6426;0;0;0;0;6;9014
16 Amapá;2002;275;0;0;0;0;0;547
17 Tocantins;2002;1610;0;0;0;0;483;2894
21 Maranhão;2002;6256;0;0;0;0;486;9315
22 Piauí;2002;581;0;0;0;0;0;769
23 Ceará;2002;1110;0;0;0;0;3;1261
24 Rio Grande do Norte;2002;74;0;0;0;0;0;88
25 Paraíba;2002;1198;0;0;0;0;8;1088
26 Pernambuco;2002;3288;0;0;0;0;39;2766
27 Alagoas;2002;798;0;0;0;0;0;641
28 Sergipe;2002;666;0;0;0;0;17;709
29 Bahia;2002;3785;0;0;0;0;0;3425
31 Minas Gerais;2002;6065;0;0;6;2;89;6573
32 Espírito Santo;2002;3452;0;0;0;0;39;3317
33 Rio de Janeiro;2002;2817;0;0;0;0;29;3028
35 São Paulo;2002;3898;0;1;0;0;96;4732
41 Paraná;2002;1635;0;0;0;0;81;2276
42 Santa Catarina;2002;310;0;0;0;0;0;384
43 Rio Grande do Sul;2002;323;0;0;0;0;3;328
50 Mato Grosso do Sul;2002;559;0;0;0;0;63;795
51 Mato Grosso;2002;4854;0;0;0;0;80;6745
52 Goiás;2002;3266;0;0;0;0;20;4018
53 Distrito Federal;2002;790;0;0;0;0;0;898
11 Rondônia;2003;1977;0;0;0;0;6;2403
12 Acre;2003;663;0;0;0;0;53;1092
13 Amazonas;2003;1743;0;0;0;0;8;2665
14 Roraima;2003;593;0;0;0;0;0;842
15 Pará;2003;11038;0;0;0;0;7;15083
16 Amapá;2003;376;0;0;0;0;0;776
17 Tocantins;2003;1577;2;0;0;0;708;2890
21 Maranhão;2003;8378;0;2;0;0;548;12467
22 Piauí;2003;2919;0;0;0;0;0;3329
23 Ceará;2003;4410;0;0;0;0;0;4412
24 Rio Grande do Norte;2003;312;0;0;0;0;0;323
25 Paraíba;2003;1498;0;0;0;0;0;1388
26 Pernambuco;2003;5452;0;0;0;0;10;5135
27 Alagoas;2003;1181;0;0;0;0;0;1056
28 Sergipe;2003;975;0;0;0;0;15;1044
29 Bahia;2003;6619;0;0;0;0;9;6197
31 Minas Gerais;2003;5950;0;0;0;0;117;6401
32 Espírito Santo;2003;3669;0;0;0;0;55;3746
33 Rio de Janeiro;2003;5318;0;0;0;0;12;5622
35 São Paulo;2003;4575;0;0;0;0;97;5106
41 Paraná;2003;2399;0;0;0;0;64;2899
42 Santa Catarina;2003;303;0;0;0;0;0;452
43 Rio Grande do Sul;2003;290;0;0;0;0;7;317
50 Mato Grosso do Sul;2003;859;0;0;0;0;50;1081
51 Mato Grosso;2003;5543;0;0;0;0;58;7446
52 Goiás;2003;5000;0;0;0;0;31;6453
53 Distrito Federal;2003;819;0;0;0;0;0;869
11 Rondônia;2004;2030;0;0;0;0;1;2435
12 Acre;2004;441;0;0;0;0;80;1035
13 Amazonas;2004;2040;0;0;0;0;22;3063
14 Roraima;2004;504;0;0;0;0;0;925
15 Pará;2004;10960;0;0;0;0;20;16280
16 Amapá;2004;339;0;0;0;0;0;555
17 Tocantins;2004;1623;0;0;0;8;387;3599
21 Maranhão;2004;9002;0;0;0;0;471;12331
22 Piauí;2004;3211;0;0;0;0;0;3671
23 Ceará;2004;4882;0;0;0;0;15;4990
24 Rio Grande do Norte;2004;591;0;0;0;0;0;617
25 Paraíba;2004;1657;0;0;0;0;0;1683
26 Pernambuco;2004;5198;0;0;0;0;21;5422
27 Alagoas;2004;970;0;0;0;0;4;907
28 Sergipe;2004;1098;0;0;0;0;3;1100
29 Bahia;2004;7530;0;0;0;0;0;6525
31 Minas Gerais;2004;5555;0;0;0;0;72;5871
32 Espírito Santo;2004;2983;0;0;0;0;54;3328
33 Rio de Janeiro;2004;5255;0;0;0;0;14;5227
35 São Paulo;2004;3970;0;0;0;0;92;5282
41 Paraná;2004;2629;0;0;0;0;50;3430
42 Santa Catarina;2004;416;0;0;0;0;5;528
43 Rio Grande do Sul;2004;452;0;0;0;0;0;322
50 Mato Grosso do Sul;2004;778;0;0;0;0;39;1027
51 Mato Grosso;2004;4715;0;0;0;0;77;6557
52 Goiás;2004;5007;0;0;0;0;58;6505
53 Distrito Federal;2004;782;0;0;0;0;0;791
11 Rondônia;2005;1927;0;0;0;0;9;2182
12 Acre;2005;551;0;0;0;0;45;984
13 Amazonas;2005;1644;0;0;0;0;29;3029
14 Roraima;2005;519;0;0;0;0;0;661
15 Pará;2005;10221;3;0;0;4;34;14988
16 Amapá;2005;289;0;0;0;0;0;541
17 Tocantins;2005;1623;9;0;0;1;537;3331
21 Maranhão;2005;9764;0;4;0;0;657;13403
22 Piauí;2005;3611;0;0;0;0;1;4095
23 Ceará;2005;5048;0;0;0;0;28;5334
24 Rio Grande do Norte;2005;1090;0;0;0;0;0;779
25 Paraíba;2005;1940;0;0;0;0;7;1855
26 Pernambuco;2005;6059;0;0;0;0;51;5948
27 Alagoas;2005;915;0;0;0;0;0;822
28 Sergipe;2005;1507;0;8;0;0;0;1353
29 Bahia;2005;6608;0;0;0;0;12;6669
31 Minas Gerais;2005;5213;0;0;0;0;15;5603
32 Espírito Santo;2005;2979;0;0;0;0;65;3456
33 Rio de Janeiro;2005;4569;0;0;0;0;0;4656
35 São Paulo;2005;4059;2;0;0;1;142;5232
41 Paraná;2005;2357;0;0;5;5;61;3081
42 Santa Catarina;2005;411;0;0;0;0;0;445
43 Rio Grande do Sul;2005;458;0;0;0;0;0;458
