UF de notificação;Ano;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena
11 Rondônia;2001;2579;3;0;4;13;0
12 Acre;2001;507;19;0;0;93;0
13 Amazonas;2001;979;4;13;8;64;2
14 Roraima;2001;16;148;66;4;283;4
15 Pará;2001;4483;147;51;5;781;0
16 Amapá;2001;4;6;0;0;15;0
17 Tocantins;2001;257;436;237;18;1041;0
21 Maranhão;2001;5809;136;63;36;599;0
22 Piauí;2001;846;7;5;5;70;0
23 Ceará;2001;1715;10;6;0;74;0
24 Rio Grande do Norte;2001;189;0;0;0;2;0
25 Paraíba;2001;636;77;9;4;48;0
26 Pernambuco;2001;2478;21;1;2;102;0
27 Alagoas;2001;364;49;36;0;99;0
28 Sergipe;2001;36;140;23;0;265;11
29 Bahia;2001;2873;29;34;0;136;0
31 Minas Gerais;2001;3372;672;196;4;416;8
32 Espírito Santo;2001;2220;664;148;4;596;5
33 Rio de Janeiro;2001;2231;196;55;0;101;0
35 São Paulo;2001;4631;1078;106;7;295;0
41 Paraná;2001;2441;491;20;0;57;0
42 Santa Catarina;2001;115;68;1;0;6;0
43 Rio Grande do Sul;2001;139;54;1;0;2;0
50 Mato Grosso do Sul;2001;293;100;45;0;39;0
51 Mato Grosso;2001;2794;641;195;40;786;3
52 Goiás;2001;3892;47;1;0;24;0
53 Distrito Federal;2001;1097;20;0;0;0;0
11 Rondônia;2002;166;1278;294;63;952;0
12 Acre;2002;18;109;9;27;460;0
13 Amazonas;2002;1599;7;5;0;174;8
14 Roraima;2002;0;199;75;13;299;12
15 Pará;2002;2176;759;542;19;3393;6
16 Amapá;2002;0;37;14;20;77;0
17 Tocantins;2002;5;508;241;42;1321;7
21 Maranhão;2002;2639;1257;816;235;3312;24
22 Piauí;2002;752;61;36;1;211;0
23 Ceará;2002;1918;12;19;0;83;0
24 Rio Grande do Norte;2002;352;4;5;0;0;0
25 Paraíba;2002;722;155;26;1;135;0
26 Pernambuco;2002;1122;545;231;84;1046;20
27 Alagoas;2002;39;165;48;1;477;0
28 Sergipe;2002;61;211;127;28;383;0
29 Bahia;2002;1497;329;278;28;865;0
31 Minas Gerais;2002;672;2152;680;69;1186;22
32 Espírito Santo;2002;509;1853;658;56;2032;14
33 Rio de Janeiro;2002;1305;854;389;9;435;0
35 São Paulo;2002;1088;4305;426;62;1055;3
41 Paraná;2002;2593;809;34;9;101;4
42 Santa Catarina;2002;12;264;10;0;0;0
43 Rio Grande do Sul;2002;4;249;2;7;11;0
50 Mato Grosso do Sul;2002;220;362;63;21;227;5
51 Mato Grosso;2002;161;2455;906;80;2604;6
52 Goiás;2002;4362;80;19;0;73;0
53 Distrito Federal;2002;270;321;96;25;275;1
11 Rondônia;2003;46;1409;363;32;1097;0
12 Acre;2003;0;12;7;0;143;0
13 Amazonas;2003;198;262;139;38;1462;31
14 Roraima;2003;5;181;114;3;408;11
15 Pará;2003;173;1311;1222;83;5714;27
16 Amapá;2003;1;0;0;1;30;0
17 Tocantins;2003;7;553;321;42;1505;15
21 Maranhão;2003;194;1971;1374;307;5232;26
22 Piauí;2003;361;311;365;80;1168;0
23 Ceará;2003;955;861;434;37;1395;0
24 Rio Grande do Norte;2003;113;103;18;4;138;0
25 Paraíba;2003;405;114;63;24;345;0
26 Pernambuco;2003;656;1088;594;83;1978;22
27 Alagoas;2003;65;169;99;32;723;0
28 Sergipe;2003;86;377;164;29;607;42
29 Bahia;2003;242;958;1133;25;2974;7
31 Minas Gerais;2003;435;2173;696;61;1492;5
32 Espírito Santo;2003;292;2184;869;127;2300;4
33 Rio de Janeiro;2003;583;1871;714;36;1126;4
35 São Paulo;2003;480;4883;543;82;1366;8
41 Paraná;2003;122;2604;226;20;496;0
42 Santa Catarina;2003;0;349;7;3;20;0
43 Rio Grande do Sul;2003;3;392;4;4;40;1
50 Mato Grosso do Sul;2003;45;509;81;34;303;6
51 Mato Grosso;2003;112;2572;1151;112;2376;16
52 Goiás;2003;393;2761;577;175;1913;2
53 Distrito Federal;2003;92;342;142;17;407;1
11 Rondônia;2004;34;1274;416;31;1090;0
12 Acre;2004;0;50;4;12;312;0
13 Amazonas;2004;98;330;154;61;1359;51
14 Roraima;2004;6;137;97;18;536;12
15 Pará;2004;138;1502;1322;106;5819;30
16 Amapá;2004;0;12;0;3;21;0
17 Tocantins;2004;0;694;467;57;1919;4
21 Maranhão;2004;239;1910;1622;271;5042;34
22 Piauí;2004;49;474;525;55;1759;3
23 Ceará;2004;822;1136;505;89;2014;2
24 Rio Grande do Norte;2004;18;170;54;2;245;4
25 Paraíba;2004;137;265;110;37;623;0
26 Pernambuco;2004;605;1196;801;224;2645;7
27 Alagoas;2004;48;234;102;4;475;0
28 Sergipe;2004;110;360;230;26;604;6
29 Bahia;2004;294;972;945;32;3078;29
31 Minas Gerais;2004;345;2208;827;128;1947;6
32 Espírito Santo;2004;169;1753;744;115;2144;0
33 Rio de Janeiro;2004;415;1994;951;45;1308;9
35 São Paulo;2004;331;4691;533;56;1495;9
41 Paraná;2004;137;3138;242;46;652;2
42 Santa Catarina;2004;0;513;24;0;12;0
43 Rio Grande do Sul;2004;38;485;42;0;88;1
50 Mato Grosso do Sul;2004;45;517;104;11;302;4
51 Mato Grosso;2004;82;2087;962;85;2242;46
52 Goiás;2004;270;2577;690;246;2092;13
53 Distrito Federal;2004;54;287;157;22;333;0
11 Rondônia;2005;27;1231;308;17;1268;5
12 Acre;2005;9;23;14;0;240;0
13 Amazonas;2005;71;237;276;48;1453;25
14 Roraima;2005;6;126;51;0;447;12
15 Pará;2005;161;1639;1299;117;7113;22
16 Amapá;2005;16;0;11;0;47;0
17 Tocantins;2005;13;651;491;45;2300;15
21 Maranhão;2005;189;2259;1880;228;7231;71
22 Piauí;2005;124;529;712;73;2450;5
23 Ceará;2005;395;1383;648;51;2587;2
24 Rio Grande do Norte;2005;65;202;103;0;308;0
25 Paraíba;2005;143;463;251;21;819;4
26 Pernambuco;2005;777;1732;1058;145;3848;5
27 Alagoas;2005;111;262;112;19;561;0
28 Sergipe;2005;97;543;228;26;1111;25
29 Bahia;2005;350;996;799;59;2826;18
31 Minas Gerais;2005;423;2463;897;123;2023;6
32 Espírito Santo;2005;174;1677;763;243;2367;0
33 Rio de Janeiro;2005;398;2330;1031;49;1261;2
35 São Paulo;2005;261;4502;657;18;1671;20
41 Paraná;2005;93;3149;329;29;602;7
42 Santa Catarina;2005;5;488;4;0;38;6
43 Rio Grande do Sul;2005;31;670;44;0;65;2
50 Mato Grosso do Sul;2005;61;661;83;10;415;6
51 Mato Grosso;2005;83;2359;992;105;3100;18
52 Goiás;2005;538;2739;623;206;2491;15
53 Distrito Federal;2005;101;284;155;13;330;11
11 Rondônia;2006;21;1430;316;12;1466;11
12 Acre;2006;8;89;12;16;521;0
13 Amazonas;2006;60;139;112;21;1505;45
14 Roraima;2006;16;192;97;13;408;12
15 Pará;2006;201;1511;1365;166;7554;44
16 Amapá;2006;15;14;18;0;89;0
17 Tocantins;2006;18;870;651;64;2885;21
21 Maranhão;2006;214;2243;2010;156;6739;37
22 Piauí;2006;55;525;638;83;2722;5
23 Ceará;2006;259;1422;614;66;3059;6
24 Rio Grande do Norte;2006;24;139;41;4;189;0
25 Paraíba;2006;153;563;187;48;888;0
26 Pernambuco;2006;858;2012;1349;151;5181;33
27 Alagoas;2006;42;177;128;5;616;0
28 Sergipe;2006;55;493;237;11;958;13
29 Bahia;2006;235;1024;916;28;2920;17
31 Minas Gerais;2006;325;2450;824;137;2039;19
32 Espírito Santo;2006;126;1403;643;162;1846;13
33 Rio de Janeiro;2006;510;2039;1031;45;1402;1
35 São Paulo;2006;180;3735;499;34;1449;7
41 Paraná;2006;52;3572;198;34;683;3
42 Santa Catarina;2006;0;492;4;32;34;0
43 Rio Grande do Sul;2006;1;603;21;0;30;0
50 Mato Grosso do Sul;2006;85;767;93;27;500;10
51 Mato Grosso;2006;76;2537;1034;67;3580;17
52 Goiás;2006;227;2725;725;108;2911;4
53 Distrito Federal;2006;52;289;78;21;300;0
11 Rondônia;2007;11;1170;218;16;1480;0
12 Acre;2007;5;86;25;0;874;0
13 Amazonas;2007;61;195;166;18;1055;23
14 Roraima;2007;12;155;109;15;398;9
15 Pará;2007;206;1913;1715;209;7154;33
16 Amapá;2007;28;12;12;1;101;0
17 Tocantins;2007;14;986;827;82;2248;28
21 Maranhão;2007;156;2273;2028;212;6185;39
22 Piauí;2007;24;514;658;54;2349;16
23 Ceará;2007;822;1494;664;133;3985;48
24 Rio Grande do Norte;2007;49;142;39;6;265;6
25 Paraíba;2007;135;511;119;60;783;0
26 Pernambuco;2007;708;1967;1198;178;5179;29
27 Alagoas;2007;22;170;173;7;699;2
28 Sergipe;2007;34;601;285;14;961;13
29 Bahia;2007;217;1281;1052;48;3615;28
31 Minas Gerais;2007;320;2386;905;73;2272;0
32 Espírito Santo;2007;52;1461;591;89;1749;21
33 Rio de Janeiro;2007;452;2208;921;75;1310;28
35 São Paulo;2007;177;3890;516;26;1876;6
41 Paraná;2007;39;3060;299;20;713;13
42 Santa Catarina;2007;14;610;12;0;57;0
43 Rio Grande do Sul;2007;5;403;8;2;36;0
50 Mato Grosso do Sul;2007;27;910;211;21;659;11
51 Mato Grosso;2007;80;2963;1191;79;3557;97
52 Goiás;2007;167;2634;805;114;3210;46
53 Distrito Federal;2007;76;241;146;26;447;0
11 Rondônia;2008;53;1109;265;14;1341;6
12 Acre;2008;12;74;50;3;1093;11
13 Amazonas;2008;17;201;109;44;1111;88
14 Roraima;2008;8;161;80;13;308;16
15 Pará;2008;221;2869;1938;142;8070;66
16 Amapá;2008;17;52;33;4;304;0
17 Tocantins;2008;14;1058;978;40;2534;29
21 Maranhão;2008;167;2227;2113;196;6524;78
22 Piauí;2008;53;749;919;87;3228;26
23 Ceará;2008;987;1600;629;126;3978;31
24 Rio Grande do Norte;2008;47;138;47;4;240;2
25 Paraíba;2008;132;529;149;22;791;9
26 Pernambuco;2008;681;1969;991;129;4829;24
27 Alagoas;2008;45;232;164;7;703;12
28 Sergipe;2008;15;434;182;24;1039;21
29 Bahia;2008;360;1233;1137;65;3401;29
31 Minas Gerais;2008;349;2334;944;91;2211;7
32 Espírito Santo;2008;16;1399;564;38;1879;10
33 Rio de Janeiro;2008;361;2346;867;58;1366;0
35 São Paulo;2008;196;4365;581;52;1833;0
41 Paraná;2008;35;2956;303;43;708;11
42 Santa Catarina;2008;0;573;45;0;51;0
43 Rio Grande do Sul;2008;4;415;35;2;58;0
50 Mato Grosso do Sul;2008;109;898;214;30;699;26
51 Mato Grosso;2008;37;2836;973;52;3478;54
52 Goiás;2008;249;2343;812;191;3368;60
53 Distrito Federal;2008;71;362;122;15;321;11
11 Rondônia;2009;54;1089;282;7;1458;4
12 Acre;2009;0;76;6;12;637;18
13 Amazonas;2009;4;190;190;14;1460;33
14 Roraima;2009;13;133;77;9;265;3
15 Pará;2009;268;2101;1832;164;7904;77
16 Amapá;2009;5;74;20;0;418;0
17 Tocantins;2009;2;664;826;47;2454;16
21 Maranhão;2009;194;2092;2038;111;6018;53
22 Piauí;2009;42;549;656;96;2801;41
23 Ceará;2009;735;1473;672;118;3842;20
24 Rio Grande do Norte;2009;61;294;102;11;264;0
25 Paraíba;2009;31;455;217;9;873;10
26 Pernambuco;2009;748;1927;1333;167;5659;38
27 Alagoas;2009;43;189;191;0;726;10
28 Sergipe;2009;45;342;280;37;1231;32
29 Bahia;2009;295;1227;1384;84;3908;55
