UF de notificação;Ano;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena
11 Rondônia;2001;3489;13;0;4;21;0
12 Acre;2001;1254;63;15;0;401;0
13 Amazonas;2001;974;4;13;11;72;2
14 Roraima;2001;43;350;150;14;659;22
15 Pará;2001;5034;530;280;35;1946;3
16 Amapá;2001;26;55;8;6;481;0
17 Tocantins;2001;243;866;471;34;2062;0
21 Maranhão;2001;8021;325;165;47;1237;0
22 Piauí;2001;749;7;5;5;69;0
23 Ceará;2001;2413;8;6;0;99;0
24 Rio Grande do Norte;2001;171;0;0;0;2;0
25 Paraíba;2001;1359;387;97;29;236;0
26 Pernambuco;2001;3807;66;10;3;223;0
27 Alagoas;2001;445;74;52;0;161;0
28 Sergipe;2001;60;210;84;6;500;10
29 Bahia;2001;4168;33;40;0;122;0
31 Minas Gerais;2001;6743;1610;504;35;1225;19
32 Espírito Santo;2001;2952;858;219;5;872;5
33 Rio de Janeiro;2001;2972;256;114;15;174;4
35 São Paulo;2001;3329;1267;117;7;324;6
41 Paraná;2001;3101;582;18;0;72;0
42 Santa Catarina;2001;109;104;2;0;6;0
43 Rio Grande do Sul;2001;134;186;11;5;9;0
50 Mato Grosso do Sul;2001;325;116;45;0;38;0
51 Mato Grosso;2001;2375;1181;318;67;1206;2
52 Goiás;2001;5513;47;5;0;24;0
53 Distrito Federal;2001;1771;32;0;0;0;0
11 Rondônia;2002;199;1717;401;65;1364;0
12 Acre;2002;54;311;71;45;1318;0
13 Amazonas;2002;1276;22;13;0;144;8
14 Roraima;2002;12;497;134;29;790;13
15 Pará;2002;2311;2222;1748;104;9036;25
16 Amapá;2002;0;150;65;94;513;0
17 Tocantins;2002;27;1323;580;86;2935;36
21 Maranhão;2002;3049;2809;2463;635;7078;23
22 Piauí;2002;608;138;97;17;490;0
23 Ceará;2002;2188;29;23;0;134;0
24 Rio Grande do Norte;2002;148;4;8;0;2;0
25 Paraíba;2002;862;444;210;28;750;0
26 Pernambuco;2002;1841;1433;547;122;2118;32
27 Alagoas;2002;65;342;139;6;887;0
28 Sergipe;2002;166;390;183;25;628;0
29 Bahia;2002;3681;822;622;35;2040;10
31 Minas Gerais;2002;1667;5470;1841;155;3573;29
32 Espírito Santo;2002;778;2267;903;72;2774;14
33 Rio de Janeiro;2002;1846;1941;900;25;1155;7
35 São Paulo;2002;1071;5493;633;84;1439;7
41 Paraná;2002;2847;949;59;9;124;4
42 Santa Catarina;2002;16;646;22;0;10;0
43 Rio Grande do Sul;2002;10;571;9;16;48;0
50 Mato Grosso do Sul;2002;219;677;106;40;362;13
51 Mato Grosso;2002;254;4777;1603;197;4830;18
52 Goiás;2002;7025;147;18;1;113;0
53 Distrito Federal;2002;434;505;174;48;522;5
11 Rondônia;2003;65;2175;538;50;1554;4
12 Acre;2003;34;269;58;39;1406;2
13 Amazonas;2003;293;626;215;72;3163;47
14 Roraima;2003;13;369;185;3;851;14
15 Pará;2003;705;4298;3629;322;17122;52
16 Amapá;2003;6;195;52;154;745;0
17 Tocantins;2003;12;982;744;88;3301;50
21 Maranhão;2003;360;4383;3804;663;12065;120
22 Piauí;2003;375;1078;946;218;3624;7
23 Ceará;2003;2601;1952;879;138;3243;9
24 Rio Grande do Norte;2003;56;195;54;14;316;0
25 Paraíba;2003;463;755;221;48;1399;0
26 Pernambuco;2003;1496;2714;1269;175;4905;38
27 Alagoas;2003;200;386;221;48;1382;0
28 Sergipe;2003;163;496;267;42;1030;36
29 Bahia;2003;771;2531;2381;122;7010;10
31 Minas Gerais;2003;1249;5191;1821;159;4031;17
32 Espírito Santo;2003;330;2657;1196;162;3121;4
33 Rio de Janeiro;2003;1818;4247;1865;103;2872;47
35 São Paulo;2003;642;6342;773;109;1902;10
41 Paraná;2003;244;4080;298;33;706;1
42 Santa Catarina;2003;0;701;12;2;36;4
43 Rio Grande do Sul;2003;7;505;16;4;81;1
50 Mato Grosso do Sul;2003;116;981;153;72;653;15
51 Mato Grosso;2003;213;5478;2048;216;5068;24
52 Goiás;2003;884;5304;1139;353;3789;15
53 Distrito Federal;2003;167;590;226;31;670;4
11 Rondônia;2004;69;1936;647;71;1743;0
12 Acre;2004;19;209;19;19;1290;0
13 Amazonas;2004;330;735;280;107;3586;87
14 Roraima;2004;21;273;193;23;894;25
15 Pará;2004;477;4687;3793;367;17846;90
16 Amapá;2004;143;114;33;84;519;1
17 Tocantins;2004;3;1140;923;97;3448;6
21 Maranhão;2004;362;4354;4222;662;12138;66
22 Piauí;2004;127;1173;1243;104;4235;0
23 Ceará;2004;1770;2310;924;159;4718;6
24 Rio Grande do Norte;2004;34;421;144;9;585;15
25 Paraíba;2004;299;1005;358;74;1604;0
26 Pernambuco;2004;1273;2351;1387;424;5200;6
27 Alagoas;2004;199;424;185;26;1047;0
28 Sergipe;2004;169;571;302;41;1098;20
29 Bahia;2004;975;2742;2451;79;7735;73
31 Minas Gerais;2004;689;4673;1832;222;4053;29
32 Espírito Santo;2004;227;2180;1062;213;2683;0
33 Rio de Janeiro;2004;1019;4270;2126;96;2970;15
35 São Paulo;2004;405;6143;685;67;2033;11
41 Paraná;2004;168;4544;341;75;977;4
42 Santa Catarina;2004;0;845;54;0;50;0
43 Rio Grande do Sul;2004;38;578;52;9;95;2
50 Mato Grosso do Sul;2004;56;1041;174;33;523;17
51 Mato Grosso;2004;161;4658;1785;160;4497;88
52 Goiás;2004;586;4992;1288;402;4280;22
53 Distrito Federal;2004;106;459;304;57;647;0
11 Rondônia;2005;43;1696;436;31;1901;11
12 Acre;2005;82;162;40;3;1293;0
13 Amazonas;2005;262;550;370;86;3361;73
14 Roraima;2005;6;223;111;0;811;29
15 Pará;2005;465;4066;3388;301;16976;54
16 Amapá;2005;83;72;55;30;584;6
17 Tocantins;2005;16;1041;791;63;3574;16
21 Maranhão;2005;367;4482;3975;572;14353;79
22 Piauí;2005;192;1142;1296;131;4936;10
23 Ceará;2005;783;2610;1259;111;5619;28
24 Rio Grande do Norte;2005;153;626;231;0;859;0
25 Paraíba;2005;328;1188;429;96;1743;18
26 Pernambuco;2005;1415;2751;1677;204;6006;5
27 Alagoas;2005;207;439;179;46;857;9
28 Sergipe;2005;177;720;286;44;1594;47
29 Bahia;2005;1104;2234;2219;108;7569;55
31 Minas Gerais;2005;722;4314;1758;172;3853;12
32 Espírito Santo;2005;255;2109;946;332;2858;0
33 Rio de Janeiro;2005;840;3858;1820;131;2576;0
35 São Paulo;2005;349;5942;822;45;2261;17
41 Paraná;2005;137;4098;415;52;795;12
42 Santa Catarina;2005;5;747;34;0;65;5
43 Rio Grande do Sul;2005;31;743;65;0;70;7
50 Mato Grosso do Sul;2005;86;922;132;10;580;22
51 Mato Grosso;2005;227;4400;1886;184;5822;31
52 Goiás;2005;1024;4677;1150;415;4378;28
53 Distrito Federal;2005;157;462;261;32;607;11
11 Rondônia;2006;34;1844;418;23;1953;19
12 Acre;2006;36;202;24;24;2357;0
13 Amazonas;2006;193;330;258;68;3069;87
14 Roraima;2006;26;282;144;16;783;19
15 Pará;2006;480;3139;2835;292;15542;89
16 Amapá;2006;145;102;52;0;625;0
17 Tocantins;2006;22;1254;927;108;4086;22
21 Maranhão;2006;300;4102;3767;358;12402;54
22 Piauí;2006;152;941;1117;144;4543;9
23 Ceará;2006;661;2257;1121;97;6147;18
24 Rio Grande do Norte;2006;98;362;137;39;576;3
25 Paraíba;2006;278;1155;346;89;1762;1
26 Pernambuco;2006;1474;3042;1812;207;7355;26
27 Alagoas;2006;113;307;173;11;1115;0
28 Sergipe;2006;72;656;365;12;1385;39
29 Bahia;2006;574;2162;2330;104;6303;37
31 Minas Gerais;2006;567;3885;1413;167;3517;29
32 Espírito Santo;2006;183;1738;810;232;2189;15
33 Rio de Janeiro;2006;764;3625;2011;85;2691;7
35 São Paulo;2006;253;4835;641;50;2031;13
41 Paraná;2006;86;4690;285;68;851;4
42 Santa Catarina;2006;0;717;10;34;57;2
43 Rio Grande do Sul;2006;1;728;30;0;41;0
50 Mato Grosso do Sul;2006;137;1010;111;25;673;22
51 Mato Grosso;2006;134;4251;1721;115;5656;31
52 Goiás;2006;372;4498;1214;198;4954;10
53 Distrito Federal;2006;94;488;163;43;551;3
11 Rondônia;2007;30;1485;354;11;1846;0
12 Acre;2007;8;133;38;0;1183;0
13 Amazonas;2007;143;489;299;44;2298;58
14 Roraima;2007;19;184;149;17;594;29
15 Pará;2007;452;3425;3255;346;12737;63
16 Amapá;2007;203;68;41;11;385;0
17 Tocantins;2007;14;1266;1106;109;3004;30
21 Maranhão;2007;254;3643;3436;312;10489;82
22 Piauí;2007;59;887;940;120;4152;51
23 Ceará;2007;1120;2217;921;168;5524;59
24 Rio Grande do Norte;2007;173;444;121;15;775;7
25 Paraíba;2007;219;929;299;81;1624;0
26 Pernambuco;2007;1334;2891;1830;307;6942;34
27 Alagoas;2007;25;269;235;22;1078;2
28 Sergipe;2007;57;664;343;30;1195;13
29 Bahia;2007;386;2245;2097;117;6887;60
31 Minas Gerais;2007;452;3244;1291;101;3154;0
32 Espírito Santo;2007;75;1854;753;95;2190;23
33 Rio de Janeiro;2007;672;3434;1557;138;2375;34
35 São Paulo;2007;261;4799;654;29;2347;11
41 Paraná;2007;51;3565;367;34;841;13
42 Santa Catarina;2007;12;784;10;0;68;0
43 Rio Grande do Sul;2007;5;523;21;2;55;0
50 Mato Grosso do Sul;2007;36;1084;260;37;842;15
51 Mato Grosso;2007;114;3938;1552;94;4837;125
52 Goiás;2007;299;3644;1059;189;4181;105
53 Distrito Federal;2007;105;322;207;37;619;0
11 Rondônia;2008;58;1363;344;18;1729;8
12 Acre;2008;12;84;50;3;1362;11
13 Amazonas;2008;68;446;216;90;2581;126
14 Roraima;2008;27;276;92;17;487;41
15 Pará;2008;515;4753;3352;332;13293;88
16 Amapá;2008;23;141;78;4;840;0
17 Tocantins;2008;19;1334;1184;49;3452;42
21 Maranhão;2008;269;3621;3540;307;11264;163
22 Piauí;2008;127;1337;1409;124;5587;57
23 Ceará;2008;1505;2608;932;186;5796;40
24 Rio Grande do Norte;2008;79;334;61;9;681;2
25 Paraíba;2008;172;935;297;26;1545;16
26 Pernambuco;2008;1359;2848;1440;193;6512;29
27 Alagoas;2008;60;391;245;18;952;12
28 Sergipe;2008;24;583;284;30;1308;30
29 Bahia;2008;560;2393;2595;125;6712;107
31 Minas Gerais;2008;425;2892;1212;106;2945;13
32 Espírito Santo;2008;46;1774;699;44;2262;10
33 Rio de Janeiro;2008;549;3608;1564;64;2397;1
35 São Paulo;2008;258;5193;745;57;2399;2
41 Paraná;2008;41;3289;364;47;866;17
42 Santa Catarina;2008;0;764;69;0;58;0
43 Rio Grande do Sul;2008;4;478;45;2;66;0
50 Mato Grosso do Sul;2008;117;1076;252;34;870;26
51 Mato Grosso;2008;40;3669;1286;74;4630;54
52 Goiás;2008;384;3143;1144;254;4668;75
53 Distrito Federal;2008;70;458;168;16;443;14
11 Rondônia;2009;66;1317;369;22;1751;4
12 Acre;2009;0;140;6;12;1044;18
13 Amazonas;2009;57;361;312;30;2712;51
14 Roraima;2009;19;211;101;9;438;3
15 Pará;2009;410;3447;2999;216;12864;110
16 Amapá;2009;19;118;58;0;872;0
17 Tocantins;2009;2;828;962;56;2941;31
21 Maranhão;2009;277;3343;3397;184;10503;72
22 Piauí;2009;56;770;938;109;4424;48
23 Ceará;2009;1238;2205;883;166;5374;23
24 Rio Grande do Norte;2009;103;477;176;11;537;0
25 Paraíba;2009;61;779;361;17;1658;16
26 Pernambuco;2009;1310;2527;1753;232;7515;44
27 Alagoas;2009;66;373;274;6;1151;13
28 Sergipe;2009;48;394;327;42;1491;36
29 Bahia;2009;543;2085;2567;153;6754;97
31 Minas Gerais;2009;976;3032;1422;124;3456;26
32 Espírito Santo;2009;34;1620;680;55;2214;0
33 Rio de Janeiro;2009;367;3729;1714;50;2249;5
35 São Paulo;2009;255;5301;768;39;2175;19
41 Paraná;2009;56;2862;217;26;808;4
42 Santa Catarina;2009;3;683;24;10;55;0
43 Rio Grande do Sul;2009;5;487;77;0;66;3
50 Mato Grosso do Sul;2009;33;1088;280;89;1136;12
51 Mato Grosso;2009;71;3119;1607;123;4918;23
52 Goiás;2009;399;3405;1256;200;4715;35
53 Distrito Federal;2009;110;295;180;19;546;4
11 Rondônia;2010;46;1017;337;28;1598;0
12 Acre;2010;3;80;18;3;1009;8
13 Amazonas;2010;50;331;302;38;2759;26
