UF de notificação;Ano;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena
11 Rondônia;2001;1276;4;0;2;7;0
12 Acre;2001;320;20;3;1;111;0
13 Amazonas;2001;1420;2;4;1;32;1
14 Roraima;2001;13;110;49;4;172;6
15 Pará;2001;5058;129;64;7;560;2
16 Amapá;2001;12;13;2;3;124;0
17 Tocantins;2001;173;267;136;14;712;0
21 Maranhão;2001;4409;105;55;15;509;0
22 Piauí;2001;1879;4;2;2;82;0
23 Ceará;2001;2913;3;2;0;38;1
24 Rio Grande do Norte;2001;248;0;1;0;4;0
25 Paraíba;2001;653;125;26;14;74;0
26 Pernambuco;2001;3348;21;6;2;68;1
27 Alagoas;2001;305;15;13;0;48;0
28 Sergipe;2001;75;60;27;2;157;6
29 Bahia;2001;2409;14;10;0;60;0
31 Minas Gerais;2001;2008;518;135;12;321;5
32 Espírito Santo;2001;1043;237;58;4;242;1
33 Rio de Janeiro;2001;2983;105;36;1;117;1
35 São Paulo;2001;2893;473;34;3;134;1
41 Paraná;2001;1470;276;8;0;31;0
42 Santa Catarina;2001;136;58;2;0;1;0
43 Rio Grande do Sul;2001;128;92;4;1;6;0
50 Mato Grosso do Sul;2001;518;50;18;0;32;0
51 Mato Grosso;2001;2833;482;115;21;528;2
52 Goiás;2001;3310;20;2;0;17;0
53 Distrito Federal;2001;492;9;0;0;0;0
11 Rondônia;2002;88;631;150;26;475;0
12 Acre;2002;11;83;23;9;295;0
13 Amazonas;2002;1453;5;4;0;95;2
14 Roraima;2002;2;122;36;7;203;3
15 Pará;2002;2884;632;448;28;2713;9
16 Amapá;2002;0;47;19;23;129;0
17 Tocantins;2002;8;349;149;25;847;6
21 Maranhão;2002;1697;818;743;195;2050;10
22 Piauí;2002;1563;37;30;8;214;0
23 Ceará;2002;2710;17;8;1;54;0
24 Rio Grande do Norte;2002;266;1;2;0;3;0
25 Paraíba;2002;540;143;58;8;225;0
26 Pernambuco;2002;2069;516;199;63;869;8
27 Alagoas;2002;49;90;44;3;254;0
28 Sergipe;2002;92;129;57;7;214;1
29 Bahia;2002;1677;254;172;11;592;1
31 Minas Gerais;2002;517;1665;485;47;991;8
32 Espírito Santo;2002;241;616;221;19;719;3
33 Rio de Janeiro;2002;2418;668;264;9;398;3
35 São Paulo;2002;710;2034;194;34;491;1
41 Paraná;2002;1452;451;21;7;46;1
42 Santa Catarina;2002;17;228;9;0;5;0
43 Rio Grande do Sul;2002;11;252;7;3;18;0
50 Mato Grosso do Sul;2002;205;261;39;16;165;5
51 Mato Grosso;2002;148;1645;539;72;1609;4
52 Goiás;2002;3671;48;4;2;47;0
53 Distrito Federal;2002;130;172;62;16;155;2
11 Rondônia;2003;38;760;198;19;535;1
12 Acre;2003;7;64;19;10;377;1
13 Amazonas;2003;179;184;64;14;852;12
14 Roraima;2003;4;102;40;1;222;4
15 Pará;2003;310;1264;938;86;4488;17
16 Amapá;2003;2;57;16;27;171;0
17 Tocantins;2003;7;314;204;24;954;11
21 Maranhão;2003;125;1186;1045;195;3192;30
22 Piauí;2003;372;316;278;66;1052;3
23 Ceará;2003;1326;604;244;41;1003;3
24 Rio Grande do Norte;2003;92;62;19;5;102;0
25 Paraíba;2003;293;205;84;12;431;0
26 Pernambuco;2003;884;999;425;102;1773;7
27 Alagoas;2003;52;120;63;12;354;0
28 Sergipe;2003;81;185;65;11;312;15
29 Bahia;2003;239;749;620;28;1980;6
31 Minas Gerais;2003;396;1557;529;57;1128;6
32 Espírito Santo;2003;84;707;297;40;807;2
33 Rio de Janeiro;2003;665;1288;545;31;846;12
35 São Paulo;2003;302;2336;256;40;658;2
41 Paraná;2003;106;1562;111;22;255;1
42 Santa Catarina;2003;1;271;6;1;16;1
43 Rio Grande do Sul;2003;7;222;7;3;23;1
50 Mato Grosso do Sul;2003;47;380;60;24;285;4
51 Mato Grosso;2003;76;1854;674;86;1662;6
52 Goiás;2003;299;1863;376;127;1269;5
11 Rondônia;2004;28;675;191;26;583;0
12 Acre;2004;5;53;6;4;306;0
13 Amazonas;2004;101;202;83;27;816;21
14 Roraima;2004;4;85;44;4;201;4
15 Pará;2004;150;1239;936;93;4490;14
16 Amapá;2004;39;33;13;20;126;2
17 Tocantins;2004;1;350;246;27;908;2
21 Maranhão;2004;145;1223;1235;219;3189;20
22 Piauí;2004;40;324;349;34;1222;1
23 Ceará;2004;691;673;279;47;1384;2
24 Rio Grande do Norte;2004;17;134;47;5;161;2
25 Paraíba;2004;99;315;105;19;470;0
26 Pernambuco;2004;593;910;479;142;1803;5
27 Alagoas;2004;64;113;50;5;272;0
28 Sergipe;2004;59;185;83;13;312;10
29 Bahia;2004;316;941;665;29;2385;19
31 Minas Gerais;2004;225;1445;483;66;1197;10
32 Espírito Santo;2004;58;595;265;46;750;0
33 Rio de Janeiro;2004;365;1373;612;30;912;2
35 São Paulo;2004;187;2142;263;18;654;3
41 Paraná;2004;53;1592;114;28;316;2
42 Santa Catarina;2004;1;271;14;0;14;0
43 Rio Grande do Sul;2004;7;223;15;2;21;1
50 Mato Grosso do Sul;2004;37;410;62;14;263;4
51 Mato Grosso;2004;66;1614;599;63;1580;14
52 Goiás;2004;206;1728;393;163;1423;7
53 Distrito Federal;2004;35;165;69;17;171;0
11 Rondônia;2005;16;592;147;8;670;4
12 Acre;2005;17;42;7;1;336;0
13 Amazonas;2005;71;154;104;15;779;16
14 Roraima;2005;2;64;28;0;213;8
15 Pará;2005;136;1022;812;83;4289;10
16 Amapá;2005;19;16;13;6;155;2
17 Tocantins;2005;4;286;225;20;947;3
21 Maranhão;2005;113;1255;1083;174;3846;26
22 Piauí;2005;56;335;359;40;1284;4
23 Ceará;2005;420;701;322;37;1628;1
24 Rio Grande do Norte;2005;42;171;54;1;270;0
25 Paraíba;2005;100;365;128;30;506;2
26 Pernambuco;2005;512;904;471;83;1899;2
27 Alagoas;2005;75;123;50;9;260;1
28 Sergipe;2005;50;203;79;13;408;17
29 Bahia;2005;393;753;625;29;2291;18
31 Minas Gerais;2005;209;1330;493;62;1171;3
32 Espírito Santo;2005;54;572;227;75;719;0
33 Rio de Janeiro;2005;320;1244;569;39;856;1
35 São Paulo;2005;145;2026;227;20;749;4
41 Paraná;2005;44;1432;138;25;267;6
42 Santa Catarina;2005;1;250;10;0;20;1
43 Rio Grande do Sul;2005;11;230;14;1;19;2
50 Mato Grosso do Sul;2005;51;352;42;6;244;5
51 Mato Grosso;2005;73;1559;598;63;1887;8
