UF de notificação;Ano;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena
11 Rondônia;2001;18;3;0;2;11;0
12 Acre;2001;523;132;15;3;545;0
13 Amazonas;2001;2;2;7;0;5;0
14 Roraima;2001;25;491;298;10;880;35
15 Pará;2001;868;662;343;40;2465;7
16 Amapá;2001;26;139;10;0;611;0
17 Tocantins;2001;48;969;540;33;2927;0
21 Maranhão;2001;527;342;193;60;850;0
22 Piauí;2001;224;14;19;4;380;0
23 Ceará;2001;142;2;18;0;93;0
24 Rio Grande do Norte;2001;0;0;5;0;2;0
25 Paraíba;2001;181;292;80;41;269;0
26 Pernambuco;2001;427;60;29;5;161;0
27 Alagoas;2001;52;49;33;0;118;0
28 Sergipe;2001;100;184;81;9;532;35
29 Bahia;2001;267;27;37;0;98;0
31 Minas Gerais;2001;11640;3252;793;26;1876;42
32 Espírito Santo;2001;157;501;197;19;637;8
33 Rio de Janeiro;2001;249;469;165;0;316;0
35 São Paulo;2001;794;1129;89;12;319;0
41 Paraná;2001;477;641;4;0;69;0
42 Santa Catarina;2001;71;249;0;0;12;0
43 Rio Grande do Sul;2001;154;537;7;4;30;0
50 Mato Grosso do Sul;2001;210;106;79;0;60;0
51 Mato Grosso;2001;440;1064;337;61;950;0
52 Goiás;2001;42;60;15;0;13;0
11 Rondônia;2002;218;1753;349;88;1365;0
12 Acre;2002;76;413;118;54;1657;0
13 Amazonas;2002;23;25;1;0;212;20
14 Roraima;2002;14;739;215;19;1276;8
15 Pará;2002;611;2260;1445;105;8587;19
16 Amapá;2002;0;233;91;153;672;0
17 Tocantins;2002;13;1228;605;54;3509;11
21 Maranhão;2002;1362;2734;2507;553;7291;39
22 Piauí;2002;138;179;104;25;942;0
23 Ceará;2002;413;35;52;1;127;0
24 Rio Grande do Norte;2002;0;0;2;0;7;0
25 Paraíba;2002;228;418;181;49;924;0
26 Pernambuco;2002;1274;1759;809;221;3207;76
27 Alagoas;2002;65;348;112;7;870;0
28 Sergipe;2002;476;545;230;12;744;15
29 Bahia;2002;548;1009;663;58;2344;5
31 Minas Gerais;2002;2967;9125;2574;194;5284;51
32 Espírito Santo;2002;359;1831;774;33;2001;2
33 Rio de Janeiro;2002;1355;2915;1230;48;1911;13
35 São Paulo;2002;1207;8038;870;212;2044;1
41 Paraná;2002;1443;1370;72;0;170;0
42 Santa Catarina;2002;10;1655;102;0;20;0
43 Rio Grande do Sul;2002;43;2114;63;9;125;0
50 Mato Grosso do Sul;2002;228;808;86;37;292;11
51 Mato Grosso;2002;254;5088;1658;219;4624;11
52 Goiás;2002;113;172;18;4;144;0
53 Distrito Federal;2002;162;633;258;34;579;3
11 Rondônia;2003;164;2200;633;49;1635;1
12 Acre;2003;38;491;126;93;2218;1
13 Amazonas;2003;211;658;295;84;3227;19
14 Roraima;2003;8;728;186;8;1468;31
15 Pará;2003;613;4322;3419;359;15464;33
16 Amapá;2003;2;325;84;207;1270;0
17 Tocantins;2003;35;1505;868;101;3838;32
21 Maranhão;2003;446;4646;3533;645;12305;222
22 Piauí;2003;198;1145;1115;267;4028;2
23 Ceará;2003;3279;2720;899;160;3937;9
24 Rio Grande do Norte;2003;38;94;110;10;256;0
25 Paraíba;2003;100;862;338;43;1566;0
26 Pernambuco;2003;2235;3105;1527;284;6145;26
27 Alagoas;2003;265;455;293;57;1260;0
28 Sergipe;2003;356;717;254;28;1308;74
29 Bahia;2003;888;2779;2194;76;6773;4
31 Minas Gerais;2003;2248;8488;3053;323;6179;16
32 Espírito Santo;2003;201;2318;833;111;2523;3
33 Rio de Janeiro;2003;3179;6657;2649;147;4208;16
35 São Paulo;2003;895;10895;1139;254;3115;18
41 Paraná;2003;214;9800;668;102;1804;10
42 Santa Catarina;2003;0;1865;48;10;71;0
43 Rio Grande do Sul;2003;57;1922;16;31;199;3
50 Mato Grosso do Sul;2003;112;1491;252;113;1053;4
51 Mato Grosso;2003;211;5526;2295;270;5220;29
52 Goiás;2003;1213;9657;1608;652;5291;40
53 Distrito Federal;2003;212;1077;323;34;839;12
11 Rondônia;2004;113;2056;595;71;1585;0
12 Acre;2004;40;402;16;7;2219;0
13 Amazonas;2004;378;776;324;155;3195;82
14 Roraima;2004;22;809;304;77;1224;32
15 Pará;2004;572;4643;3689;313;16146;34
16 Amapá;2004;359;181;52;132;845;21
17 Tocantins;2004;1;1266;940;87;4366;14
21 Maranhão;2004;430;4147;4368;712;12790;75
22 Piauí;2004;122;1272;1723;153;5002;5
23 Ceará;2004;2691;3386;1152;196;6645;3
24 Rio Grande do Norte;2004;27;419;128;19;394;4
25 Paraíba;2004;203;1202;409;75;2221;0
26 Pernambuco;2004;2112;3142;1968;329;6136;26
27 Alagoas;2004;308;456;230;11;1257;0
28 Sergipe;2004;368;995;485;38;1605;61
29 Bahia;2004;1521;3006;2455;73;8094;64
31 Minas Gerais;2004;1038;7732;2565;414;5945;33
32 Espírito Santo;2004;170;1991;922;145;2300;0
33 Rio de Janeiro;2004;1732;7742;3292;95;5332;15
35 São Paulo;2004;983;10578;1521;79;3564;21
41 Paraná;2004;406;11931;790;180;2668;7
42 Santa Catarina;2004;0;1628;80;0;134;0
43 Rio Grande do Sul;2004;49;1867;166;21;178;10
50 Mato Grosso do Sul;2004;130;1626;230;50;932;9
51 Mato Grosso;2004;191;5005;1935;227;5175;54
52 Goiás;2004;926;8996;1993;1039;7307;33
53 Distrito Federal;2004;190;854;370;73;828;0
11 Rondônia;2005;69;1839;557;43;2079;12
12 Acre;2005;179;312;44;0;2335;0
13 Amazonas;2005;298;591;426;34;3004;70
14 Roraima;2005;4;412;182;0;1360;61
15 Pará;2005;525;4031;3622;344;16500;72
16 Amapá;2005;204;99;61;55;833;1
17 Tocantins;2005;16;1118;1028;64;3957;12
21 Maranhão;2005;492;4687;4371;643;14968;81
22 Piauí;2005;315;1442;1590;123;5700;16
23 Ceará;2005;2305;3548;1538;127;8556;3
24 Rio Grande do Norte;2005;113;545;144;1;738;0
25 Paraíba;2005;273;1210;637;96;2105;2
26 Pernambuco;2005;1732;3496;1856;179;7063;7
27 Alagoas;2005;350;631;272;52;1298;1
28 Sergipe;2005;296;915;387;74;1773;103
29 Bahia;2005;1638;3143;2736;125;9386;29
31 Minas Gerais;2005;1105;7614;2408;446;6298;13
32 Espírito Santo;2005;235;2105;710;205;2543;0
33 Rio de Janeiro;2005;1706;6909;3273;180;5559;2
35 São Paulo;2005;616;10653;1438;116;4201;22
41 Paraná;2005;269;10124;972;106;2426;16
42 Santa Catarina;2005;3;1933;56;0;180;2
43 Rio Grande do Sul;2005;136;2267;124;10;151;21
50 Mato Grosso do Sul;2005;180;1391;223;23;784;22
51 Mato Grosso;2005;201;4808;2025;209;6185;38
52 Goiás;2005;1792;9062;2013;606;7597;31
53 Distrito Federal;2005;158;732;322;26;902;16
11 Rondônia;2006;60;2258;561;16;2098;4
12 Acre;2006;33;249;31;10;2682;0
13 Amazonas;2006;184;436;224;93;2918;40
14 Roraima;2006;22;515;154;36;1142;69
15 Pará;2006;503;3440;3262;327;15874;103
16 Amapá;2006;113;97;47;1;618;0
17 Tocantins;2006;26;1467;906;134;4319;42
21 Maranhão;2006;359;4916;4826;343;14893;22
22 Piauí;2006;161;1389;1409;157;5890;3
23 Ceará;2006;1179;3824;1388;176;10418;56
24 Rio Grande do Norte;2006;71;428;163;44;662;18
25 Paraíba;2006;406;1437;458;117;2323;6
26 Pernambuco;2006;1527;3570;2092;166;8376;61
27 Alagoas;2006;238;489;265;1;1624;0
28 Sergipe;2006;123;799;387;23;1720;68
29 Bahia;2006;963;3560;3311;152;8901;62
31 Minas Gerais;2006;1048;6816;2112;322;5557;33
32 Espírito Santo;2006;102;1787;721;150;2103;8
33 Rio de Janeiro;2006;1482;7172;4018;119;5415;21
35 São Paulo;2006;544;10198;1193;98;3721;3
41 Paraná;2006;191;11105;792;163;3169;17
42 Santa Catarina;2006;0;1576;62;5;91;0
43 Rio Grande do Sul;2006;18;1841;102;0;136;0
50 Mato Grosso do Sul;2006;153;1492;218;27;1020;40
51 Mato Grosso;2006;189;5260;1895;119;5176;26
52 Goiás;2006;490;8286;1937;327;8550;25
53 Distrito Federal;2006;140;772;246;90;925;2
11 Rondônia;2007;17;1995;478;9;2177;0
12 Acre;2007;5;241;72;0;1752;1
13 Amazonas;2007;182;565;244;61;2419;43
14 Roraima;2007;16;474;198;7;1164;55
15 Pará;2007;545;4534;3705;434;14927;61
16 Amapá;2007;200;96;53;5;711;0
17 Tocantins;2007;26;1512;1211;80;3345;78
21 Maranhão;2007;349;4924;5122;396;14873;87
22 Piauí;2007;87;1084;1323;205;5885;51
23 Ceará;2007;3237;3806;1127;195;9446;81
24 Rio Grande do Norte;2007;258;633;169;12;968;0
25 Paraíba;2007;363;1363;486;72;2250;0
26 Pernambuco;2007;1949;4130;2535;241;10068;7
27 Alagoas;2007;34;503;436;24;1623;5
28 Sergipe;2007;62;939;465;41;1853;28
29 Bahia;2007;482;3524;3502;172;9111;106
31 Minas Gerais;2007;1005;6736;2520;211;5988;15
32 Espírito Santo;2007;45;2101;743;52;2200;28
33 Rio de Janeiro;2007;1896;7500;2744;225;4840;53
35 São Paulo;2007;556;10551;1376;40;4461;8
41 Paraná;2007;223;10495;910;57;2152;4
42 Santa Catarina;2007;13;2287;51;0;173;0
43 Rio Grande do Sul;2007;31;1984;44;0;156;0
50 Mato Grosso do Sul;2007;67;1711;395;30;1086;9
51 Mato Grosso;2007;201;5445;2148;72;5675;116
52 Goiás;2007;610;8401;1781;255;8268;138
53 Distrito Federal;2007;116;539;385;86;1115;1
11 Rondônia;2008;134;1762;413;10;2025;17
12 Acre;2008;32;126;43;8;2151;6
13 Amazonas;2008;99;737;418;163;3204;151
14 Roraima;2008;27;695;186;13;945;60
15 Pará;2008;544;5779;4162;356;14342;101
16 Amapá;2008;18;517;198;4;2361;0
17 Tocantins;2008;44;1702;1527;79;4171;36
21 Maranhão;2008;554;5545;5839;412;15814;197
22 Piauí;2008;96;1520;1979;174;6569;72
23 Ceará;2008;4575;4763;1426;199;10594;143
24 Rio Grande do Norte;2008;102;719;173;8;978;1
25 Paraíba;2008;267;1458;423;18;2225;23
26 Pernambuco;2008;2167;4955;2230;272;9734;16
27 Alagoas;2008;97;820;606;10;1882;6
28 Sergipe;2008;94;903;528;29;1996;71
29 Bahia;2008;1054;3900;4080;203;10373;173
31 Minas Gerais;2008;644;7009;2577;164;5848;63
32 Espírito Santo;2008;131;2076;857;54;2243;4
33 Rio de Janeiro;2008;1242;8246;3394;111;5733;11
35 São Paulo;2008;504;13273;1612;200;5453;18
41 Paraná;2008;229;11688;987;46;2821;41
42 Santa Catarina;2008;0;3148;69;0;421;0
43 Rio Grande do Sul;2008;30;2143;67;14;162;0
50 Mato Grosso do Sul;2008;62;2030;476;43;1552;38
51 Mato Grosso;2008;84;5445;2001;110;6934;59
52 Goiás;2008;755;7356;2257;438;8892;141
53 Distrito Federal;2008;145;923;469;22;1205;24
11 Rondônia;2009;65;1844;477;14;2399;10
12 Acre;2009;0;324;22;11;1718;15
13 Amazonas;2009;36;572;532;54;3776;30
14 Roraima;2009;68;760;220;12;806;1
15 Pará;2009;486;4243;3928;327;14675;137
16 Amapá;2009;24;387;190;0;2237;0
17 Tocantins;2009;6;1386;1616;102;4120;35
21 Maranhão;2009;484;4850;4964;221;15223;113
22 Piauí;2009;42;1326;1633;105;6202;74
23 Ceará;2009;3586;4910;1305;436;9316;40
24 Rio Grande do Norte;2009;70;604;155;13;659;0
25 Paraíba;2009;89;1196;507;48;2940;50
26 Pernambuco;2009;2377;4265;2608;328;10841;37
27 Alagoas;2009;77;665;292;2;1577;12
28 Sergipe;2009;43;654;442;29;2385;25
29 Bahia;2009;1045;3453;3917;213;10418;42
31 Minas Gerais;2009;510;5801;1995;177;5893;27
32 Espírito Santo;2009;35;2563;1014;34;2387;0
33 Rio de Janeiro;2009;907;7687;3672;105;5100;3
35 São Paulo;2009;587;10794;1670;116;4801;9
41 Paraná;2009;236;11463;746;71;2645;1
42 Santa Catarina;2009;10;2058;179;1;279;0
43 Rio Grande do Sul;2009;21;1844;98;0;176;0
50 Mato Grosso do Sul;2009;62;1644;537;44;1707;29
51 Mato Grosso;2009;105;4310;2614;145;6477;55
52 Goiás;2009;738;7152;2178;440;9376;110
53 Distrito Federal;2009;256;726;362;30;826;1
11 Rondônia;2010;27;1343;507;55;2047;0
12 Acre;2010;1;123;57;15;1670;39
13 Amazonas;2010;112;430;414;67;3377;31
14 Roraima;2010;2;674;28;3;894;1
15 Pará;2010;534;3315;3301;145;14788;258
16 Amapá;2010;119;180;44;0;2438;0
17 Tocantins;2010;31;1135;1427;194;4256;17
21 Maranhão;2010;770;4923;4588;262;16893;53
22 Piauí;2010;74;1577;1859;177;7167;10
23 Ceará;2010;6517;2248;1138;150;6933;14
24 Rio Grande do Norte;2010;3;685;246;25;763;0
25 Paraíba;2010;61;1126;563;20;2336;9
26 Pernambuco;2010;2354;3400;2681;273;10602;28
27 Alagoas;2010;96;482;424;27;1657;5
28 Sergipe;2010;31;538;387;6;2199;9
29 Bahia;2010;778;3245;3567;323;11304;134
31 Minas Gerais;2010;684;6144;2090;167;5977;45
32 Espírito Santo;2010;52;1982;783;33;2500;0
33 Rio de Janeiro;2010;2079;6313;3020;76;5137;27
35 São Paulo;2010;372;10239;1138;77;4874;22
41 Paraná;2010;98;10560;963;16;2481;39
42 Santa Catarina;2010;18;2388;94;2;334;0
43 Rio Grande do Sul;2010;33;1589;42;0;124;30
50 Mato Grosso do Sul;2010;123;1642;548;32;1884;27
51 Mato Grosso;2010;69;5018;2032;89;7438;31
52 Goiás;2010;468;6535;2060;506;9447;39
53 Distrito Federal;2010;268;518;262;50;825;11
11 Rondônia;2011;105;1546;454;14;1936;8
12 Acre;2011;30;114;81;0;1782;0
13 Amazonas;2011;39;358;429;101;3587;56
14 Roraima;2011;33;292;251;8;772;0
15 Pará;2011;539;3742;4059;257;16450;202
16 Amapá;2011;21;181;174;10;1626;0
17 Tocantins;2011;55;1514;1603;93;4201;47
21 Maranhão;2011;673;4721;4398;268;16356;211
22 Piauí;2011;96;1376;1501;134;6022;114
23 Ceará;2011;6400;2033;1026;109;6277;26
24 Rio Grande do Norte;2011;28;280;211;60;663;0
25 Paraíba;2011;122;1097;757;68;2966;81
26 Pernambuco;2011;2012;4197;2475;217;9650;57
27 Alagoas;2011;26;326;277;34;1766;2
28 Sergipe;2011;122;742;376;4;1853;11
29 Bahia;2011;954;4087;3686;217;12572;69
31 Minas Gerais;2011;739;5266;2242;165;5982;14
32 Espírito Santo;2011;62;1879;1093;35;2907;0
33 Rio de Janeiro;2011;1751;6855;3370;157;4952;32
35 São Paulo;2011;453;11240;1263;94;5435;47
41 Paraná;2011;312;11104;882;154;3198;15
42 Santa Catarina;2011;8;2904;68;28;330;0
43 Rio Grande do Sul;2011;12;1543;35;0;274;6
50 Mato Grosso do Sul;2011;117;2519;501;50;1708;28
51 Mato Grosso;2011;119;4934;2383;159;6693;136
52 Goiás;2011;358;5976;2292;128;9766;151
53 Distrito Federal;2011;76;588;231;26;1111;0
11 Rondônia;2012;93;1507;324;19;2361;1
12 Acre;2012;0;157;0;1;1346;1
13 Amazonas;2012;64;346;216;42;3080;215
14 Roraima;2012;6;657;74;0;739;19
15 Pará;2012;636;3672;3649;182;17636;112
16 Amapá;2012;3;68;109;0;864;0
17 Tocantins;2012;108;1217;1452;62;6149;31
21 Maranhão;2012;1054;4909;4969;174;17512;81
22 Piauí;2012;121;1226;1640;128;6721;72
23 Ceará;2012;5264;2490;994;146;6837;9
24 Rio Grande do Norte;2012;30;658;267;114;1071;0
25 Paraíba;2012;180;1179;499;77;2428;9
26 Pernambuco;2012;759;4255;2706;263;10523;105
27 Alagoas;2012;89;489;205;9;2292;50
28 Sergipe;2012;103;588;672;0;1849;5
29 Bahia;2012;1084;2918;3486;276;12605;89
31 Minas Gerais;2012;863;5173;1993;117;5436;14
32 Espírito Santo;2012;37;1525;984;18;2043;1
33 Rio de Janeiro;2012;928;5635;2484;14;5227;38
35 São Paulo;2012;536;9882;1311;63;5279;0
41 Paraná;2012;274;10921;1067;42;3137;0
42 Santa Catarina;2012;43;2417;120;65;340;0
43 Rio Grande do Sul;2012;16;1506;44;0;188;15
50 Mato Grosso do Sul;2012;427;2369;470;57;2295;20
51 Mato Grosso;2012;242;4843;2419;88;6966;69
52 Goiás;2012;746;7521;2220;87;10557;50
53 Distrito Federal;2012;112;626;242;50;873;0
11 Rondônia;2013;36;1302;298;83;1704;20
12 Acre;2013;10;57;0;35;895;0
13 Amazonas;2013;124;530;216;21;3302;92
14 Roraima;2013;167;431;107;26;615;0
15 Pará;2013;342;3224;3052;136;17202;200
16 Amapá;2013;3;83;62;7;742;0
17 Tocantins;2013;106;1247;1765;112;5831;117
21 Maranhão;2013;609;4247;4491;377;16995;79
22 Piauí;2013;150;1319;1599;47;6205;24
23 Ceará;2013;5126;2013;1203;51;8527;19
24 Rio Grande do Norte;2013;46;439;147;62;900;0
25 Paraíba;2013;175;1238;492;68;2467;1
26 Pernambuco;2013;999;3369;2507;159;10363;38
27 Alagoas;2013;20;284;399;32;1638;1
28 Sergipe;2013;146;513;239;71;1595;0
29 Bahia;2013;767;2875;2990;106;10946;66
31 Minas Gerais;2013;984;4464;1633;123;4936;0
32 Espírito Santo;2013;150;1123;870;9;1910;99
33 Rio de Janeiro;2013;716;4553;1834;23;5178;34
35 São Paulo;2013;557;8874;1494;40;5771;121
41 Paraná;2013;148;11372;814;88;3221;0
42 Santa Catarina;2013;1;1913;63;0;125;0
43 Rio Grande do Sul;2013;0;1608;68;6;227;5
50 Mato Grosso do Sul;2013;350;1634;524;15;2404;60
51 Mato Grosso;2013;281;5267;2140;203;8099;18
52 Goiás;2013;549;5278;2474;339;8954;29
53 Distrito Federal;2013;22;805;523;29;1451;3
11 Rondônia;2014;69;1330;404;43;2170;1
12 Acre;2014;2;202;15;0;1299;0
13 Amazonas;2014;141;218;173;11;3088;86
14 Roraima;2014;16;260;127;0;361;11
15 Pará;2014;309;3312;3108;82;18594;112
16 Amapá;2014;5;109;143;0;709;0
17 Tocantins;2014;161;1301;893;111;7251;23
21 Maranhão;2014;327;3633;4612;148;17470;70
22 Piauí;2014;159;1091;1509;285;8167;17
23 Ceará;2014;1294;2525;1035;143;10898;26
