UF de notificação;Ano;Ignorado;Masculino;Feminino
11 Rondônia;2001;-;2089;1438
12 Acre;2001;-;1053;680
13 Amazonas;2001;-;692;384
14 Roraima;2001;-;713;525
15 Pará;2001;-;4844;2984
16 Amapá;2001;-;393;183
17 Tocantins;2001;-;2180;1496
21 Maranhão;2001;5;5596;4194
22 Piauí;2001;5;373;457
23 Ceará;2001;6;1416;1104
24 Rio Grande do Norte;2001;-;97;76
25 Paraíba;2001;-;972;1136
26 Pernambuco;2001;4;1767;2338
27 Alagoas;2001;-;395;337
28 Sergipe;2001;-;461;409
29 Bahia;2001;-;2210;2153
31 Minas Gerais;2001;-;5370;4766
32 Espírito Santo;2001;-;2420;2491
33 Rio de Janeiro;2001;-;1620;1915
35 São Paulo;2001;-;2767;2283
41 Paraná;2001;14;2149;1610
42 Santa Catarina;2001;-;107;114
43 Rio Grande do Sul;2001;-;171;174
50 Mato Grosso do Sul;2001;-;334;190
51 Mato Grosso;2001;4;2917;2228
52 Goiás;2001;17;3080;2492
53 Distrito Federal;2001;-;968;835
11 Rondônia;2002;-;2096;1650
12 Acre;2002;-;1014;785
13 Amazonas;2002;-;850;613
14 Roraima;2002;-;831;644
15 Pará;2002;9;8946;6491
16 Amapá;2002;-;547;275
17 Tocantins;2002;-;2756;2231
21 Maranhão;2002;6;9230;6821
22 Piauí;2002;-;759;591
23 Ceará;2002;5;1252;1117
24 Rio Grande do Norte;2002;-;88;74
25 Paraíba;2002;-;1080;1214
26 Pernambuco;2002;5;2728;3360
27 Alagoas;2002;-;636;803
28 Sergipe;2002;-;707;685
29 Bahia;2002;8;3395;3807
31 Minas Gerais;2002;-;6423;6312
32 Espírito Santo;2002;-;3277;3531
33 Rio de Janeiro;2002;4;2989;2881
35 São Paulo;2002;1;4687;4039
41 Paraná;2002;-;2256;1736
42 Santa Catarina;2002;-;384;310
43 Rio Grande do Sul;2002;-;321;333
50 Mato Grosso do Sul;2002;4;768;645
51 Mato Grosso;2002;-;6693;4986
52 Goiás;2002;14;3986;3304
53 Distrito Federal;2002;-;889;799
11 Rondônia;2003;-;2403;1983
12 Acre;2003;-;1092;716
13 Amazonas;2003;-;2660;1756
14 Roraima;2003;-;835;600
15 Pará;2003;-;14958;11170
16 Amapá;2003;-;776;376
17 Tocantins;2003;-;2738;2439
21 Maranhão;2003;-;12314;9081
22 Piauí;2003;-;3325;2923
23 Ceará;2003;-;4405;4417
24 Rio Grande do Norte;2003;-;323;312
25 Paraíba;2003;4;1368;1514
26 Pernambuco;2003;-;5005;5592
27 Alagoas;2003;-;1045;1192
28 Sergipe;2003;-;1037;997
29 Bahia;2003;-;6176;6649
31 Minas Gerais;2003;-;6317;6151
32 Espírito Santo;2003;-;3730;3740
33 Rio de Janeiro;2003;-;5608;5344
35 São Paulo;2003;-;5093;4685
41 Paraná;2003;-;2869;2493
42 Santa Catarina;2003;-;452;303
43 Rio Grande do Sul;2003;-;311;303
50 Mato Grosso do Sul;2003;-;1037;953
51 Mato Grosso;2003;-;7371;5676
52 Goiás;2003;-;6427;5057
53 Distrito Federal;2003;-;867;821
11 Rondônia;2004;-;2431;2035
12 Acre;2004;-;1019;537
13 Amazonas;2004;-;3029;2096
14 Roraima;2004;-;893;536
15 Pará;2004;4;16120;11136
16 Amapá;2004;-;555;339
17 Tocantins;2004;-;3456;2161
21 Maranhão;2004;2;12204;9598
22 Piauí;2004;-;3643;3239
23 Ceará;2004;-;4958;4929
24 Rio Grande do Norte;2004;-;617;591
25 Paraíba;2004;-;1657;1683
26 Pernambuco;2004;-;5291;5350
27 Alagoas;2004;-;897;984
28 Sergipe;2004;-;1094;1107
29 Bahia;2004;-;6491;7564
31 Minas Gerais;2004;-;5723;5775
32 Espírito Santo;2004;-;3294;3071
33 Rio de Janeiro;2004;1;5186;5309
35 São Paulo;2004;-;5257;4087
41 Paraná;2004;-;3403;2706
42 Santa Catarina;2004;-;528;421
43 Rio Grande do Sul;2004;-;322;452
50 Mato Grosso do Sul;2004;-;1009;835
51 Mato Grosso;2004;-;6499;4850
52 Goiás;2004;-;6471;5099
53 Distrito Federal;2004;-;786;787
11 Rondônia;2005;-;2166;1952
12 Acre;2005;-;952;628
13 Amazonas;2005;-;3007;1695
14 Roraima;2005;-;655;525
15 Pará;2005;-;14804;10446
16 Amapá;2005;-;533;297
17 Tocantins;2005;-;3116;2385
21 Maranhão;2005;-;13211;10617
22 Piauí;2005;-;4048;3659
23 Ceará;2005;-;5270;5140
24 Rio Grande do Norte;2005;-;779;1090
25 Paraíba;2005;-;1781;2021
26 Pernambuco;2005;-;5702;6356
27 Alagoas;2005;-;802;935
28 Sergipe;2005;-;1341;1527
29 Bahia;2005;5;6608;6676
31 Minas Gerais;2005;-;5464;5367
32 Espírito Santo;2005;-;3429;3071
33 Rio de Janeiro;2005;-;4591;4634
35 São Paulo;2005;1;5187;4248
41 Paraná;2005;-;3002;2507
42 Santa Catarina;2005;-;445;411
43 Rio Grande do Sul;2005;-;458;458
50 Mato Grosso do Sul;2005;-;1052;700
51 Mato Grosso;2005;-;7140;5410
52 Goiás;2005;-;6608;5064
53 Distrito Federal;2005;-;856;674
11 Rondônia;2006;-;2276;2015
12 Acre;2006;-;1397;1246
13 Amazonas;2006;-;2441;1564
14 Roraima;2006;-;745;525
15 Pará;2006;-;13048;9329
16 Amapá;2006;-;528;396
17 Tocantins;2006;-;3381;3038
21 Maranhão;2006;6;11940;9037
22 Piauí;2006;-;3527;3379
23 Ceará;2006;-;5373;4928
24 Rio Grande do Norte;2006;-;598;617
25 Paraíba;2006;-;1743;1888
26 Pernambuco;2006;-;6667;7249
27 Alagoas;2006;-;805;914
28 Sergipe;2006;-;1252;1277
29 Bahia;2006;-;5728;5782
31 Minas Gerais;2006;-;5188;4390
32 Espírito Santo;2006;-;2647;2520
33 Rio de Janeiro;2006;-;4640;4543
35 São Paulo;2006;-;4290;3533
41 Paraná;2006;-;3012;2972
42 Santa Catarina;2006;-;450;370
43 Rio Grande do Sul;2006;-;468;332
50 Mato Grosso do Sul;2006;-;1192;786
51 Mato Grosso;2006;-;6821;5087
52 Goiás;2006;-;6185;5061
53 Distrito Federal;2006;-;699;643
11 Rondônia;2007;-;1935;1791
12 Acre;2007;-;960;402
13 Amazonas;2007;-;2031;1300
14 Roraima;2007;-;534;458
15 Pará;2007;-;12308;7970
16 Amapá;2007;-;413;295
17 Tocantins;2007;-;3091;2438
21 Maranhão;2007;-;10904;7312
22 Piauí;2007;-;3208;3001
23 Ceará;2007;-;5441;4568
24 Rio Grande do Norte;2007;-;713;822
25 Paraíba;2007;-;1542;1610
26 Pernambuco;2007;-;6374;6964
27 Alagoas;2007;-;927;704
28 Sergipe;2007;-;1140;1162
29 Bahia;2007;3;5642;6147
31 Minas Gerais;2007;-;4635;3607
32 Espírito Santo;2007;-;2468;2522
33 Rio de Janeiro;2007;21;4249;3940
35 São Paulo;2007;-;4524;3577
41 Paraná;2007;-;2871;2000
42 Santa Catarina;2007;-;434;440
43 Rio Grande do Sul;2007;-;280;326
50 Mato Grosso do Sul;2007;-;1400;874
51 Mato Grosso;2007;-;6137;4523
52 Goiás;2007;-;5197;4280
53 Distrito Federal;2007;-;623;667
11 Rondônia;2008;-;1980;1540
12 Acre;2008;-;1048;474
13 Amazonas;2008;-;2022;1505
14 Roraima;2008;-;565;375
15 Pará;2008;7;12994;9332
16 Amapá;2008;-;655;431
17 Tocantins;2008;-;3292;2788
21 Maranhão;2008;-;11313;7851
22 Piauí;2008;5;4364;4272
23 Ceará;2008;-;5955;5112
24 Rio Grande do Norte;2008;-;520;646
25 Paraíba;2008;-;1424;1567
26 Pernambuco;2008;-;6215;6166
27 Alagoas;2008;-;802;876
28 Sergipe;2008;-;1230;1029
29 Bahia;2008;-;6644;5848
31 Minas Gerais;2008;-;4240;3353
32 Espírito Santo;2008;-;2649;2186
33 Rio de Janeiro;2008;-;4053;4130
35 São Paulo;2008;-;5083;3571
41 Paraná;2008;-;2582;2042
42 Santa Catarina;2008;-;512;379
43 Rio Grande do Sul;2008;-;315;280
50 Mato Grosso do Sul;2008;-;1396;979
51 Mato Grosso;2008;-;5504;4249
52 Goiás;2008;-;5729;3939
53 Distrito Federal;2008;-;627;542
11 Rondônia;2009;-;1969;1560
12 Acre;2009;-;781;439
13 Amazonas;2009;-;2189;1334
14 Roraima;2009;-;500;281
15 Pará;2009;-;11587;8459
16 Amapá;2009;-;653;414
17 Tocantins;2009;-;2721;2099
21 Maranhão;2009;-;10240;7536
22 Piauí;2009;-;3547;2798
23 Ceará;2009;-;5142;4747
24 Rio Grande do Norte;2009;-;621;683
25 Paraíba;2009;-;1523;1369
26 Pernambuco;2009;-;6531;6850
27 Alagoas;2009;-;848;1035
28 Sergipe;2009;-;1152;1186
29 Bahia;2009;4;6386;5809
31 Minas Gerais;2009;-;6141;2895
32 Espírito Santo;2009;-;2354;2249
33 Rio de Janeiro;2009;3;4235;3876
35 São Paulo;2009;-;4735;3822
41 Paraná;2009;-;2144;1829
42 Santa Catarina;2009;-;389;386
43 Rio Grande do Sul;2009;-;285;353
50 Mato Grosso do Sul;2009;-;1504;1134
51 Mato Grosso;2009;-;5381;4480
52 Goiás;2009;-;5525;4485
53 Distrito Federal;2009;4;618;532
11 Rondônia;2010;;1610;1416
12 Acre;2010;;687;434
13 Amazonas;2010;;2303;1203
14 Roraima;2010;;442;188
15 Pará;2010;;10417;6998
16 Amapá;2010;;483;259
17 Tocantins;2010;;2526;1929
21 Maranhão;2010;;10419;7878
22 Piauí;2010;;3660;3334
23 Ceará;2010;;4878;4192
24 Rio Grande do Norte;2010;;509;505
25 Paraíba;2010;;1365;1235
26 Pernambuco;2010;;5910;6096
