UF de notificação;Ano;Ignorado;Masculino;Feminino
11 Rondônia;2001;-;783;506
12 Acre;2001;-;279;176
13 Amazonas;2001;-;881;579
14 Roraima;2001;-;220;134
15 Pará;2001;19;3601;2200
16 Amapá;2001;-;104;50
17 Tocantins;2001;-;792;510
21 Maranhão;2001;14;2939;2140
22 Piauí;2001;6;947;1016
23 Ceará;2001;3;1534;1420
24 Rio Grande do Norte;2001;-;121;132
25 Paraíba;2001;-;423;469
26 Pernambuco;2001;5;1655;1786
27 Alagoas;2001;-;197;184
28 Sergipe;2001;-;170;157
29 Bahia;2001;2;1232;1259
31 Minas Gerais;2001;-;1590;1409
32 Espírito Santo;2001;-;828;757
33 Rio de Janeiro;2001;1;1602;1640
35 São Paulo;2001;1;1974;1563
41 Paraná;2001;12;1023;750
42 Santa Catarina;2001;-;111;86
43 Rio Grande do Sul;2001;-;117;114
50 Mato Grosso do Sul;2001;-;366;252
51 Mato Grosso;2001;8;2373;1600
52 Goiás;2001;6;1871;1472
53 Distrito Federal;2001;-;276;225
11 Rondônia;2002;-;796;574
12 Acre;2002;-;236;185
13 Amazonas;2002;-;934;625
14 Roraima;2002;-;226;147
15 Pará;2002;14;4048;2652
16 Amapá;2002;-;153;65
17 Tocantins;2002;-;804;580
21 Maranhão;2002;9;3181;2323
22 Piauí;2002;4;953;895
23 Ceará;2002;4;1423;1363
24 Rio Grande do Norte;2002;-;133;139
25 Paraíba;2002;1;455;518
26 Pernambuco;2002;2;1780;1942
27 Alagoas;2002;-;204;236
28 Sergipe;2002;-;257;243
29 Bahia;2002;1;1344;1362
31 Minas Gerais;2002;-;1898;1815
32 Espírito Santo;2002;-;896;923
33 Rio de Janeiro;2002;2;1867;1891
35 São Paulo;2002;2;1974;1488
41 Paraná;2002;3;1122;853
42 Santa Catarina;2002;1;144;114
43 Rio Grande do Sul;2002;-;146;145
50 Mato Grosso do Sul;2002;2;396;293
51 Mato Grosso;2002;-;2379;1638
52 Goiás;2002;11;2043;1718
53 Distrito Federal;2002;-;305;232
11 Rondônia;2003;-;867;684
12 Acre;2003;-;285;193
13 Amazonas;2003;-;770;535
14 Roraima;2003;-;231;142
15 Pará;2003;-;4225;2878
16 Amapá;2003;-;181;92
17 Tocantins;2003;-;843;671
21 Maranhão;2003;-;3349;2424
22 Piauí;2003;2;1097;988
23 Ceará;2003;-;1629;1592
24 Rio Grande do Norte;2003;-;139;141
25 Paraíba;2003;1;477;547
26 Pernambuco;2003;-;2055;2135
27 Alagoas;2003;-;287;314
28 Sergipe;2003;-;347;322
29 Bahia;2003;-;1775;1847
31 Minas Gerais;2003;-;1887;1786
32 Espírito Santo;2003;-;1001;936
33 Rio de Janeiro;2003;-;1730;1657
35 São Paulo;2003;-;1986;1608
41 Paraná;2003;-;1107;950
42 Santa Catarina;2003;-;175;121
43 Rio Grande do Sul;2003;-;129;134
50 Mato Grosso do Sul;2003;-;428;372
51 Mato Grosso;2003;-;2537;1821
52 Goiás;2003;-;2202;1737
53 Distrito Federal;2003;-;282;236
11 Rondônia;2004;-;843;660
12 Acre;2004;-;240;134
13 Amazonas;2004;-;752;498
14 Roraima;2004;-;225;117
15 Pará;2004;1;4168;2753
16 Amapá;2004;-;151;82
17 Tocantins;2004;-;954;580
21 Maranhão;2004;1;3386;2644
22 Piauí;2004;-;1050;920
23 Ceará;2004;-;1561;1515
24 Rio Grande do Norte;2004;-;175;191
25 Paraíba;2004;-;490;518
26 Pernambuco;2004;-;1954;1978
27 Alagoas;2004;-;229;275
28 Sergipe;2004;-;310;352
29 Bahia;2004;-;2065;2290
31 Minas Gerais;2004;-;1762;1664
32 Espírito Santo;2004;-;916;798
33 Rio de Janeiro;2004;1;1666;1627
35 São Paulo;2004;1;1897;1369
41 Paraná;2004;-;1174;931
42 Santa Catarina;2004;-;164;136
43 Rio Grande do Sul;2004;-;118;151
50 Mato Grosso do Sul;2004;-;452;338
51 Mato Grosso;2004;-;2293;1643
52 Goiás;2004;-;2255;1665
53 Distrito Federal;2004;-;245;212
11 Rondônia;2005;1;789;647
12 Acre;2005;-;249;154
13 Amazonas;2005;-;752;387
14 Roraima;2005;-;191;124
15 Pará;2005;-;3781;2571
16 Amapá;2005;-;143;68
17 Tocantins;2005;-;833;652
21 Maranhão;2005;-;3633;2864
22 Piauí;2005;-;1097;981
23 Ceará;2005;-;1567;1542
24 Rio Grande do Norte;2005;-;231;307
25 Paraíba;2005;-;544;587
26 Pernambuco;2005;-;1868;2003
27 Alagoas;2005;-;244;274
28 Sergipe;2005;-;364;406
29 Bahia;2005;1;2031;2077
31 Minas Gerais;2005;-;1730;1538
32 Espírito Santo;2005;-;880;767
33 Rio de Janeiro;2005;-;1526;1503
35 São Paulo;2005;1;1780;1390
41 Paraná;2005;1;1051;860
42 Santa Catarina;2005;-;153;129
43 Rio Grande do Sul;2005;-;143;134
50 Mato Grosso do Sul;2005;-;410;290
51 Mato Grosso;2005;-;2449;1739
52 Goiás;2005;-;2220;1631
53 Distrito Federal;2005;-;272;191
11 Rondônia;2006;-;839;692
12 Acre;2006;-;336;274
13 Amazonas;2006;-;668;384
14 Roraima;2006;-;188;130
15 Pará;2006;-;3466;2304
16 Amapá;2006;-;149;94
17 Tocantins;2006;-;914;748
21 Maranhão;2006;1;3122;2369
22 Piauí;2006;-;955;910
23 Ceará;2006;-;1416;1311
24 Rio Grande do Norte;2006;-;171;181
25 Paraíba;2006;-;525;547
26 Pernambuco;2006;-;1847;2006
27 Alagoas;2006;-;237;264
28 Sergipe;2006;-;334;336
29 Bahia;2006;-;1856;1853
31 Minas Gerais;2006;-;1573;1272
32 Espírito Santo;2006;-;698;653
33 Rio de Janeiro;2006;1;1556;1478
35 São Paulo;2006;-;1535;1199
41 Paraná;2006;-;989;849
42 Santa Catarina;2006;-;149;116
43 Rio Grande do Sul;2006;-;132;130
50 Mato Grosso do Sul;2006;-;431;269
51 Mato Grosso;2006;-;2158;1546
52 Goiás;2006;-;2067;1609
53 Distrito Federal;2006;-;226;188
11 Rondônia;2007;-;759;603
